number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.3168323906294232,2026-06-25 08:23:15.976902,2026-06-25 08:23:18.121138,0 days 00:00:02.144236,,,,,,,,,,,,,,100,{},COMPLETE
1,0.1320983634507896,2026-06-25 08:23:18.135061,2026-06-25 08:23:42.603981,0 days 00:00:24.468920,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.12958190948756157,2026-06-25 08:23:42.616880,2026-06-25 08:23:48.874682,0 days 00:00:06.257802,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,609,,COMPLETE
3,0.14619861754889024,2026-06-25 08:23:48.886492,2026-06-25 08:24:03.894673,0 days 00:00:15.008181,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.12473474834583768,2026-06-25 08:24:03.904200,2026-06-25 08:24:09.765949,0 days 00:00:05.861749,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,762,,COMPLETE
5,0.1266357615572694,2026-06-25 08:24:09.778421,2026-06-25 08:24:58.813276,0 days 00:00:49.034855,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.14856803577727645,2026-06-25 08:24:58.823043,2026-06-25 08:25:07.010844,0 days 00:00:08.187801,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,389,,COMPLETE
7,0.13607988198070378,2026-06-25 08:25:07.019829,2026-06-25 08:25:54.352636,0 days 00:00:47.332807,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,711,,COMPLETE
8,0.12953077559678317,2026-06-25 08:25:54.363366,2026-06-25 08:27:05.944111,0 days 00:01:11.580745,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.13670425932543098,2026-06-25 08:27:05.954947,2026-06-25 08:27:22.919690,0 days 00:00:16.964743,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,287,,COMPLETE
10,0.12631208340420835,2026-06-25 08:27:22.928313,2026-06-25 08:27:54.462995,0 days 00:00:31.534682,Plain,Bernoulli,0.9960251846987156,8.0,SymmetricTree,0.004741852087302937,1.0,0.034321113130611855,254.0,5.0,0.11435780773318148,8.0,0.701799154886745,758,,COMPLETE
11,0.1277342573430867,2026-06-25 08:27:54.472161,2026-06-25 08:28:26.391834,0 days 00:00:31.919673,Plain,Bernoulli,0.99449267934606,8.0,SymmetricTree,0.00603023340415315,1.0,0.036695966425610134,254.0,5.0,0.10124160009401961,8.0,0.7061529043360109,900,,COMPLETE
12,0.1265614710454574,2026-06-25 08:28:26.403605,2026-06-25 08:28:55.724736,0 days 00:00:29.321131,Plain,Bernoulli,0.9905549992268511,8.0,SymmetricTree,0.002814976915282134,1.0,0.035362804733525724,254.0,5.0,0.11380867009016345,8.0,0.772242381250273,635,,COMPLETE
13,0.12242149013680628,2026-06-25 08:28:55.733932,2026-06-25 08:29:09.552158,0 days 00:00:13.818226,Plain,Bernoulli,0.9619931592923722,5.0,SymmetricTree,0.02804416419966009,1.0,0.042510601843168766,254.0,5.0,0.17240073059329503,92.0,0.8632684263130853,1000,,COMPLETE
14,0.1264925598024113,2026-06-25 08:29:09.566629,2026-06-25 08:29:19.942772,0 days 00:00:10.376143,Plain,Bernoulli,0.9611729786769923,5.0,SymmetricTree,0.06712637573992304,4.0,0.052043954330612444,254.0,4.0,0.2294306089531934,93.0,0.8834013646557268,613,,COMPLETE
15,0.1253799719518405,2026-06-25 08:29:19.951399,2026-06-25 08:29:39.123500,0 days 00:00:19.172101,Plain,Bernoulli,0.961999059981689,5.0,SymmetricTree,0.2939718374343529,2.0,0.020907710763358466,254.0,3.0,0.17012254407923622,60.0,0.9938276775318233,1000,,COMPLETE
16,0.12353895373756887,2026-06-25 08:29:39.132250,2026-06-25 08:29:50.607377,0 days 00:00:11.475127,Plain,Bernoulli,0.9656742464611642,5.0,SymmetricTree,0.020226580340969982,1.0,0.05123674211896052,254.0,5.0,0.32575658412201763,63.0,0.9044041481041699,1000,,COMPLETE
17,0.1391809264771775,2026-06-25 08:29:50.617439,2026-06-25 08:30:00.808652,0 days 00:00:10.191213,Plain,Bernoulli,0.9741153050841838,6.0,SymmetricTree,0.00077930560303418,5.0,0.05556938080865961,254.0,4.0,0.3561896803049701,64.0,0.8768612349681095,382,,COMPLETE
18,0.12412006538822422,2026-06-25 08:30:00.817140,2026-06-25 08:30:29.199838,0 days 00:00:28.382698,Plain,Bernoulli,0.93956363661282,6.0,SymmetricTree,0.1646086729487097,1.0,0.02348134414653041,254.0,5.0,0.3416222830024623,70.0,0.916296230488915,1000,,COMPLETE
19,0.12313037223835996,2026-06-25 08:30:29.209225,2026-06-25 08:30:47.838908,0 days 00:00:18.629683,Plain,Bernoulli,0.852253181743853,5.0,SymmetricTree,1.760196806147807,2.0,0.0497152239439149,254.0,3.0,0.255936202150178,48.0,0.8553452162996074,1000,,COMPLETE
20,0.12342235922401436,2026-06-25 08:30:47.848140,2026-06-25 08:31:21.027825,0 days 00:00:33.179685,Plain,Bernoulli,0.8547843219121536,5.0,SymmetricTree,3.1200794486701646,18.0,0.030634090568803382,254.0,3.0,0.2295013175683415,99.0,0.8410838119234255,1000,,COMPLETE
21,0.12408868871133036,2026-06-25 08:31:21.037710,2026-06-25 08:31:59.314922,0 days 00:00:38.277212,Plain,Bernoulli,0.8545459392717467,5.0,SymmetricTree,4.864977143985637,18.0,0.028776914036675306,254.0,3.0,0.232859071604895,97.0,0.8495199867386501,1000,,COMPLETE
22,0.12721620341978937,2026-06-25 08:31:59.323376,2026-06-25 08:32:24.044812,0 days 00:00:24.721436,Plain,Bernoulli,0.8506776201227811,6.0,SymmetricTree,1.1967369316305523,6.0,0.04828062872918976,254.0,3.0,0.16183236126054176,48.0,0.8449707940789243,748,,COMPLETE
23,0.1274720184097267,2026-06-25 08:32:24.054652,2026-06-25 08:32:45.803856,0 days 00:00:21.749204,Plain,Bernoulli,0.8649548642635826,5.0,SymmetricTree,1.3071023709708594,2.0,0.025218881950972858,254.0,3.0,0.25890218444201146,76.0,0.8039164876309048,1000,,COMPLETE
