number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.5803766798732756,2026-06-25 09:07:26.254563,2026-06-25 09:07:29.593514,0 days 00:00:03.338951,,,,,,,,,,,,12,{},COMPLETE
1,0.5651747423354109,2026-06-25 09:07:29.611258,2026-06-25 09:08:44.235591,0 days 00:01:14.624333,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,296,,COMPLETE
2,0.564564986098173,2026-06-25 09:08:44.248523,2026-06-25 09:08:48.106660,0 days 00:00:03.858137,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,137,,COMPLETE
3,0.5642144315737947,2026-06-25 09:08:48.119234,2026-06-25 09:09:21.592012,0 days 00:00:33.472778,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,258,,COMPLETE
4,0.5632840632262648,2026-06-25 09:09:21.604589,2026-06-25 09:09:38.090227,0 days 00:00:16.485638,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,681,,COMPLETE
5,0.5671429756447177,2026-06-25 09:09:38.102367,2026-06-25 09:09:47.973281,0 days 00:00:09.870914,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,306,,COMPLETE
6,0.5640154092277008,2026-06-25 09:09:47.983202,2026-06-25 09:10:02.727153,0 days 00:00:14.743951,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,399,,COMPLETE
7,0.5790143440525617,2026-06-25 09:10:02.736338,2026-06-25 09:10:18.888963,0 days 00:00:16.152625,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.5652020843236211,2026-06-25 09:10:18.898518,2026-06-25 09:10:32.232269,0 days 00:00:13.333751,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,473,,COMPLETE
9,0.5638635488780488,2026-06-25 09:10:32.241027,2026-06-25 09:10:42.136298,0 days 00:00:09.895271,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,242,,COMPLETE
10,0.5664728762772869,2026-06-25 09:10:42.146988,2026-06-25 09:10:53.044536,0 days 00:00:10.897548,0.8067426612208689,0.9630659181130071,lossguide,0.08641685654424158,31.0,7.0,137.0,0.05330630380208628,4.7988577526525065,2.5876151166352477,0.9729161367647149,63,,COMPLETE
11,0.5625603242044515,2026-06-25 09:10:53.054126,2026-06-25 09:11:19.107256,0 days 00:00:26.053130,0.6046474205309514,0.8759561693398767,depthwise,0.007631609688708743,18.0,6.0,223.0,0.04042693539277767,1.6094980895413644,2.6071607627764326,0.6112090741931764,776,,COMPLETE
12,0.5620404659252838,2026-06-25 09:11:19.119642,2026-06-25 09:11:39.380598,0 days 00:00:20.260956,0.6012709236617613,0.7262040352747083,depthwise,0.006378389274999106,13.0,5.0,166.0,0.06652620936523634,1.2194504168217553,2.836968505713208,0.6134343539737889,1000,,COMPLETE
13,0.5628404198111496,2026-06-25 09:11:39.392839,2026-06-25 09:12:06.174547,0 days 00:00:26.781708,0.6026515829443315,0.6855617539697306,depthwise,0.005479046491094975,11.0,6.0,235.0,0.05090057180402597,1.2683035715037847,2.6442200903274697,0.6052561262871232,1000,,COMPLETE
14,0.5628432445112176,2026-06-25 09:12:06.183029,2026-06-25 09:12:26.203523,0 days 00:00:20.020494,0.701410807941366,0.7373677083786512,depthwise,0.007666534876384436,27.0,5.0,792.0,0.06303778320874585,2.587085848442851,1.6091776818257402,0.6922024797237817,857,,COMPLETE
