number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.255541041482539,2026-06-25 12:51:17.965688,2026-06-25 12:51:20.169169,0 days 00:00:02.203481,,,,,,,,,,,,,,49,{},COMPLETE
1,0.25002254677639624,2026-06-25 12:51:20.184069,2026-06-25 12:51:27.748386,0 days 00:00:07.564317,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,1000,,COMPLETE
2,0.2764137661434205,2026-06-25 12:51:27.761114,2026-06-25 12:51:33.526725,0 days 00:00:05.765611,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,1000,,COMPLETE
3,0.39647591625300155,2026-06-25 12:51:33.535452,2026-06-25 12:51:35.225207,0 days 00:00:01.689755,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.39875349959360396,2026-06-25 12:51:35.234487,2026-06-25 12:51:37.377885,0 days 00:00:02.143398,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.24035984050047382,2026-06-25 12:51:37.389597,2026-06-25 12:51:39.283161,0 days 00:00:01.893564,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,101,,COMPLETE
6,0.3782851005119995,2026-06-25 12:51:39.295015,2026-06-25 12:51:41.659480,0 days 00:00:02.364465,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,0.3070985209184246,2026-06-25 12:51:41.668387,2026-06-25 12:51:47.233540,0 days 00:00:05.565153,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,1000,,COMPLETE
8,0.24618272731564883,2026-06-25 12:51:47.242003,2026-06-25 12:51:50.240214,0 days 00:00:02.998211,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,190,,COMPLETE
9,0.2782005418499204,2026-06-25 12:51:50.249055,2026-06-25 12:51:54.480661,0 days 00:00:04.231606,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,998,,COMPLETE
10,0.25851474889579684,2026-06-25 12:51:54.489136,2026-06-25 12:51:56.411115,0 days 00:00:01.921979,0.7022641957948879,1.0,0.04511907294391529,0.04720368256012399,False,0.6839963928728011,0.028575443310857374,0.7118736529455119,0.09147573288296829,99.0,18.0,23.0,146.0,112,,COMPLETE
11,0.2404898677591664,2026-06-25 12:51:56.420254,2026-06-25 12:51:59.228350,0 days 00:00:02.808096,0.802754798121327,1.0,0.005164006022200945,0.0020887870522944057,False,0.9347446309627329,0.3000390111022635,0.891365775147946,0.0464339747862408,35.0,1.0,5.0,165.0,135,,COMPLETE
12,0.24061439030527385,2026-06-25 12:51:59.237424,2026-06-25 12:52:02.123412,0 days 00:00:02.885988,0.7929658168207508,1.0,0.00511023068865669,0.0013419844206405704,False,0.9956035372255873,0.28164073716989446,0.6532413869928695,0.05049708384913899,25.0,1.0,8.0,197.0,129,,COMPLETE
13,0.24509553506331827,2026-06-25 12:52:02.132963,2026-06-25 12:52:04.737847,0 days 00:00:02.604884,0.7665405104267883,1.0,0.029604596177262788,0.011567674894567023,False,0.8600539102585538,0.6035799000433122,0.6126780698413081,0.04451506475158212,57.0,1.0,12.0,91.0,219,,COMPLETE
14,0.23906729120613687,2026-06-25 12:52:04.746618,2026-06-25 12:52:07.055314,0 days 00:00:02.308696,0.9948058470333414,1.0,0.04255065066974258,0.006669323747204728,False,0.8887540772080859,0.21163511095664278,1.032105674505173,0.06373830975967458,32.0,2.0,4.0,30.0,107,,COMPLETE
15,0.2531760183811901,2026-06-25 12:52:07.072248,2026-06-25 12:52:09.183277,0 days 00:00:02.111029,0.9094819685188272,1.0,0.04417482054297922,0.1515301900271508,True,0.807349023559469,0.1122427539839552,1.1791159460424074,0.07233262970335266,28.0,3.0,4.0,13.0,232,,COMPLETE
16,0.23598197152036623,2026-06-25 12:52:09.191513,2026-06-25 12:52:10.458732,0 days 00:00:01.267219,0.9927960346188095,1.0,0.0951889951987327,0.006813041800569477,False,0.7512528870148707,0.2131597222492953,0.4028071054836734,0.09955084343037911,63.0,3.0,10.0,11.0,103,,COMPLETE
17,0.2408737791832505,2026-06-25 12:52:10.471048,2026-06-25 12:52:13.475598,0 days 00:00:03.004550,0.9995595527181926,1.0,0.11666258513049155,95.74738509612254,False,0.7055130017483584,0.1646646358663455,0.38145293244989864,0.03069121221764795,85.0,3.0,13.0,7.0,556,,COMPLETE
18,0.2460582982107692,2026-06-25 12:52:13.485067,2026-06-25 12:52:15.999192,0 days 00:00:02.514125,0.9981528355149126,1.0,0.019178382657523436,0.006482210292871571,False,0.6174963397468256,0.19501746801007613,1.9351798221372893,0.061514293443469883,50.0,6.0,33.0,15.0,233,,COMPLETE
19,0.31582694527137484,2026-06-25 12:52:16.007962,2026-06-25 12:52:19.558275,0 days 00:00:03.550313,0.9662824267072887,1.0,0.20682589234550564,0.004843406537312735,True,0.7907944344658397,0.5831451075700547,0.9606733930886259,0.006011624718057674,26.0,3.0,11.0,5.0,1000,,COMPLETE
