number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2640143856224373,2026-06-25 12:52:42.652074,2026-06-25 12:52:45.035802,0 days 00:00:02.383728,,,,,,,,,,,,,,37,{},COMPLETE
1,0.24918854823830433,2026-06-25 12:52:45.050563,2026-06-25 12:52:54.264616,0 days 00:00:09.214053,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,430,,COMPLETE
2,0.2587582978302598,2026-06-25 12:52:54.277306,2026-06-25 12:53:00.153175,0 days 00:00:05.875869,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,1000,,COMPLETE
3,0.3567538248201113,2026-06-25 12:53:00.162331,2026-06-25 12:53:01.884602,0 days 00:00:01.722271,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.31648391031133405,2026-06-25 12:53:01.893657,2026-06-25 12:53:03.442528,0 days 00:00:01.548871,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.25364068039290477,2026-06-25 12:53:03.456685,2026-06-25 12:53:06.851560,0 days 00:00:03.394875,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,62,,COMPLETE
6,0.29457957364838583,2026-06-25 12:53:06.861021,2026-06-25 12:53:08.403945,0 days 00:00:01.542924,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,999,,COMPLETE
7,0.24224021415290176,2026-06-25 12:53:08.412367,2026-06-25 12:53:16.560154,0 days 00:00:08.147787,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,998,,COMPLETE
8,0.2461637136434631,2026-06-25 12:53:16.572515,2026-06-25 12:53:21.366499,0 days 00:00:04.793984,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,136,,COMPLETE
9,0.2491552314490657,2026-06-25 12:53:21.376292,2026-06-25 12:53:23.634484,0 days 00:00:02.258192,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,323,,COMPLETE
10,0.26981928825895135,2026-06-25 12:53:23.643893,2026-06-25 12:53:30.779058,0 days 00:00:07.135165,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,1000,,COMPLETE
11,0.24039527671746272,2026-06-25 12:53:30.787890,2026-06-25 12:53:34.859284,0 days 00:00:04.071394,0.9983078588266314,1.0,0.005263447134090864,0.003067614502323185,True,0.7829919337241454,0.23960547744804922,0.9239336933966089,0.036141188992587704,30.0,4.0,5.0,54.0,269,,COMPLETE
12,0.23927641110999032,2026-06-25 12:53:34.872038,2026-06-25 12:53:38.763284,0 days 00:00:03.891246,0.9979535080856271,1.0,0.005175056351063698,0.0013419844206405704,True,0.6609286746678634,0.13788231638273318,0.7112509773376894,0.0371706719830055,26.0,3.0,8.0,22.0,278,,COMPLETE
13,0.24574795363151752,2026-06-25 12:53:38.775973,2026-06-25 12:53:41.519798,0 days 00:00:02.743825,0.9985274622976249,1.0,0.0065640454172825645,0.0014816942961298162,True,0.7280099399794671,0.027225028598396372,0.8409642311545357,0.04451506475158212,27.0,3.0,13.0,11.0,277,,COMPLETE
14,0.2406534126204656,2026-06-25 12:53:41.529218,2026-06-25 12:53:45.854361,0 days 00:00:04.325143,0.960349233689582,1.0,0.005143754338671871,0.00982896859593825,True,0.817786454980924,0.1977817951948784,1.0442310086851743,0.036385187905131414,26.0,6.0,10.0,181.0,287,,COMPLETE
15,0.23878412156382278,2026-06-25 12:53:45.863328,2026-06-25 12:53:49.200979,0 days 00:00:03.337651,0.9191051643112275,1.0,0.01831259800824524,0.005357043584836959,True,0.6103776919023309,0.2000007723395808,0.5870300555596251,0.058142717772096245,28.0,4.0,4.0,28.0,231,,COMPLETE
16,0.24553824645031128,2026-06-25 12:53:49.213741,2026-06-25 12:53:51.331535,0 days 00:00:02.117794,0.9029557611499953,1.0,0.019735429717403108,0.09919122221659406,True,0.603874535143627,0.14289774952634085,0.5419622342802438,0.06860752808203484,19.0,18.0,4.0,20.0,170,,COMPLETE
