number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.46081175618231396,2026-06-25 13:18:14.026232,2026-06-25 13:18:15.172736,0 days 00:00:01.146504,,,,,,,,,,,,,,100,{},COMPLETE
1,0.21934134329066146,2026-06-25 13:18:15.188722,2026-06-25 13:18:19.838087,0 days 00:00:04.649365,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,615,,COMPLETE
2,0.22575727890257952,2026-06-25 13:18:19.851111,2026-06-25 13:18:20.950316,0 days 00:00:01.099205,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,292,,COMPLETE
3,0.22014029227533666,2026-06-25 13:18:20.959484,2026-06-25 13:18:26.881199,0 days 00:00:05.921715,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.2265448304224566,2026-06-25 13:18:26.889833,2026-06-25 13:18:27.897047,0 days 00:00:01.007214,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,413,,COMPLETE
5,0.2261000433156181,2026-06-25 13:18:27.906535,2026-06-25 13:18:40.735442,0 days 00:00:12.828907,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,928,,COMPLETE
6,0.32735382818715275,2026-06-25 13:18:40.745146,2026-06-25 13:18:42.303211,0 days 00:00:01.558065,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,200,,COMPLETE
7,0.23438042524180178,2026-06-25 13:18:42.312363,2026-06-25 13:18:49.394546,0 days 00:00:07.082183,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,349,,COMPLETE
8,0.22553638095874007,2026-06-25 13:18:49.404597,2026-06-25 13:19:04.211714,0 days 00:00:14.807117,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,788,,COMPLETE
9,0.2815296306106746,2026-06-25 13:19:04.220418,2026-06-25 13:19:07.981827,0 days 00:00:03.761409,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,181,,COMPLETE
