feature_name,raw_gain,percentage_share
pca_embed_0,1676.2876665055032,21.124419107876665
family,1360.0848168781886,17.139660613198348
pca_embed_2,822.7236047014701,10.367885287784432
hardness,601.9804816369438,7.586101265882281
surface-quality,534.1724237036947,6.731590513763452
pca_embed_4,388.6475776479674,4.897700126024133
pca_embed_8,224.9828401834211,2.8352125372506403
condition,187.94169705465103,2.3684235443338233
pca_embed_1,178.7940341657105,2.2531455591856133
temper_rolling,172.4840062862495,2.173627182852273
shape,144.7019917839625,1.8235208557975242
pca_embed_17,141.63376636948706,1.7848553684424007
formability,136.6995356366133,1.7226746580196597
strength,136.35679873970912,1.7183555199632243
non-ageing,104.35240563892876,1.31503917595915
steel,103.77880121549333,1.3078106671030048
pca_embed_6,95.11019418341868,1.1985696986904806
thick,81.26775463855574,1.024128580817965
pca_embed_5,78.09848226313215,0.9841897091891892
pca_embed_10,77.99832673403603,0.9829275586556783
pca_embed_25,58.846256206028215,0.7415749718048451
pca_embed_18,49.64823065764381,0.6256623211712665
chrom,48.99479617085308,0.6174278013842879
ferro,45.94484433053003,0.5789925958875276
bf,41.05706762551563,0.5173972947434912
pca_embed_11,37.56369860407199,0.4733741877422405
pca_embed_29,36.57732468323292,0.460943996601885
pca_embed_21,30.80624105690186,0.38821734492677895
pca_embed_19,27.560170302342158,0.34731066736582733
pca_embed_20,27.35366375886143,0.34470829137740294
pca_embed_15,23.397143012365177,0.2948485900098981
pca_embed_14,22.828077375961584,0.28767727851994357
len,22.72554349057998,0.28638515616479
carbon,22.33679178287275,0.28148614380157794
pca_embed_3,20.808015271567456,0.2622206463619805
pca_embed_22,20.807140357810567,0.2622096207813161
pca_embed_13,19.334184734623705,0.24364757291016045
pca_embed_24,19.249226584041025,0.24257693830764027
pca_embed_28,14.334920598384087,0.18064731767052317
pca_embed_27,13.617768255287956,0.17160983146665465
bt,12.269741098680242,0.1546221203512086
pca_embed_31,12.086963827019645,0.15231877840871152
pca_embed_9,11.921139590958774,0.1502290770222569
bw_me,9.934808927820995,0.12519752530630252
pca_embed_16,8.654100743647014,0.10905816153362867
enamelability,8.18377335453988,0.10313114012558812
pca_embed_23,7.275754579841305,0.09168837314840211
pca_embed_7,6.120263809392327,0.0771269874161237
pca_embed_12,2.1200605239491352,0.02671680281185145
width,1.667665438624681,0.021015762605154906
pca_embed_30,1.5496084943970345,0.01952802012616922
pca_embed_26,0.7080915772321532,0.008923303286834936
cbond,0.643865100806579,0.008113927287150853
oil,0.27245669678086415,0.0034334736015477034
bl,0.010710259899497032,0.00013496968533027
bore,0.0004346559871919453,5.477493764737653e-06
product-type,0.0,0.0
surface-finish,0.0,0.0
bc,0.0,0.0
m,0.0,0.0
phos,0.0,0.0
marvi,0.0,0.0
exptl,0.0,0.0
corr,0.0,0.0
blue_bright_varn_clean,0.0,0.0
lustre,0.0,0.0
jurofm,0.0,0.0
s,0.0,0.0
p,0.0,0.0
packing,0.0,0.0
