feature_name,raw_gain,percentage_share
pca_embed_0,773.1315307617188,40.81963456573893
family,390.69488525390625,20.62782567806432
pca_embed_2,335.2330627441406,17.699564137666407
hardness,215.01158142089844,11.352135867949352
strength,64.63092041015625,3.4123696264084193
steel,50.427921295166016,2.662482691852521
enamelability,13.04473876953125,0.688733350524679
pca_embed_30,11.630987167358398,0.6140903933158754
pca_embed_4,10.736930847167969,0.5668861973682515
pca_embed_31,6.929561614990234,0.3658655242607767
pca_embed_25,5.59251070022583,0.2952721936761378
pca_embed_24,5.361516952514648,0.2830762347825055
pca_embed_3,2.87752628326416,0.15192702232752855
pca_embed_15,2.225001335144043,0.11747514852922636
pca_embed_10,1.9571888446807861,0.10333524146570257
pca_embed_6,0.8075193166732788,0.04263523359201557
pca_embed_1,0.75969398021698,0.04011016162242944
pca_embed_23,0.66815185546875,0.03527693993774084
pca_embed_12,0.5536197423934937,0.02922989772596129
surface-quality,0.4545400142669678,0.023998707256969738
pca_embed_27,0.303037166595459,0.01599969204215008
pca_embed_9,0.2809567451477051,0.014833894634215099
pca_embed_26,0.2790088653564453,0.014731050890177295
width,0.24809932708740234,0.013099095645129968
pca_embed_8,0.09163594245910645,0.004838175052286997
pca_embed_14,0.04580017924308777,0.002418148148616103
pca_embed_19,0.040818557143211365,0.0021551295216805056
product-type,0.0,0.0
carbon,0.0,0.0
temper_rolling,0.0,0.0
condition,0.0,0.0
formability,0.0,0.0
non-ageing,0.0,0.0
surface-finish,0.0,0.0
bc,0.0,0.0
bf,0.0,0.0
bt,0.0,0.0
bw_me,0.0,0.0
bl,0.0,0.0
m,0.0,0.0
chrom,0.0,0.0
phos,0.0,0.0
cbond,0.0,0.0
marvi,0.0,0.0
exptl,0.0,0.0
ferro,0.0,0.0
corr,0.0,0.0
blue_bright_varn_clean,0.0,0.0
lustre,0.0,0.0
jurofm,0.0,0.0
s,0.0,0.0
p,0.0,0.0
shape,0.0,0.0
thick,0.0,0.0
len,0.0,0.0
oil,0.0,0.0
bore,0.0,0.0
packing,0.0,0.0
pca_embed_5,0.0,0.0
pca_embed_7,0.0,0.0
pca_embed_11,0.0,0.0
pca_embed_13,0.0,0.0
pca_embed_16,0.0,0.0
pca_embed_17,0.0,0.0
pca_embed_18,0.0,0.0
pca_embed_20,0.0,0.0
pca_embed_21,0.0,0.0
pca_embed_22,0.0,0.0
pca_embed_28,0.0,0.0
pca_embed_29,0.0,0.0
