feature_name,raw_gain,percentage_share
age,12401.823396921158,11.42053005224861
pca_embed_11,9064.851030349731,8.347595373513125
products_number,8675.638209044933,7.989178987456909
pca_embed_12,7079.717714399099,6.519535582066455
pca_embed_15,6932.254681348801,6.383740550429031
pca_embed_6,6600.608775734901,6.078336102184021
pca_embed_2,6538.739983737469,6.021362673705882
pca_embed_10,6094.826813817024,5.612574100009214
active_member,5563.647325545549,5.123424148845706
pca_embed_0,4582.515393614769,4.219924207327595
pca_embed_1,4551.697269923985,4.191544565358827
country,3295.632627294399,3.0348659432233647
pca_embed_3,2570.7888660281897,2.3673753901180246
pca_embed_13,2531.5998942777514,2.3312872428135147
pca_embed_7,2506.194857686758,2.3078923778343903
pca_embed_8,2247.737260520458,2.069885218628876
balance,2222.055587325245,2.0462356058960602
pca_embed_4,2194.840573787689,2.0211739782603066
pca_embed_17,2063.7771079540253,1.9004808993154143
gender,1815.2378819435835,1.6716073208931055
pca_embed_18,1693.0220097005367,1.5590617703605927
pca_embed_19,1487.7244168519974,1.3700083341245057
pca_embed_14,1128.464340724051,1.0391746845330336
pca_embed_9,1109.1463384013623,1.0213852176929845
pca_embed_5,1100.785355001688,1.0136857964767432
pca_embed_16,840.1876546442509,0.7737078695843281
estimated_salary,535.269634783268,0.4929164651398005
tenure,489.30512880533934,0.4505888972445815
credit_score,414.52588084340096,0.3817265516603117
credit_card,259.746516674757,0.23919409305468725
