feature_name,raw_gain,percentage_share
contributionCarPolicies,13.492102209619876,13.492102209619874
contributionFirePolicies,6.533280300247233,6.533280300247232
customerMainType,5.944533749303578,5.944533749303577
purchasingPowerClass,3.7732212318124057,3.7732212318124048
incomeLessThan30k,3.224173324009508,3.2241733240095076
oneCar,2.7095575235083524,2.709557523508352
contributionPrivateThirdPartyInsurance,2.6354919372858037,2.635491937285803
numberOfCarPolicies,2.6202192544852303,2.62021925448523
skilledLabourers,2.539135705321479,2.5391357053214785
income45To75k,2.430625561139195,2.4306255611391947
farmer,2.4286737283616406,2.42867372836164
protestant,2.030044644728109,2.030044644728109
income30To45k,1.9214616205216573,1.921461620521657
noCar,1.8835505743434895,1.8835505743434893
homeOwners,1.7371916542548091,1.7371916542548087
middleManagement,1.6421966388589437,1.6421966388589435
married,1.59006840968937,1.59006840968937
nationalHealthService,1.5783177436091649,1.5783177436091649
rentedHouse,1.529490028596687,1.5294900285966868
householdWithoutChildren,1.4526582102607388,1.4526582102607386
socialClassB1,1.440561359586303,1.4405613595863027
householdWithChildren,1.3932953504098702,1.39329535040987
averageIncome,1.382500015458531,1.3825000154585307
otherReligion,1.368987089166568,1.3689870891665679
mediumLevelEducation,1.3082379051123951,1.308237905112395
romanCatholic,1.2833696780134414,1.2833696780134412
income75To122k,1.2600703957300956,1.2600703957300956
noReligion,1.2485186276889966,1.2485186276889966
socialClassC,1.1361116311862016,1.1361116311862014
unskilledLabourers,1.136086977346743,1.1360869773467428
lowerLevelEducation,1.1295449495347936,1.1295449495347933
socialClassA,1.1221632663054124,1.1221632663054122
highLevelEducation,1.1111776715741046,1.1111776715741044
customerSubtype,1.1042304678935722,1.104230467893572
livingTogether,1.0415084053647545,1.0415084053647545
highStatus,1.0234944980157503,1.02349449801575
numberOfMopedPolicies,1.0218265899913406,1.0218265899913406
privateHealthInsurance,1.0095195830285615,1.0095195830285615
contributionMopedPolicies,0.9791161981126484,0.9791161981126482
avgAge,0.9550397128014445,0.9550397128014443
numberOfFirePolicies,0.9451236635723151,0.9451236635723149
numberOfHouses,0.9411541687497326,0.9411541687497323
otherRelation,0.8364970483120224,0.8364970483120224
singles,0.8357946467021798,0.8357946467021797
contributionLifeInsurances,0.7341763690602836,0.7341763690602835
socialClassD,0.6866556689726961,0.686655668972696
twoCars,0.650235644361306,0.6502356443613059
entrepreneur,0.6495061976621764,0.6495061976621763
incomeAbove123k,0.6450524696879244,0.6450524696879243
numberOfPrivateThirdPartyInsurance,0.6245668203570793,0.6245668203570792
socialClassB2,0.6123309899306855,0.6123309899306855
contributionMotorcycleScooterPolicies,0.549602082313997,0.5496020823139969
contributionThirdPartyInsuranceAgriculture,0.47088915026109746,0.47088915026109746
numberOfLifeInsurances,0.39711731738344336,0.39711731738344325
avgSizeHousehold,0.38192994376219597,0.3819299437621959
numberOfThirdPartyInsuranceAgriculture,0.3722790390255935,0.37227903902559345
numberOfBoatPolicies,0.3053791837106076,0.3053791837106076
contributionSocialSecurityInsurancePolicies,0.3052586817609136,0.30525868176091353
contributionBoatPolicies,0.2090401520500155,0.20904015205001547
numberOfSocialSecurityInsurancePolicies,0.20302174602723913,0.2030217460272391
numberOfMotorcycleScooterPolicies,0.18560324014299628,0.18560324014299626
contributionThirdPartyInsuranceFirms,0.1178466856121308,0.11784668561213077
contributionFamilyAccidentsInsurancePolicies,0.11260667132847656,0.11260667132847654
contributionDisabilityInsurancePolicies,0.10689921053542925,0.10689921053542922
contributionTrailerPolicies,0.09985851421713904,0.09985851421713902
contributionTractorPolicies,0.09880329825013238,0.09880329825013238
numberOfBicyclePolicies,0.09383127558287566,0.09383127558287564
contributionBicyclePolicies,0.08755411696676797,0.08755411696676796
numberOfFamilyAccidentsInsurancePolicies,0.08682353941449493,0.08682353941449492
contributionPropertyInsurancePolicies,0.08438278207546891,0.0843827820754689
numberOfTrailerPolicies,0.06966594396188708,0.06966594396188706
numberOfTractorPolicies,0.06476052658411226,0.06476052658411224
numberOfPropertyInsurancePolicies,0.05365561522759549,0.053655615227595474
numberOfThirdPartyInsuranceFirms,0.04376606974887368,0.043766069748873676
contributionDeliveryVanPolicies,0.041812917300241274,0.04181291730024127
numberOfSurfboardPolicies,0.03599679984207464,0.035996799842074635
numberOfDisabilityInsurancePolicies,0.028710658986357426,0.028710658986357423
numberOfDeliveryVanPolicies,0.028096338646471205,0.0280963386464712
contributionPrivateAccidentInsurancePolicies,0.01529857110466851,0.015298571104668509
numberOfPrivateAccidentInsurancePolicies,0.01454872241987926,0.014548722419879258
contributionSurfboardPolicies,0.010986448217474588,0.010986448217474586
numberOfAgriculturalMachinesPolicies,0.005584548728599937,0.005584548728599936
contributionLorryPolicies,0.0029917082141319037,0.0029917082141319032
contributionAgriculturalMachinesPolicies,0.001930590258299465,0.0019305902582994648
numberOfLorryPolicies,0.0010198006911184328,0.0010198006911184326
