feature_name,raw_gain,percentage_share
total_day_minutes,4221.97412109375,22.709835786846565
number_customer_service_calls,2826.065673828125,15.201298145061623
international_plan,2102.1826171875,11.307559132532962
total_eve_minutes,1587.1033935546875,8.536967875832588
total_day_charge,1236.470458984375,6.650926858724445
total_intl_minutes,1229.101318359375,6.611288535825256
total_intl_calls,1215.963623046875,6.5406213799860335
voice_mail_plan,772.03466796875,4.152744670727839
total_night_minutes,705.49658203125,3.794838875507036
state,645.3118286132812,3.4711074106064785
total_eve_charge,517.8172607421875,2.785319052596027
number_vmail_messages,330.9707946777344,1.7802791257816326
total_night_charge,242.7744598388672,1.3058744459458576
total_eve_calls,185.96778869628906,1.000313555176793
total_intl_charge,183.6118927001953,0.9876412815750026
total_day_calls,177.22398376464844,0.953280966048005
total_night_calls,175.51925659179688,0.9441113044047914
account_length,171.53103637695312,0.9226588218544199
area_code,63.82882308959961,0.3433327749666469
