feature_name,raw_gain,percentage_share
discharge_disposition_id,43956.8515625,16.273351059561147
diag_1,25476.380859375,9.431660246690205
number_inpatient,15903.9775390625,5.887842293903813
diag_2,13318.7939453125,4.930776474148842
diag_3,13092.5400390625,4.847014577786266
pca_embed_2,7572.556640625,2.803450844428336
medical_specialty,6834.24267578125,2.5301182030994744
pca_embed_5,6228.45166015625,2.3058471391908872
pca_embed_15,5979.046875,2.2135145111587975
payer_code,5434.80029296875,2.0120279310799702
pca_embed_17,4522.49267578125,1.6742807630942307
pca_embed_1,4385.42041015625,1.6235349744457097
pca_embed_6,4335.18896484375,1.6049386938946062
pca_embed_30,4207.8779296875,1.5578066292628154
pca_embed_0,4117.54296875,1.5243635486045592
pca_embed_9,3964.6796875,1.467771737510885
pca_embed_20,3646.15625,1.3498505594718797
pca_embed_4,3514.224609375,1.3010078915500924
pca_embed_37,3513.68359375,1.300807601108867
pca_embed_28,3442.785888671875,1.274560424547254
pca_embed_7,3387.809326171875,1.2542074449818648
pca_embed_19,3131.30615234375,1.1592469087464232
pca_embed_27,3042.964599609375,1.1265418115956605
pca_embed_21,3021.29248046875,1.118518534439912
pca_embed_31,2985.144287109375,1.1051360418410143
pca_embed_16,2966.233154296875,1.0981349147754367
pca_embed_22,2962.6845703125,1.0968211866331932
pca_embed_34,2834.337158203125,1.0493054428845243
pca_embed_12,2827.107421875,1.0466289082112354
pca_embed_10,2768.599609375,1.0249686177514943
pca_embed_23,2696.083984375,0.9981224679254403
pca_embed_35,2654.830322265625,0.9828498698631373
pca_embed_29,2637.495849609375,0.9764324412043439
admission_source_id,2636.62109375,0.9761085961452686
pca_embed_3,2565.73779296875,0.9498667522262694
pca_embed_18,2464.2265625,0.9122860832023016
pca_embed_25,2461.7548828125,0.9113710378832737
pca_embed_13,2453.711669921875,0.9083933444779618
pca_embed_32,2442.533935546875,0.9042552138096117
num_lab_procedures,2438.3095703125,0.9026913033833828
pca_embed_33,2422.33984375,0.8967791200163086
pca_embed_26,2395.79443359375,0.8869516923653885
pca_embed_14,2393.106201171875,0.8859564766396065
pca_embed_36,2386.57177734375,0.8835373549521526
pca_embed_8,2351.912109375,0.8707059322179439
pca_embed_24,2216.978515625,0.8207519054219203
diabetesMed,2094.660400390625,0.7754682793341281
pca_embed_11,2065.672607421875,0.7647366524169541
time_in_hospital,2057.222900390625,0.7616084700294038
num_medications,1591.7103271484375,0.5892701596697857
age,1371.017333984375,0.5075669796993625
number_diagnoses,1071.578369140625,0.3967111012048475
insulin,1012.200439453125,0.3747286829777203
weight,906.2266845703125,0.3354959341568489
number_emergency,899.5738525390625,0.3330329763394336
race,702.4288330078125,0.2600475372454966
admission_type_id,657.9525146484375,0.24358187337806042
num_procedures,550.2544555664062,0.2037107665636129
number_outpatient,429.3568115234375,0.15895301586375368
A1Cresult,343.7892150878906,0.12727487044110838
glipizide,296.73162841796875,0.10985359023848663
change,283.02288818359375,0.1047784509942412
glyburide,216.18479919433594,0.080034192758961
max_glu_serum,183.44671630859375,0.06791416375599221
gender,132.04867553710938,0.04888599564302485
metformin,104.86944580078125,0.03882392041912371
pioglitazone,57.6733512878418,0.02135136295996956
rosiglitazone,53.649085998535156,0.019861531921534538
repaglinide,20.485660552978516,0.007584036026593504
glimepiride,17.076826095581055,0.006322044827103634
glyburide-metformin,2.9503345489501953,0.0010922490613312682
acarbose,0.5825148224830627,0.00021565393941343707
nateglinide,0.0,0.0
chlorpropamide,0.0,0.0
acetohexamide,0.0,0.0
tolbutamide,0.0,0.0
miglitol,0.0,0.0
troglitazone,0.0,0.0
tolazamide,0.0,0.0
examide,0.0,0.0
citoglipton,0.0,0.0
glipizide-metformin,0.0,0.0
glimepiride-pioglitazone,0.0,0.0
metformin-rosiglitazone,0.0,0.0
metformin-pioglitazone,0.0,0.0
