feature_name,raw_gain,percentage_share
pca_embed_0,40235212.92024994,56.42797127826037
pca_embed_1,6825206.986747742,9.572027979067824
pca_embed_2,4786320.328819275,6.712586474402335
pca_embed_3,3894540.089607239,5.461907129806379
pca_embed_4,2882904.1598587036,4.04313588331009
pca_embed_5,1539785.014793396,2.1594752030187028
pca_embed_11,1497500.6518936157,2.1001733964156744
pca_embed_10,837453.6799926758,1.1744889307573871
pca_embed_8,807894.1974029541,1.1330331631967892
pca_embed_12,582909.6267852783,0.8175030101930136
pca_embed_6,536594.6270751953,0.7525484272864105
pca_embed_7,448183.3807449341,0.6285558619062398
pca_embed_18,367548.7178726196,0.5154695847288379
pca_embed_13,360566.50093078613,0.5056773577600556
pca_embed_24,349127.83699035645,0.48963517596343875
pca_embed_9,341081.04515075684,0.4783499333649451
pca_embed_19,318350.31604003906,0.4464711675700223
pca_embed_14,315660.42261505127,0.44269872005675465
pca_embed_31,315337.3739852905,0.44224565972778973
pca_embed_17,312894.2025909424,0.4388192281206947
pca_embed_15,304443.95446014404,0.4269681572747671
pca_embed_22,299036.62619018555,0.4193846367174352
pca_embed_33,295808.35314178467,0.4148571374044673
pca_embed_21,290146.8316345215,0.40691712292917875
pca_embed_16,281817.2965774536,0.3952353464242772
pca_embed_20,276689.32206726074,0.38804360622023365
pca_embed_28,274087.67641448975,0.38439492200768194
pca_embed_27,266256.1677932739,0.3734116038773831
pca_embed_26,255927.7100982666,0.3589264335039146
pca_embed_32,251885.38373565674,0.3532572631595493
pca_embed_25,250696.79917907715,0.3515903298851214
pca_embed_23,244309.2713394165,0.34263212608016386
pca_embed_30,239331.26557540894,0.33565070990545137
pca_embed_29,218158.58975219727,0.3059570396966177
