feature_name,raw_gain,percentage_share
pca_embed_0,6426247.0,43.6768276199876
Delivery_person_ID,2182892.75,14.83631587062724
pca_embed_1,1580628.875,10.74295073073754
pca_embed_2,1117645.5,7.596223712495778
Delivery_person_Age,925999.9375,6.293679599664749
Delivery_person_Ratings,907104.0,6.165250890823406
pca_embed_3,587367.6875,3.9921212546745006
pca_embed_4,350786.78125,2.3841682051789403
pca_embed_11,152814.375,1.0386228719081516
pca_embed_8,95536.6484375,0.6493273173589571
pca_embed_5,84310.453125,0.5730270136992354
pca_embed_10,49366.125,0.33552332051534284
pca_embed_6,44347.78125,0.3014154913412398
pca_embed_12,23629.3203125,0.16059976376048635
pca_embed_17,17815.33984375,0.12108428564089828
Type_of_vehicle,17586.89453125,0.11953162721761379
pca_embed_14,16540.91015625,0.11242245770699967
pca_embed_7,16206.19921875,0.11014755107491535
pca_embed_18,14197.1318359375,0.09649266203065028
pca_embed_24,11089.0849609375,0.07536841523555882
pca_embed_19,9772.8857421875,0.06642269522341082
pca_embed_31,8486.171875,0.057677376256773515
pca_embed_27,8439.958984375,0.05736328430580283
pca_embed_9,7782.92333984375,0.05289765567584527
Restaurant_latitude,7621.2919921875,0.05179910709693626
pca_embed_16,7232.57177734375,0.04915711935259108
pca_embed_33,5554.22802734375,0.03775003670297714
pca_embed_13,4646.85693359375,0.03158297047457379
pca_embed_20,4201.8984375,0.028558751901597117
pca_embed_28,3320.501953125,0.022568225500587326
pca_embed_26,3053.651123046875,0.020754538957637316
pca_embed_15,2561.711181640625,0.017411004851309378
pca_embed_29,2556.02294921875,0.017372344036225135
pca_embed_23,2475.34521484375,0.01682400727029192
pca_embed_22,2462.836669921875,0.016738991309914176
pca_embed_32,2296.80078125,0.015610506692336773
Delivery_location_latitude,2024.077880859375,0.013756909856052022
pca_embed_30,1954.034912109375,0.013280853664609965
pca_embed_21,1895.8214111328125,0.012885197996953665
Type_of_order,1419.61083984375,0.009648570610392239
Restaurant_longitude,868.2810668945312,0.005901385751971776
Delivery_location_longitude,432.2442932128906,0.00293780483140203
pca_embed_25,0.0,0.0
