feature_name,raw_gain,percentage_share
Inflightentertainment,463602.9519902319,31.823524843649686
Seatcomfort,268379.4728844911,18.422619584711285
Class,54446.81308166683,3.737442786599174
EaseofOnlinebooking,52583.29869496822,3.6095238505203304
Onlinesupport,51330.40572205186,3.5235203630988825
DepartureArrivaltimeconvenient,48835.05222570896,3.352229512504321
Gatelocation,48357.97953863442,3.3194813722171057
Foodanddrink,45750.785418629646,3.140513342583123
Baggagehandling,43794.958740487695,3.0062577287771215
FlightDistance,42189.79263789952,2.8960728321439015
Cleanliness,41426.62851049006,2.843686253361054
Onlineboarding,40702.91525191069,2.7940077369383096
TypeofTravel,39371.52525909245,2.702615906210859
Age,39286.622480139136,2.6967878464806168
CustomerType,37700.04935337603,2.5878792446284082
Legroomservice,35518.86252656579,2.4381540263707393
Checkinservice,30597.695643812418,2.100345831058929
Onboardservice,28957.650298461318,1.9877666864084602
ArrivalDelayinMinutes,18225.59031434357,1.2510759986940603
Inflightwifiservice,14475.27163170278,0.9936394158244639
DepartureDelayinMinutes,11258.896861836314,0.7728548372191703
