feature_name,raw_gain,percentage_share
Recency,829.6181212927124,11.626922884284085
AcceptedCmp3,649.3420789762749,9.100392197332509
Dt_Customer,637.8821930885315,8.939784315151886
AcceptedCmp5,590.5133801785269,8.275920399105164
Marital_Status,450.19112066422235,6.30933354613348
AcceptedCmp1,400.11989643996924,5.607595905844303
NumCatalogPurchases,387.83119580765197,5.435372359934565
MntMeatProducts,353.8986270958558,4.959814570691767
NumWebVisitsMonth,307.8762202390935,4.314820251330795
Teenhome,276.2009476724488,3.8708979911742865
NumStorePurchases,271.5839189041326,3.8061913073809204
Education,202.3596871778791,2.8360283090717475
NumWebPurchases,198.46082857480178,2.7813866285789546
MntWines,195.27910133155092,2.7367953927481126
Income,194.40187103637436,2.724501195295093
AcceptedCmp4,172.48457170382608,2.417334870656195
MntGoldProds,171.439719230013,2.4026914837451807
NumDealsPurchases,168.32102226556162,2.3589836039695737
Kidhome,145.86100042791804,2.044211137959901
MntSweetProducts,136.7510545020923,1.9165371684056582
MntFruits,110.01968821627088,1.5419027113948804
AcceptedCmp2,102.87841898377519,1.4418193302209508
MntFishProducts,91.9049196986598,1.2880280536273592
Year_Birth,88.84157122469878,1.2450958712650273
Complain,1.2585644173832407,0.017638514697602484
