feature_name,raw_gain,percentage_share
TOT_LVG_AREA,6234148066695040.0,39.19192533033719
OCEAN_DIST,1836975920321664.0,11.548430087423508
CNTR_DIST,1667903198128640.0,10.485528559789648
structure_quality,1449619464968064.0,9.113254484914833
LONGITUDE,1132978679077376.0,7.122643754402297
SPEC_FEAT_VAL,799965088082304.0,5.029102880390721
SUBCNTR_DI,694468020065024.0,4.3658794265893315
WATER_DIST,557567066309632.0,3.5052306418905625
LND_SQFOOT,417610094147840.0,2.62536973006385
age,384005187674880.0,2.4141073456721
LATITUDE,343489906538112.0,2.1594018340188255
RAIL_DIST,193717368175232.0,1.2178338639842448
HWY_DIST,165340674952960.0,1.039439441844901
month_sold,28056382425088.0,0.17638073932151002
avno60plus,870396282496.0,0.0054718793564796815
