feature_name,raw_gain,percentage_share
pca_embed_2,3611469153304576.0,28.16371680562584
pca_embed_1,3601007149842432.0,28.082129814232687
pca_embed_0,2494756718379008.0,19.455135495499903
pca_embed_5,800432855187456.0,6.242103503719677
TOT_LVG_AREA,387413499183104.0,3.021209268168796
pca_embed_3,333697584726016.0,2.6023105489757032
pca_embed_6,300479099699200.0,2.343259186415646
pca_embed_11,208792251793408.0,1.6282475638308578
pca_embed_4,169052060254208.0,1.3183372606271784
OCEAN_DIST,148718007353344.0,1.1597639811388207
pca_embed_9,136850786222080.0,1.0672185263604421
structure_quality,72996735680512.0,0.5692584663390813
pca_embed_8,55764899069952.0,0.43487754108694243
WATER_DIST,42685788323840.0,0.3328812743360935
SUBCNTR_DI,38830698659840.0,0.3028177049275485
CNTR_DIST,28844685787136.0,0.22494268326030661
pca_embed_35,26615543234560.0,0.20755891590549633
SPEC_FEAT_VAL,24676065607680.0,0.19243407437547405
LND_SQFOOT,24658978013184.0,0.19230081830935636
pca_embed_7,15949648363520.0,0.12438189573029067
pca_embed_71,14463887474688.0,0.11279532330293082
LONGITUDE,13009368907776.0,0.10145239130819103
pca_embed_57,10775013883904.0,0.08402797496561254
pca_embed_33,10529194115072.0,0.08211097164626424
pca_embed_15,10209250508800.0,0.07961592025905519
pca_embed_43,9880536612864.0,0.07705247455808767
pca_embed_27,9290316251136.0,0.07244969424487048
pca_embed_39,9078712565760.0,0.07079952196955054
pca_embed_22,8962056388608.0,0.0698897892825277
LATITUDE,8319796772864.0,0.06488118553550337
pca_embed_16,7530436624384.0,0.05872543153741223
pca_embed_53,7210818600960.0,0.05623291917870892
pca_embed_61,6563883384832.0,0.05118785318335256
pca_embed_48,6403222142976.0,0.04993495096400722
pca_embed_13,6349963395072.0,0.04951961741698856
pca_embed_37,5972603437056.0,0.04657680978380671
pca_embed_65,5608241627136.0,0.04373536703744339
pca_embed_24,5579448254464.0,0.04351082451488827
pca_embed_67,5552627253248.0,0.043301663353425876
pca_embed_21,5481922822144.0,0.04275028121779449
pca_embed_26,4870763446272.0,0.037984209889340204
pca_embed_66,4735405916160.0,0.036928636386214714
pca_embed_52,4598068674560.0,0.03585762428141826
age,4326693011456.0,0.03374132562312666
pca_embed_59,4263134625792.0,0.03324567127901417
pca_embed_69,4232407941120.0,0.03300605199701473
pca_embed_10,4224428802048.0,0.032943827399866815
pca_embed_58,4174340161536.0,0.032553215649724083
pca_embed_44,4107725701120.0,0.032033728782004584
pca_embed_19,3933638230016.0,0.030676123323546127
pca_embed_45,3855754199040.0,0.03006875172518109
HWY_DIST,3848928231424.0,0.030015520031734255
pca_embed_28,3757457276928.0,0.02930219203445415
pca_embed_47,3712591855616.0,0.02895231308864063
pca_embed_38,3565472972800.0,0.02780501973612824
pca_embed_14,3415727669248.0,0.026637244478141607
pca_embed_70,3242627956736.0,0.025287341966067724
pca_embed_72,3240546009088.0,0.02527110608491427
pca_embed_50,3211680022528.0,0.025045997289495938
pca_embed_36,3137157464064.0,0.024464839831653522
pca_embed_51,3129060884480.0,0.02440169938525394
pca_embed_40,3097824329728.0,0.024158103927373928
pca_embed_20,3064023744512.0,0.023894513108934624
pca_embed_64,3026111692800.0,0.023598859389461487
pca_embed_46,2999090675712.0,0.02338813842224235
pca_embed_54,2865977884672.0,0.02235007031452319
pca_embed_18,2853210161152.0,0.022250502372999786
RAIL_DIST,2820792123392.0,0.021997693226331234
pca_embed_29,2711564320768.0,0.02114589004878276
pca_embed_25,2585299779584.0,0.020161227400551485
pca_embed_31,2585275400192.0,0.020161037280059507
pca_embed_63,2209073070080.0,0.01722725730378696
pca_embed_17,2144348274688.0,0.01672250681850194
pca_embed_60,2061500678144.0,0.01607642730126255
pca_embed_62,2023263698944.0,0.015778239664049586
pca_embed_32,1972485881856.0,0.015382253432472407
pca_embed_30,1600010190848.0,0.012477535315489393
pca_embed_23,1528949243904.0,0.011923372923201161
pca_embed_55,1522697109504.0,0.011874616216388037
pca_embed_68,1406834573312.0,0.010971072666886243
pca_embed_12,1293281525760.0,0.010085539456463004
month_sold,1260830064640.0,0.009832469660732873
pca_embed_42,1095690944512.0,0.008544647111131554
pca_embed_56,1087435767808.0,0.008480269859380942
pca_embed_41,639282708480.0,0.004985388603939642
pca_embed_34,415972655104.0,0.0032439252724929214
pca_embed_49,208979591168.0,0.0016297085130646963
avno60plus,0.0,0.0
