feature_name,raw_gain,percentage_share
redshift,255581.76233920455,32.733096068474076
pca_embed_0,220002.21440556645,28.176320381799787
pca_embed_1,52772.090939089656,6.758674432140816
z,30165.24309439957,3.8633499945406493
g,25533.64824759215,3.270168236643594
pca_embed_6,22650.188860699534,2.9008752469684014
pca_embed_7,18115.413730315864,2.3200934703924503
pca_embed_9,15894.235797077417,2.0356207834196827
pca_embed_2,15742.154537528753,2.016143296319433
i,14779.504497289658,1.892853919334676
u,14615.072035044432,1.8717945779552811
pca_embed_8,14287.331819325686,1.8298199399042838
pca_embed_10,11529.418296590447,1.476605972436509
pca_embed_4,10534.098739743233,1.3491325158998435
pca_embed_18,9909.74988141656,1.2691703504745753
pca_embed_3,8527.531111732125,1.092145591893871
pca_embed_12,6701.708096385002,0.8583071535859398
r,5701.083392262459,0.7301542514823006
pca_embed_5,5650.086756251752,0.7236229647017829
pca_embed_11,5025.35479067266,0.6436117336218169
pca_embed_20,2890.2108850181103,0.37015767358192064
pca_embed_17,2825.5240460932255,0.3618730428887338
pca_embed_14,2449.184291601181,0.3136741212386641
pca_embed_13,2349.2006901055574,0.3008689319987343
pca_embed_15,1556.7697627171874,0.199380009485523
pca_embed_19,1496.5753664076328,0.19167073892118036
pca_embed_16,937.0746574699879,0.12001386368714487
delta,762.0030271112919,0.09759193325303997
fiber_ID,686.2083567231894,0.08788469043342381
alpha,529.0953502207994,0.06776277293672826
plate,472.74972063302994,0.06054642506646318
cam_col,132.85336130857468,0.017014914518672642
