feature_name,raw_gain,percentage_share
coupon,13.242456693834386,13.24245669383439
occupation,8.812079736247469,8.812079736247473
income,7.890128645851228,7.89012864585123
CoffeeHouse,7.327948039541807,7.327948039541809
age,6.776600287788816,6.776600287788819
Bar,6.080082365559848,6.08008236555985
education,4.773619113233509,4.773619113233511
time,4.7190952481368456,4.719095248136846
Restaurant20To50,4.7070075109958225,4.707007510995824
passenger,4.542374037776655,4.542374037776656
CarryAway,4.395592035831508,4.39559203583151
RestaurantLessThan20,4.083885014058816,4.083885014058817
maritalStatus,3.655381434201647,3.655381434201648
expiration,3.2750936647004005,3.2750936647004014
destination,3.140746040265766,3.1407460402657668
temperature,3.0021810534234254,3.0021810534234263
weather,2.774552064191387,2.7745520641913877
toCoupon_GEQ15min,1.671560809679137,1.6715608096791374
gender,1.327415558613516,1.3274155586135161
toCoupon_GEQ25min,1.0641962907268858,1.0641962907268863
has_children,1.0186710023352405,1.0186710023352408
direction_opp,0.7169505955079937,0.7169505955079938
direction_same,0.6613925724873208,0.661392572487321
car,0.34099018501055134,0.34099018501055145
