feature_name,raw_gain,percentage_share
SFH,10.833551900981677,10.833551900981675
pca_embed_2,9.19023504756527,9.190235047565269
pca_embed_0,8.024379329300087,8.024379329300087
pca_embed_10,5.3537350912650385,5.353735091265038
pca_embed_6,4.5937243375428585,4.593724337542858
pca_embed_5,4.36328680191877,4.363286801918769
SSLfinal_State,4.248606727038243,4.248606727038242
pca_embed_3,3.926788035290037,3.926788035290036
popUpWidnow,3.8831292847475267,3.883129284747526
pca_embed_1,3.5586155867983167,3.558615586798316
pca_embed_7,3.0454551991688854,3.045455199168885
Request_URL,3.0137808278452036,3.013780827845203
pca_embed_11,2.6930994218219944,2.693099421821994
URL_of_Anchor,2.3095057019164615,2.309505701916461
pca_embed_9,2.185495081833381,2.1854950818333805
pca_embed_13,2.1650093902922367,2.1650093902922363
pca_embed_8,2.088777729646178,2.088777729646178
pca_embed_18,1.9946027238857336,1.9946027238857331
pca_embed_24,1.7764260153805485,1.7764260153805482
pca_embed_4,1.7441933190419197,1.7441933190419194
URL_Length,1.6563187623889672,1.6563187623889668
pca_embed_17,1.5769575099891813,1.576957509989181
pca_embed_12,1.564308978617882,1.5643089786178819
pca_embed_14,1.4982760705755775,1.4982760705755773
pca_embed_15,1.3575538009463703,1.3575538009463701
pca_embed_20,1.2981339138812895,1.2981339138812893
pca_embed_22,1.2564204877817187,1.2564204877817184
pca_embed_25,1.218085428156702,1.2180854281567017
pca_embed_21,1.217936628615199,1.217936628615199
pca_embed_16,1.1949281561638634,1.1949281561638632
pca_embed_23,1.1472894937350475,1.1472894937350475
web_traffic,1.0108668036345902,1.0108668036345902
pca_embed_26,0.963051663033918,0.9630516630339179
pca_embed_19,0.9399463451994354,0.9399463451994353
age_of_domain,0.889525023422863,0.8895250234228628
having_IP_Address,0.21800338057703383,0.2180033805770338
