number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,1.6669202549769935,2026-06-23 22:29:44.835375,2026-06-23 22:29:46.772514,0 days 00:00:01.937139,,,,,,,,,,,,454,{},COMPLETE
1,1.8459176889790685,2026-06-23 22:29:46.786286,2026-06-23 22:29:58.788553,0 days 00:00:12.002267,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,1.6626767175331723,2026-06-23 22:29:58.797412,2026-06-23 22:30:01.768859,0 days 00:00:02.971447,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,1000,,COMPLETE
3,1.5696062111456617,2026-06-23 22:30:01.780305,2026-06-23 22:30:12.551691,0 days 00:00:10.771386,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,1000,,COMPLETE
4,2.2220105213849677,2026-06-23 22:30:12.564856,2026-06-23 22:30:16.425756,0 days 00:00:03.860900,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,1.856934739588255,2026-06-23 22:30:16.434018,2026-06-23 22:30:20.505105,0 days 00:00:04.071087,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,1.920675950814718,2026-06-23 22:30:20.513591,2026-06-23 22:30:25.295744,0 days 00:00:04.782153,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,3.0585167726835203,2026-06-23 22:30:25.304060,2026-06-23 22:30:28.282190,0 days 00:00:02.978130,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,1.930491972755422,2026-06-23 22:30:28.290706,2026-06-23 22:30:31.806791,0 days 00:00:03.516085,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,1.6221587786504401,2026-06-23 22:30:31.815118,2026-06-23 22:30:35.988168,0 days 00:00:04.173050,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,1000,,COMPLETE
10,1.5648355085809231,2026-06-23 22:30:35.996449,2026-06-23 22:30:41.172090,0 days 00:00:05.175641,0.8383148270515275,0.9630659181130071,lossguide,0.08675823913417954,99.0,8.0,968.0,0.038946887834449,4.7988577526525065,0.08173818767886609,0.9729161367647149,1000,,COMPLETE
11,1.6416357066689313,2026-06-23 22:30:41.183760,2026-06-23 22:30:45.702308,0 days 00:00:04.518548,0.8406250704111515,0.9947810126850749,lossguide,0.08501524685764598,96.0,8.0,1018.0,0.02103688133913847,4.9924707133755,0.03836025067712834,0.9937860899026008,1000,,COMPLETE
12,1.6447350419414621,2026-06-23 22:30:45.710208,2026-06-23 22:30:50.851229,0 days 00:00:05.141021,0.8324887157963144,0.7029757860222112,lossguide,0.04655356714034572,97.0,7.0,348.0,0.019314596151057493,4.6901069533198685,1.264229323312938,0.9962539829075037,1000,,COMPLETE
13,1.9252726332718297,2026-06-23 22:30:50.859558,2026-06-23 22:31:01.304737,0 days 00:00:10.445179,0.8031883053863873,0.9066648548687098,lossguide,0.006225834761094983,60.0,7.0,365.0,0.05090057180402597,3.8134278081557236,1.1880938510253682,0.7419729627670866,1000,,COMPLETE
14,1.5429378102669409,2026-06-23 22:31:01.313084,2026-06-23 22:31:10.262778,0 days 00:00:08.949694,0.8936815908459564,0.7258856241551428,lossguide,0.036965565997119185,72.0,8.0,570.0,0.05827050925392945,3.817085967564957,2.1206658187775442,0.6037257483995552,1000,,COMPLETE
15,1.5440477103011405,2026-06-23 22:31:10.274182,2026-06-23 22:31:20.022180,0 days 00:00:09.747998,0.9003988944050104,0.7242757678791987,lossguide,0.03811100681155714,36.0,10.0,178.0,0.07587843364571596,4.072380619213195,2.5693334494715216,0.6030319193208898,1000,,COMPLETE
16,1.5233320084012922,2026-06-23 22:31:20.030966,2026-06-23 22:31:29.828192,0 days 00:00:09.797226,0.9157107190991005,0.7272258549105045,lossguide,0.038122225385619345,34.0,10.0,146.0,0.10162976631990384,3.9618028277701858,2.363517618311741,0.6242795669734986,1000,,COMPLETE
17,1.5290300790724376,2026-06-23 22:31:29.839721,2026-06-23 22:31:39.260095,0 days 00:00:09.420374,0.9100985268582042,0.7496695744340605,lossguide,0.0356863977250977,34.0,9.0,154.0,0.08617331838064433,3.405754005550084,2.1593457442197854,0.6777128106805314,1000,,COMPLETE
