number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.16616549703558436,2026-06-23 23:56:05.406855,2026-06-23 23:56:08.532999,0 days 00:00:03.126144,,,,,,,,,,,,13,{},COMPLETE
1,0.1506520957316092,2026-06-23 23:56:08.546472,2026-06-23 23:57:01.834560,0 days 00:00:53.288088,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,349,,COMPLETE
2,0.1615665161836286,2026-06-23 23:57:01.848330,2026-06-23 23:57:05.560130,0 days 00:00:03.711800,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,121,,COMPLETE
3,0.15444927209617332,2026-06-23 23:57:05.568919,2026-06-23 23:57:35.490586,0 days 00:00:29.921667,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,275,,COMPLETE
4,0.15847633296363206,2026-06-23 23:57:35.498836,2026-06-23 23:57:46.252706,0 days 00:00:10.753870,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,469,,COMPLETE
5,0.15859264135107376,2026-06-23 23:57:46.261696,2026-06-23 23:57:53.867147,0 days 00:00:07.605451,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,277,,COMPLETE
6,0.15946737470156613,2026-06-23 23:57:53.875607,2026-06-23 23:58:04.681026,0 days 00:00:10.805419,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,343,,COMPLETE
7,0.16257587319907252,2026-06-23 23:58:04.689586,2026-06-23 23:58:20.066136,0 days 00:00:15.376550,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.15851348517809827,2026-06-23 23:58:20.074455,2026-06-23 23:58:27.793574,0 days 00:00:07.719119,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,276,,COMPLETE
9,0.1563367331359825,2026-06-23 23:58:27.802161,2026-06-23 23:58:37.643014,0 days 00:00:09.840853,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,295,,COMPLETE
10,0.15885269781285394,2026-06-23 23:58:37.651231,2026-06-23 23:58:46.292967,0 days 00:00:08.641736,0.8262452362725613,0.7202259292197385,lossguide,0.0864853073450281,8.0,7.0,971.0,0.05528731777524736,4.7988577526525065,2.58248067449815,0.9729161367647149,47,,COMPLETE
11,0.15342190305297,2026-06-23 23:58:46.301164,2026-06-23 23:59:17.753840,0 days 00:00:31.452676,0.8167265665612355,0.6039952029525323,lossguide,0.031790458723690476,84.0,10.0,1021.0,0.028789455442955813,3.838153225904187,0.11339104360127994,0.7969511524558275,204,,COMPLETE
12,0.15385196137133483,2026-06-23 23:59:17.762552,2026-06-23 23:59:39.483042,0 days 00:00:21.720490,0.7770686130040154,0.6908556046603515,lossguide,0.03789339775622382,33.0,10.0,828.0,0.06504931391232921,4.8695987677759724,0.036286437200296895,0.7275749457799163,132,,COMPLETE
13,0.15207601323881692,2026-06-23 23:59:39.491638,2026-06-24 00:01:07.253281,0 days 00:01:27.761643,0.6896214352214821,0.6944839312333239,lossguide,0.00721580146971962,89.0,10.0,365.0,0.05090057180402597,3.7717334436365895,2.2386332504708712,0.8280519459602143,729,,COMPLETE
14,0.15502169684754796,2026-06-24 00:01:07.262044,2026-06-24 00:02:07.498433,0 days 00:01:00.236389,0.6830604698949898,0.7015597868068394,lossguide,0.006839572179807372,33.0,8.0,304.0,0.13925071458840985,3.6787706002606195,2.72683315376246,0.8505633433761538,727,,COMPLETE
15,0.15307126872240917,2026-06-24 00:02:07.508480,2026-06-24 00:02:51.894825,0 days 00:00:44.386345,0.6084769881164421,0.6720221113769395,lossguide,0.008481053349076628,13.0,9.0,178.0,4.204196605005472,1.0905676022285835,1.792015584924231,0.9552801451296651,579,,COMPLETE
16,0.15190712794522532,2026-06-24 00:02:51.903380,2026-06-24 00:04:05.192022,0 days 00:01:13.288642,0.7502587839584888,0.7432872355587146,lossguide,0.009151843338230383,32.0,10.0,499.0,0.016269636891711393,2.43103828460312,3.3389954686755052,0.8509679306459871,440,,COMPLETE
17,0.15461217276637895,2026-06-24 00:04:05.200645,2026-06-24 00:04:45.346133,0 days 00:00:40.145488,0.7616287146723626,0.7517842248725415,lossguide,0.010270782784764268,11.0,8.0,526.0,0.012514292210634615,2.459845037461676,3.4008991247178875,0.9180044205126956,387,,COMPLETE
18,0.15475565687684378,2026-06-24 00:04:45.355963,2026-06-24 00:05:07.264086,0 days 00:00:21.908123,0.7776469417082361,0.8910149050713664,lossguide,0.016428297589334347,28.0,7.0,188.0,0.0016513448027415942,0.07520455600727383,4.914121475754526,0.87446424122471,245,,COMPLETE
