number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.16650216341215296,2026-06-24 01:05:41.682867,2026-06-24 01:05:46.005988,0 days 00:00:04.323121,,,,,,,,,,,,,,100,{},COMPLETE
1,0.16389450697646346,2026-06-24 01:05:46.019759,2026-06-24 01:06:05.856574,0 days 00:00:19.836815,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.15836224598261683,2026-06-24 01:06:05.868649,2026-06-24 01:06:12.606378,0 days 00:00:06.737729,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,527,,COMPLETE
3,0.16548202104877485,2026-06-24 01:06:12.618452,2026-06-24 01:06:27.865456,0 days 00:00:15.247004,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.15859009109513822,2026-06-24 01:06:27.874437,2026-06-24 01:06:33.719694,0 days 00:00:05.845257,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,465,,COMPLETE
5,0.1544380062375219,2026-06-24 01:06:33.727608,2026-06-24 01:07:16.258581,0 days 00:00:42.530973,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.16411857533617014,2026-06-24 01:07:16.270576,2026-06-24 01:07:23.846547,0 days 00:00:07.575971,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,498,,COMPLETE
7,0.15123175842665215,2026-06-24 01:07:23.854898,2026-06-24 01:08:43.669596,0 days 00:01:19.814698,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,0.152811211269408,2026-06-24 01:08:43.683237,2026-06-24 01:09:45.374330,0 days 00:01:01.691093,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,832,,COMPLETE
9,0.15298056699554174,2026-06-24 01:09:45.382466,2026-06-24 01:10:14.460124,0 days 00:00:29.077658,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,441,,COMPLETE
10,0.15066533515982905,2026-06-24 01:10:14.468854,2026-06-24 01:11:15.153446,0 days 00:01:00.684592,Plain,Bernoulli,0.994248489293539,8.0,Depthwise,0.0025843128549611844,5.0,0.03240424724296597,254.0,5.0,1.3206749356439977,8.0,0.701799154886745,524,,COMPLETE
11,0.14712197525975967,2026-06-24 01:11:15.166300,2026-06-24 01:12:24.041438,0 days 00:01:08.875138,Plain,Bernoulli,0.9977439142264506,8.0,Depthwise,0.0017674744668102378,5.0,0.03293337046708598,254.0,5.0,1.3548020000828171,8.0,0.7062998615037844,513,,COMPLETE
12,0.1467525803292291,2026-06-24 01:12:24.053436,2026-06-24 01:13:22.768851,0 days 00:00:58.715415,Plain,Bernoulli,0.9986930682204754,8.0,Depthwise,0.0020464469652277696,5.0,0.03079409664655016,254.0,5.0,1.4594537483508048,8.0,0.7021382167984938,426,,COMPLETE
13,0.15043450718060614,2026-06-24 01:13:22.780712,2026-06-24 01:14:21.990000,0 days 00:00:59.209288,Plain,Bernoulli,0.999621042687545,8.0,Depthwise,0.0022313073800259197,5.0,0.03353211504674255,254.0,5.0,1.4799846953633142,8.0,0.7497140098909759,451,,COMPLETE
14,0.15697027656372342,2026-06-24 01:14:21.998110,2026-06-24 01:15:18.412996,0 days 00:00:56.414886,Plain,Bernoulli,0.9730708379780038,8.0,Depthwise,0.0007922494877113653,20.0,0.031983637634537626,254.0,4.0,1.0209456574411826,11.0,0.7654363152169255,369,,COMPLETE
15,0.14719857499924094,2026-06-24 01:15:18.421238,2026-06-24 01:16:46.947954,0 days 00:01:28.526716,Plain,Bernoulli,0.9734763971905294,8.0,Depthwise,0.009110447940012235,4.0,0.021549587843105136,254.0,3.0,0.939245099173462,11.0,0.7120278711878341,780,,COMPLETE
16,0.15787737519030487,2026-06-24 01:16:46.957155,2026-06-24 01:17:15.918044,0 days 00:00:28.960889,Plain,Bernoulli,0.980594200172791,7.0,Depthwise,0.0006526851230309949,7.0,0.045327023084999835,254.0,5.0,0.44003585063779765,11.0,0.7609524784084656,314,,COMPLETE
17,0.14920812715079512,2026-06-24 01:17:15.926545,2026-06-24 01:17:43.043543,0 days 00:00:27.116998,Plain,Bernoulli,0.9507044118990717,6.0,Depthwise,0.10953194935384657,2.0,0.052444609552241186,254.0,4.0,1.4723127533689486,8.0,0.7908460675419077,712,,COMPLETE
18,0.1453086798052643,2026-06-24 01:17:43.051710,2026-06-24 01:18:53.000978,0 days 00:01:09.949268,Plain,Bernoulli,0.9840060990988325,8.0,Depthwise,0.007971367990086001,3.0,0.023896130714345754,254.0,5.0,0.9190171942558779,13.0,0.7341922131039426,665,,COMPLETE
19,0.15401321261003142,2026-06-24 01:18:53.013619,2026-06-24 01:19:16.246109,0 days 00:00:23.232490,Plain,Bernoulli,0.852253181743853,6.0,SymmetricTree,0.008353794059715439,3.0,0.018915137025867522,254.0,3.0,0.8300286828563717,14.0,0.8553452162996074,1000,,COMPLETE
20,0.1506972623326297,2026-06-24 01:19:16.254566,2026-06-24 01:19:59.269214,0 days 00:00:43.014648,Plain,Bernoulli,0.9578109299938373,7.0,Depthwise,0.33661019083906235,1.0,0.023555639259304987,254.0,5.0,0.5133609957268597,24.0,0.7413056027546533,578,,COMPLETE
21,0.15757553838284688,2026-06-24 01:19:59.277408,2026-06-24 01:20:58.933979,0 days 00:00:59.656571,Plain,Bernoulli,0.9857554180014687,8.0,Depthwise,0.0007060880440930975,6.0,0.04933807300699718,254.0,5.0,1.1122426112686985,12.0,0.7138156739233409,462,,COMPLETE
22,0.14860597277636856,2026-06-24 01:20:58.942609,2026-06-24 01:22:19.818358,0 days 00:01:20.875749,Plain,Bernoulli,0.9635972149215041,8.0,Depthwise,0.00364476386619736,3.0,0.023927532907505888,254.0,5.0,1.1423915988655813,9.0,0.7012897446073219,812,,COMPLETE
23,0.15268786564897452,2026-06-24 01:22:19.826627,2026-06-24 01:23:07.476412,0 days 00:00:47.649785,Plain,Bernoulli,0.9879404965611405,8.0,Depthwise,0.02078518193738891,4.0,0.040318643498216684,254.0,5.0,0.8754864467421827,10.0,0.7381407248029513,325,,COMPLETE
24,0.14762937043809943,2026-06-24 01:23:07.485180,2026-06-24 01:23:57.950511,0 days 00:00:50.465331,Plain,Bernoulli,0.9982869382008948,7.0,Depthwise,0.004773823748564257,2.0,0.028092859216639388,254.0,4.0,1.2525352743789298,14.0,0.778016169750696,738,,COMPLETE
25,0.15114942903601059,2026-06-24 01:23:57.959754,2026-06-24 01:25:20.044227,0 days 00:01:22.084473,Plain,Bernoulli,0.9746135440436311,8.0,Depthwise,0.0012772251610263829,7.0,0.01565452953804324,254.0,5.0,0.6507307187083534,20.0,0.7301362419577635,568,,COMPLETE
