number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.02243188547317607,2026-06-24 01:34:30.454867,2026-06-24 01:34:31.199493,0 days 00:00:00.744626,,,,,,,,,,,,41,{},COMPLETE
1,0.03211783899829508,2026-06-24 01:34:31.214420,2026-06-24 01:34:40.777939,0 days 00:00:09.563519,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,0.05426021321974904,2026-06-24 01:34:40.786725,2026-06-24 01:34:44.941596,0 days 00:00:04.154871,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,1000,,COMPLETE
3,0.0652130138445541,2026-06-24 01:34:44.949879,2026-06-24 01:34:50.685042,0 days 00:00:05.735163,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,1000,,COMPLETE
4,0.03509178654136387,2026-06-24 01:34:50.693184,2026-06-24 01:34:58.841293,0 days 00:00:08.148109,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.08338501719951504,2026-06-24 01:34:58.849398,2026-06-24 01:35:04.005089,0 days 00:00:05.155691,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,0.04351412097147137,2026-06-24 01:35:04.013208,2026-06-24 01:35:11.602350,0 days 00:00:07.589142,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,0.06409589557652101,2026-06-24 01:35:11.610430,2026-06-24 01:35:20.090008,0 days 00:00:08.479578,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.03362565972545352,2026-06-24 01:35:20.098231,2026-06-24 01:35:27.898565,0 days 00:00:07.800334,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,0.04826594260259626,2026-06-24 01:35:27.906762,2026-06-24 01:35:34.089801,0 days 00:00:06.183039,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,1000,,COMPLETE
10,0.08016264469237223,2026-06-24 01:35:34.097908,2026-06-24 01:35:37.983707,0 days 00:00:03.885799,0.8262452362725613,0.9630659181130071,depthwise,0.08949625745239276,34.0,7.0,9.0,0.038946887834449,4.7988577526525065,2.71904209561275,0.9729161367647149,1000,,COMPLETE
11,0.10065212053654904,2026-06-24 01:35:37.992151,2026-06-24 01:35:47.596238,0 days 00:00:09.604087,0.8044101216064796,0.664021539196621,lossguide,0.005235264940199332,10.0,10.0,1016.0,0.04042693539277767,4.977790432379125,2.0058140000654903,0.9955755074724779,1000,,COMPLETE
12,0.07685167654783706,2026-06-24 01:35:47.605543,2026-06-24 01:35:51.776350,0 days 00:00:04.170807,0.7403227135411227,0.7061096367639027,lossguide,0.050457787252396434,34.0,6.0,194.0,0.09909199881818531,3.8279366924088967,0.03556311240368615,0.7099725813105942,1000,,COMPLETE
13,0.13297769092441944,2026-06-24 01:35:51.784418,2026-06-24 01:35:57.910907,0 days 00:00:06.126489,0.8878745420426452,0.8989199381854913,lossguide,0.008410037724463188,11.0,10.0,956.0,4.84945231525358,3.879306086722645,3.186392082867091,0.6052561262871233,1000,,COMPLETE
14,0.039394994388305675,2026-06-24 01:35:57.918833,2026-06-24 01:36:04.004618,0 days 00:00:06.085785,0.651129729713056,0.725202341719977,lossguide,0.03633683735730855,95.0,7.0,526.0,0.012192727578520031,1.25278625121095,4.897130016304546,0.827684455145088,1000,,COMPLETE
