number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.24159996289512597,2026-06-24 04:56:28.347329,2026-06-24 04:56:30.099515,0 days 00:00:01.752186,,,,,,,,,,,,,,40,{},COMPLETE
1,0.23919360643158005,2026-06-24 04:56:30.113318,2026-06-24 04:56:36.631941,0 days 00:00:06.518623,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,337,,COMPLETE
2,0.2371664434664833,2026-06-24 04:56:36.645080,2026-06-24 04:56:45.065725,0 days 00:00:08.420645,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,952,,COMPLETE
3,0.24683845353185108,2026-06-24 04:56:45.078013,2026-06-24 04:56:49.942126,0 days 00:00:04.864113,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.24738793007957982,2026-06-24 04:56:49.951047,2026-06-24 04:56:55.577545,0 days 00:00:05.626498,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.24407519844897196,2026-06-24 04:56:55.587843,2026-06-24 04:57:00.699769,0 days 00:00:05.111926,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,27,,COMPLETE
6,0.24172728682601985,2026-06-24 04:57:00.708074,2026-06-24 04:57:06.220468,0 days 00:00:05.512394,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,999,,COMPLETE
7,0.2384852337842669,2026-06-24 04:57:06.229033,2026-06-24 04:57:19.839593,0 days 00:00:13.610560,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,1000,,COMPLETE
8,0.24088608210778473,2026-06-24 04:57:19.848441,2026-06-24 04:57:23.914015,0 days 00:00:04.065574,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,79,,COMPLETE
9,0.23893726957168526,2026-06-24 04:57:23.922398,2026-06-24 04:57:27.733291,0 days 00:00:03.810893,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,203,,COMPLETE
10,0.23750105580920633,2026-06-24 04:57:27.742968,2026-06-24 04:57:36.629019,0 days 00:00:08.886051,0.7022641957948879,1.0,0.005507471753367402,0.10912561038682753,False,0.6642771874727862,0.5905156421247704,0.9004766613097611,0.005492412846230309,23.0,16.0,29.0,8.0,1000,,COMPLETE
11,0.2379852162531797,2026-06-24 04:57:36.637813,2026-06-24 04:57:45.465219,0 days 00:00:08.827406,0.7049892516198598,1.0,0.005109883781412882,0.0817727104137359,False,0.6431766142486531,0.6091129560474012,0.9921330202082117,0.005422641219228484,21.0,14.0,23.0,7.0,1000,,COMPLETE
12,0.2377846971820886,2026-06-24 04:57:45.474241,2026-06-24 04:57:54.206342,0 days 00:00:08.732101,0.7101147791077097,1.0,0.01893097479089361,0.026128447784046733,False,0.6845696095993247,0.637009287834854,1.9820499324506597,0.005242875606128808,25.0,5.0,21.0,8.0,1000,,COMPLETE
13,0.23712127452107,2026-06-24 04:57:54.215920,2026-06-24 04:58:02.453879,0 days 00:00:08.237959,0.7705222472513543,1.0,0.02145041352166123,0.0023301997448444104,False,0.5937601690710279,0.5219020402872988,0.9573112016396047,0.008606821479073736,14.0,22.0,23.0,7.0,987,,COMPLETE
14,0.23776426367654913,2026-06-24 04:58:02.466196,2026-06-24 04:58:09.897274,0 days 00:00:07.431078,0.7800711256226658,1.0,0.027699195309608543,0.0010062938030357261,False,0.5881224559130666,0.17045177131759753,0.6575180332273087,0.009232800715048714,13.0,28.0,15.0,5.0,994,,COMPLETE
15,0.239256725765417,2026-06-24 04:58:09.905357,2026-06-24 04:58:20.412027,0 days 00:00:10.506670,0.7670856560177307,1.0,0.017533434910982096,0.005789929319797633,True,0.7644044534016723,0.3539082943983741,1.266961883044617,0.009358982553096676,9.0,4.0,12.0,15.0,983,,COMPLETE
16,0.23876316790695984,2026-06-24 04:58:20.420282,2026-06-24 04:58:27.389915,0 days 00:00:06.969633,0.7633028375009488,1.0,0.055032952265573344,0.0064739141262422,False,0.558442219877422,0.4920045768131804,1.8566384390614163,0.009641113166690661,15.0,25.0,41.0,4.0,1000,,COMPLETE
17,0.23697258957304124,2026-06-24 04:58:27.398235,2026-06-24 04:58:31.388251,0 days 00:00:03.990016,0.8044789084336526,1.0,0.01150725439761367,95.74738509612254,False,0.4314520933508704,0.746055264944429,1.2797211597048639,0.027776358985100794,32.0,9.0,10.0,16.0,239,,COMPLETE
18,0.23753649688399414,2026-06-24 04:58:31.401572,2026-06-24 04:58:34.537284,0 days 00:00:03.135712,0.9981528355149126,1.0,0.04255297770227226,74.7857737099095,False,0.40697257697653194,0.7512759720604234,1.148740993832362,0.03586276028807965,30.0,12.0,10.0,16.0,164,,COMPLETE
19,0.2390088336473063,2026-06-24 04:58:34.545831,2026-06-24 04:58:41.046241,0 days 00:00:06.500410,0.8058486648407297,1.0,0.15621726623850757,71.10481724190032,True,0.4129666509181616,0.7471128906509754,0.6358316817709178,0.04517917130394657,33.0,32.0,8.0,16.0,546,,COMPLETE
