number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.14727935127097935,2026-06-24 06:04:31.434641,2026-06-24 06:04:32.711145,0 days 00:00:01.276504,,,,,,,,,,,,14,{},COMPLETE
1,0.13744111552303717,2026-06-24 06:04:32.725083,2026-06-24 06:04:49.928242,0 days 00:00:17.203159,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,118,,COMPLETE
2,0.13670273680656075,2026-06-24 06:04:49.940329,2026-06-24 06:04:51.211677,0 days 00:00:01.271348,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,68,,COMPLETE
3,0.13758001147580634,2026-06-24 06:04:51.223558,2026-06-24 06:05:01.494179,0 days 00:00:10.270621,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,142,,COMPLETE
4,0.1344992412506344,2026-06-24 06:05:01.502791,2026-06-24 06:05:08.297081,0 days 00:00:06.794290,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,668,,COMPLETE
5,0.1354189937162743,2026-06-24 06:05:08.309129,2026-06-24 06:05:11.918494,0 days 00:00:03.609365,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,286,,COMPLETE
6,0.13486750000194425,2026-06-24 06:05:11.927545,2026-06-24 06:05:17.180296,0 days 00:00:05.252751,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,349,,COMPLETE
7,0.13592395264746937,2026-06-24 06:05:17.188713,2026-06-24 06:05:24.157964,0 days 00:00:06.969251,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.1345688821502532,2026-06-24 06:05:24.166780,2026-06-24 06:05:28.335486,0 days 00:00:04.168706,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,359,,COMPLETE
9,0.13595551646011605,2026-06-24 06:05:28.343932,2026-06-24 06:05:31.090161,0 days 00:00:02.746229,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,149,,COMPLETE
10,0.1374790719766371,2026-06-24 06:05:31.098632,2026-06-24 06:05:35.382208,0 days 00:00:04.283576,0.8067426612208689,0.9630659181130071,lossguide,0.08641685654424158,31.0,7.0,137.0,0.05330630380208628,4.7988577526525065,2.5876151166352477,0.9729161367647149,49,,COMPLETE
11,0.1346964338533475,2026-06-24 06:05:35.390282,2026-06-24 06:05:42.154965,0 days 00:00:06.764683,0.97422475043257,0.7708449222533328,depthwise,0.007631609688708743,45.0,5.0,100.0,0.09577630678348173,0.03136188345709323,3.3642039785002864,0.7583456077143143,644,,COMPLETE
12,0.13485540123285822,2026-06-24 06:05:42.163431,2026-06-24 06:05:46.899307,0 days 00:00:04.735876,0.8157266657691016,0.7291307885159549,depthwise,0.010247194466389494,91.0,5.0,110.0,0.09909199881818531,0.9818702536731095,4.971418225794803,0.723386600583146,425,,COMPLETE
13,0.13645492893010247,2026-06-24 06:05:46.907938,2026-06-24 06:05:49.020697,0 days 00:00:02.112759,0.8861307862102439,0.883798810243418,depthwise,0.0364822543842359,14.0,4.0,55.0,4.866898981828709,1.0522260977505589,3.6125954486160503,0.8358277126374244,185,,COMPLETE
14,0.13438218764125975,2026-06-24 06:05:49.029132,2026-06-24 06:05:59.007065,0 days 00:00:09.977933,0.7495910822966338,0.7005424337543547,lossguide,0.010605642416818913,34.0,6.0,241.0,0.28045822018461186,0.2670696293404993,3.0482475386887744,0.9178581456448356,369,,COMPLETE
15,0.135205015972639,2026-06-24 06:05:59.018621,2026-06-24 06:06:11.302897,0 days 00:00:12.284276,0.742657801738332,0.7128881218688305,lossguide,0.007692335773292521,29.0,6.0,233.0,0.032157081363445826,0.1361924100533458,2.5827642086734808,0.94351525216163,483,,COMPLETE
16,0.13562745605806525,2026-06-24 06:06:11.311269,2026-06-24 06:06:24.440599,0 days 00:00:13.129330,0.6145219252928473,0.7105682311022086,lossguide,0.009336913991671213,12.0,7.0,485.0,0.21847949371134198,1.2732356785204495,1.8034599171080825,0.7741087449078168,320,,COMPLETE
17,0.13568769124198443,2026-06-24 06:06:24.449177,2026-06-24 06:06:39.384270,0 days 00:00:14.935093,0.7616287146723626,0.8993253172836194,lossguide,0.005927434522052903,30.0,6.0,168.0,1.47229578381338,2.1376883403529456,2.952949833680248,0.9878557650719257,624,,COMPLETE
18,0.1350881066979578,2026-06-24 06:06:39.393034,2026-06-24 06:06:42.828470,0 days 00:00:03.435436,0.6711959211872336,0.6745957661713327,lossguide,0.03545623798872137,41.0,4.0,994.0,0.021193013199747167,4.640521530877541,1.7672165672871667,0.6026575331744215,267,,COMPLETE
19,0.1353778619684075,2026-06-24 06:06:42.836850,2026-06-24 06:06:49.065171,0 days 00:00:06.228321,0.6796992439089676,0.753723332915716,lossguide,0.01215501525486917,11.0,7.0,24.0,0.16160334436765317,0.022546679104440803,0.08689028168849333,0.7004214566460669,314,,COMPLETE
20,0.1345046461747763,2026-06-24 06:06:49.073608,2026-06-24 06:06:58.143418,0 days 00:00:09.069810,0.786169799770249,0.8485161614734078,lossguide,0.007840006002883875,21.0,4.0,203.0,1.9244032356499317,0.6609281689574125,4.047645844653172,0.9022362894899669,898,,COMPLETE
21,0.1345635980807247,2026-06-24 06:06:58.151409,2026-06-24 06:07:05.832000,0 days 00:00:07.680591,0.7723951925535524,0.8497252809805889,lossguide,0.007965775453549071,21.0,4.0,209.0,1.806545206218906,0.6012024509469651,4.028452222648204,0.9029259064573444,791,,COMPLETE
22,0.1347836964556023,2026-06-24 06:07:05.840860,2026-06-24 06:07:15.279805,0 days 00:00:09.438945,0.8698974135211762,0.9113148770440981,lossguide,0.006243933993544905,26.0,4.0,596.0,0.7281733931645646,0.6098880766892194,4.824860136640901,0.9426317475871909,1000,,COMPLETE
23,0.1348683685317753,2026-06-24 06:07:15.288422,2026-06-24 06:07:22.561940,0 days 00:00:07.273518,0.7932858782753655,0.8430479450527646,lossguide,0.01122775504749691,39.0,5.0,73.0,2.4429555276716104,1.3788743513100499,4.186024020037179,0.8700371556641241,450,,COMPLETE
24,0.13488238868510005,2026-06-24 06:07:22.570223,2026-06-24 06:07:27.679237,0 days 00:00:05.109014,0.7022618143077898,0.7506113469751658,lossguide,0.014493096811929847,22.0,4.0,299.0,0.340998782870477,0.8801445268288604,3.2240794798749586,0.8135555085488275,442,,COMPLETE
25,0.13503197105515374,2026-06-24 06:07:27.688188,2026-06-24 06:07:32.908125,0 days 00:00:05.219937,0.6437476001425967,0.6750136629583412,lossguide,0.019690822310694293,17.0,5.0,139.0,0.9606029879405159,0.32426908311948305,3.728815657987508,0.9353228728916237,307,,COMPLETE
