number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.12633457429877504,2026-06-24 07:46:41.778752,2026-06-24 07:47:05.376020,0 days 00:00:23.597268,,,,,,,,,,,,266,{},COMPLETE
1,0.11777308655093977,2026-06-24 07:47:05.390076,2026-06-24 07:51:05.750866,0 days 00:04:00.360790,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,0.12130060882337235,2026-06-24 07:51:05.763576,2026-06-24 07:51:46.838608,0 days 00:00:41.075032,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,580,,COMPLETE
3,0.11847853123578955,2026-06-24 07:51:46.847189,2026-06-24 07:54:11.151856,0 days 00:02:24.304667,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,790,,COMPLETE
4,0.1256769802163421,2026-06-24 07:54:11.162509,2026-06-24 07:55:19.830504,0 days 00:01:08.667995,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.12683024274722055,2026-06-24 07:55:19.840120,2026-06-24 07:56:38.959388,0 days 00:01:19.119268,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,0.12125420320118563,2026-06-24 07:56:38.968470,2026-06-24 07:58:07.369155,0 days 00:01:28.400685,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,0.14333354914441476,2026-06-24 07:58:07.378411,2026-06-24 07:59:08.650047,0 days 00:01:01.271636,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.12098248944714518,2026-06-24 07:59:08.658575,2026-06-24 08:00:30.522093,0 days 00:01:21.863518,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,0.11928059050076034,2026-06-24 08:00:30.531340,2026-06-24 08:01:55.839868,0 days 00:01:25.308528,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,849,,COMPLETE
10,0.12366352423860416,2026-06-24 08:01:55.848327,2026-06-24 08:02:34.759347,0 days 00:00:38.911020,0.8262452362725613,0.7202259292197385,lossguide,0.0864853073450281,8.0,7.0,971.0,0.05528731777524736,4.7988577526525065,2.58248067449815,0.9729161367647149,193,,COMPLETE
11,0.11877999187829147,2026-06-24 08:02:34.771042,2026-06-24 08:03:57.474998,0 days 00:01:22.703956,0.8167265665612355,0.6039952029525323,lossguide,0.031790458723690476,84.0,10.0,1021.0,0.028789455442955813,3.838153225904187,0.11339104360127994,0.7969511524558275,334,,COMPLETE
12,0.12050253023263169,2026-06-24 08:03:57.483694,2026-06-24 08:07:34.009473,0 days 00:03:36.525779,0.8173466595551238,0.6908556046603515,lossguide,0.007151134065784922,34.0,8.0,360.0,0.04426124104960989,3.255113914277657,1.9184517258687528,0.8419766872475172,1000,,COMPLETE
13,0.1195961840351254,2026-06-24 08:07:34.018274,2026-06-24 08:08:49.545850,0 days 00:01:15.527576,0.7213785203554233,0.6741038957536338,lossguide,0.0364822543842359,89.0,10.0,365.0,0.006871349895346334,4.980085345107131,3.2241568158948057,0.7174428023808301,344,,COMPLETE
14,0.11823873225106152,2026-06-24 08:08:49.554442,2026-06-24 08:13:00.271389,0 days 00:04:10.716947,0.8783455015235105,0.7247011307670919,lossguide,0.008787903270079323,33.0,8.0,195.0,0.13925071458840985,1.1855455336687406,1.1636683585691965,0.8222288590736007,875,,COMPLETE
15,0.11800972258888587,2026-06-24 08:13:00.279471,2026-06-24 08:16:21.763950,0 days 00:03:21.484479,0.9003988944050104,0.7426568569151955,lossguide,0.008571625541659572,12.0,7.0,162.0,0.12684502348282162,1.1426332457280424,1.692483378996399,0.9552801451296651,1000,,COMPLETE
