number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.14429838810057993,2026-06-24 08:50:29.042948,2026-06-24 08:50:42.670605,0 days 00:00:13.627657,,,,,,,,,,,,,,100,{},COMPLETE
1,0.1373679690981191,2026-06-24 08:50:42.688045,2026-06-24 08:51:27.686057,0 days 00:00:44.998012,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.13421970487536583,2026-06-24 08:51:27.702023,2026-06-24 08:51:53.493824,0 days 00:00:25.791801,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,759,,COMPLETE
3,0.13419868164453708,2026-06-24 08:51:53.507715,2026-06-24 08:53:20.845725,0 days 00:01:27.338010,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.133741789671594,2026-06-24 08:53:20.858559,2026-06-24 08:53:44.410174,0 days 00:00:23.551615,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,470,,COMPLETE
5,0.1250406222119682,2026-06-24 08:53:44.423973,2026-06-24 08:57:57.279043,0 days 00:04:12.855070,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.1488346415273012,2026-06-24 08:57:57.293814,2026-06-24 08:58:21.958388,0 days 00:00:24.664574,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,506,,COMPLETE
7,0.12835542020097335,2026-06-24 08:58:21.967709,2026-06-24 09:02:43.688904,0 days 00:04:21.721195,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,880,,COMPLETE
8,0.12989831087508952,2026-06-24 09:02:43.697882,2026-06-24 09:08:26.864237,0 days 00:05:43.166355,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.1293375613586225,2026-06-24 09:08:26.876011,2026-06-24 09:11:04.032071,0 days 00:02:37.156060,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,471,,COMPLETE
