number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2758642930856554,2026-06-24 12:34:52.372764,2026-06-24 12:34:53.041299,0 days 00:00:00.668535,,,,,,,,,,,,8,{},COMPLETE
1,0.2796016798532278,2026-06-24 12:34:53.056504,2026-06-24 12:34:57.334376,0 days 00:00:04.277872,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,139,,COMPLETE
2,0.27325923059282187,2026-06-24 12:34:57.344382,2026-06-24 12:34:57.926196,0 days 00:00:00.581814,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,23,,COMPLETE
3,0.2842886423575277,2026-06-24 12:34:57.939010,2026-06-24 12:35:00.058760,0 days 00:00:02.119750,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,60,,COMPLETE
4,0.2726070691434469,2026-06-24 12:35:00.068305,2026-06-24 12:35:01.490006,0 days 00:00:01.421701,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,158,,COMPLETE
5,0.2666731166150671,2026-06-24 12:35:01.503317,2026-06-24 12:35:02.716688,0 days 00:00:01.213371,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,137,,COMPLETE
6,0.2740332244008714,2026-06-24 12:35:02.730643,2026-06-24 12:35:03.791787,0 days 00:00:01.061144,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,48,,COMPLETE
7,0.2701274223139548,2026-06-24 12:35:03.801236,2026-06-24 12:35:05.006282,0 days 00:00:01.205046,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,195,,COMPLETE
8,0.2700987558766196,2026-06-24 12:35:05.015076,2026-06-24 12:35:06.224080,0 days 00:00:01.209004,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,104,,COMPLETE
9,0.28245399036807706,2026-06-24 12:35:06.234394,2026-06-24 12:35:07.344530,0 days 00:00:01.110136,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,54,,COMPLETE
10,0.25577628712303635,2026-06-24 12:35:07.353974,2026-06-24 12:35:08.040994,0 days 00:00:00.687020,0.8201989861865416,0.9630659181130071,lossguide,0.08841659637313287,8.0,7.0,9.0,3.857346839423388,4.7988577526525065,2.588720128252829,0.9729161367647149,25,,COMPLETE
11,0.26918859649122806,2026-06-24 12:35:08.054424,2026-06-24 12:35:08.688643,0 days 00:00:00.634219,0.8217490968503663,0.9973928488427499,lossguide,0.08544073803822434,8.0,7.0,8.0,4.8053033036668475,4.992295492373733,2.623266224696257,0.9969682344023094,52,,COMPLETE
12,0.27284356725146197,2026-06-24 12:35:08.697853,2026-06-24 12:35:09.820232,0 days 00:00:01.122379,0.9970874323677024,0.9954663565766411,lossguide,0.03567930443091238,10.0,6.0,25.0,4.62470718926765,4.682813119604223,2.8006865262805682,0.9640159156034565,75,,COMPLETE
13,0.27008800596261895,2026-06-24 12:35:09.829538,2026-06-24 12:35:11.024109,0 days 00:00:01.194571,0.8468011274790224,0.9224687378301841,lossguide,0.04501755533561675,12.0,5.0,18.0,0.07415847043507168,3.7922826535099787,4.9866863737937335,0.9194048110420816,49,,COMPLETE
14,0.26254514963880293,2026-06-24 12:35:11.034097,2026-06-24 12:35:12.679960,0 days 00:00:01.645863,0.7650293585870301,0.9258360514720573,lossguide,0.007290989234853341,12.0,4.0,45.0,1.8718538867974865,3.7960115860216965,1.6662436327277472,0.9336073496386096,201,,COMPLETE
15,0.27818269120513706,2026-06-24 12:35:12.689799,2026-06-24 12:35:17.276600,0 days 00:00:04.586801,0.7625701713090116,0.8937243027997998,lossguide,0.005323278423139029,24.0,7.0,102.0,0.10942128168328152,4.069880922169099,1.7002317730572796,0.9567710258605463,273,,COMPLETE
16,0.26948959408324735,2026-06-24 12:35:17.286456,2026-06-24 12:35:19.533451,0 days 00:00:02.246995,0.7736344273176079,0.9062442644361335,lossguide,0.008757736843423953,12.0,6.0,13.0,1.7735442305359193,4.245174782005808,1.8034599171080825,0.9856927557534871,214,,COMPLETE
17,0.28185916179337234,2026-06-24 12:35:19.543094,2026-06-24 12:35:20.854053,0 days 00:00:01.310959,0.8883949739852202,0.7400163185826727,lossguide,0.09241403925270686,30.0,8.0,189.0,1.540554923996926,3.3667661886017095,3.3805822662377807,0.934792584696305,52,,COMPLETE
18,0.2704570863433092,2026-06-24 12:35:20.864087,2026-06-24 12:35:22.558187,0 days 00:00:01.694100,0.7765780968298662,0.9425625890755326,lossguide,0.00819852014613524,12.0,5.0,44.0,0.15847195772915262,4.426718597581751,1.2004684565193997,0.8716201486025573,124,,COMPLETE
19,0.26126232656805415,2026-06-24 12:35:22.569202,2026-06-24 12:35:23.216693,0 days 00:00:00.647491,0.7204784542558821,0.8579599549170788,depthwise,0.05099942140746045,36.0,4.0,66.0,0.035743041898905675,3.6480941407195884,0.08689028168849333,0.9377441925768046,40,,COMPLETE
20,0.29163441692466463,2026-06-24 12:35:23.227171,2026-06-24 12:35:24.635286,0 days 00:00:01.408115,0.7062772639153253,0.8650532333966011,depthwise,0.06321350378961983,40.0,10.0,1021.0,0.03415962370893974,2.647869318963049,0.14378321929197124,0.7187120653407506,50,,COMPLETE
21,0.2689449317738791,2026-06-24 12:35:24.646564,2026-06-24 12:35:25.306499,0 days 00:00:00.659935,0.8081478067419365,0.9592127150901539,depthwise,0.06197213971048159,95.0,4.0,73.0,0.019266447542480726,3.6729469829474675,2.119814193654774,0.940537941396821,37,,COMPLETE
22,0.2637491400068799,2026-06-24 12:35:25.315691,2026-06-24 12:35:25.985132,0 days 00:00:00.669441,0.7417285285689725,0.8728309841073227,depthwise,0.03583407430120635,37.0,4.0,165.0,1.705824639710538,4.793239111227975,0.18446744083651925,0.9998067645310589,70,,COMPLETE
23,0.2627171482628139,2026-06-24 12:35:25.997116,2026-06-24 12:35:26.610912,0 days 00:00:00.613796,0.6755016793413382,0.9275406355152226,depthwise,0.08308473796535587,11.0,4.0,30.0,0.017222089300394594,3.8128528237225376,2.1566911027942917,0.8888476991117966,46,,COMPLETE
24,0.26739694415778004,2026-06-24 12:35:26.620638,2026-06-24 12:35:27.405811,0 days 00:00:00.785173,0.8682955445739236,0.849772125196704,depthwise,0.04295083183515597,65.0,5.0,58.0,0.9596232128336374,3.339952805436566,3.1392733852729813,0.9577698576138837,49,,COMPLETE
25,0.2698622577686045,2026-06-24 12:35:27.415668,2026-06-24 12:35:29.135931,0 days 00:00:01.720263,0.7787169803253225,0.7529731812086116,lossguide,0.007165363564825576,15.0,4.0,15.0,0.19835852179058794,4.391077073737303,1.1106754897580497,0.8165709926241479,276,,COMPLETE
