number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.29141583533998394,2026-06-24 12:35:37.617852,2026-06-24 12:35:38.622462,0 days 00:00:01.004610,,,,,,,,,,,,,,100,{},COMPLETE
1,0.2844570576768719,2026-06-24 12:35:38.638769,2026-06-24 12:35:39.545179,0 days 00:00:00.906410,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,189,,COMPLETE
2,0.3166852998509345,2026-06-24 12:35:39.557830,2026-06-24 12:35:40.291531,0 days 00:00:00.733701,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,202,,COMPLETE
3,0.27240998738676747,2026-06-24 12:35:40.300942,2026-06-24 12:35:41.508767,0 days 00:00:01.207825,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,182,,COMPLETE
4,0.31694329778695096,2026-06-24 12:35:41.522472,2026-06-24 12:35:42.157665,0 days 00:00:00.635193,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,196,,COMPLETE
5,0.2877465313610825,2026-06-24 12:35:42.167830,2026-06-24 12:35:46.031629,0 days 00:00:03.863799,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,207,,COMPLETE
6,0.3301728586171311,2026-06-24 12:35:46.042228,2026-06-24 12:35:47.331262,0 days 00:00:01.289034,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,228,,COMPLETE
7,0.33523248480678824,2026-06-24 12:35:47.340728,2026-06-24 12:35:55.893721,0 days 00:00:08.552993,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,450,,COMPLETE
8,0.2985896112831097,2026-06-24 12:35:55.905087,2026-06-24 12:36:01.456484,0 days 00:00:05.551397,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,196,,COMPLETE
9,0.32583705997018697,2026-06-24 12:36:01.466735,2026-06-24 12:36:06.653228,0 days 00:00:05.186493,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,228,,COMPLETE
10,0.3094900240798073,2026-06-24 12:36:06.663045,2026-06-24 12:36:14.313060,0 days 00:00:07.650015,Plain,Bernoulli,0.9947167472260312,8.0,Depthwise,0.17516619421446947,1.0,0.02632754856303217,254.0,3.0,0.11492914573793168,8.0,0.701799154886745,150,,COMPLETE
11,0.29139433551198257,2026-06-24 12:36:14.323312,2026-06-24 12:36:15.700109,0 days 00:00:01.376797,Plain,Bernoulli,0.8601730401643931,4.0,SymmetricTree,0.0017481163980583247,19.0,0.015753387726212563,254.0,2.0,0.2204948892099201,51.0,0.7979239426070239,295,,COMPLETE
12,0.27908210067652794,2026-06-24 12:36:15.709469,2026-06-24 12:36:16.721693,0 days 00:00:01.012224,Plain,Bernoulli,0.935626484649295,5.0,SymmetricTree,4.104746291866498,5.0,0.022990961643687132,254.0,3.0,1.3872755226342743,48.0,0.8583336679090096,136,,COMPLETE
13,0.29397431487214765,2026-06-24 12:36:16.730769,2026-06-24 12:36:18.702397,0 days 00:00:01.971628,Plain,Bernoulli,0.9431235959547797,5.0,Depthwise,4.911268708233416,4.0,0.032947348619303006,254.0,3.0,1.4505963521694119,89.0,0.8642223172967338,177,,COMPLETE
14,0.28403422772617826,2026-06-24 12:36:18.711502,2026-06-24 12:36:19.973013,0 days 00:00:01.261511,Plain,Bernoulli,0.9730708379780038,5.0,SymmetricTree,0.7289394478654501,1.0,0.029716097957511838,254.0,3.0,0.3327621185765154,59.0,0.7733448218973679,286,,COMPLETE
15,0.29499914000688,2026-06-24 12:36:19.983086,2026-06-24 12:36:21.105430,0 days 00:00:01.122344,Plain,Bernoulli,0.9229892487353555,5.0,SymmetricTree,0.05524482186087761,5.0,0.01860509345201994,254.0,3.0,0.1694806889888455,66.0,0.8731955723541335,162,,COMPLETE
