number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.23802932965206802,2026-06-24 12:58:00.511053,2026-06-24 12:58:04.913441,0 days 00:00:04.402388,,,,,,,,,,,,,,100,{},COMPLETE
1,0.24050777457856043,2026-06-24 12:58:04.927512,2026-06-24 12:58:14.712005,0 days 00:00:09.784493,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,521,,COMPLETE
2,0.24240858549142874,2026-06-24 12:58:14.721377,2026-06-24 12:58:20.268423,0 days 00:00:05.547046,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,363,,COMPLETE
3,0.2372794480905781,2026-06-24 12:58:20.277550,2026-06-24 12:58:31.517368,0 days 00:00:11.239818,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,799,,COMPLETE
4,0.23940342725031782,2026-06-24 12:58:31.532174,2026-06-24 12:58:36.475309,0 days 00:00:04.943135,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,253,,COMPLETE
5,0.23291273097222698,2026-06-24 12:58:36.483181,2026-06-24 12:59:01.918064,0 days 00:00:25.434883,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,576,,COMPLETE
6,0.28068385668018014,2026-06-24 12:59:01.930941,2026-06-24 12:59:07.896481,0 days 00:00:05.965540,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,253,,COMPLETE
7,0.25956207579864266,2026-06-24 12:59:07.904914,2026-06-24 12:59:41.358350,0 days 00:00:33.453436,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,494,,COMPLETE
8,0.22999236086892283,2026-06-24 12:59:41.368441,2026-06-24 13:00:33.539759,0 days 00:00:52.171318,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,706,,COMPLETE
9,0.24660330270968456,2026-06-24 13:00:33.552152,2026-06-24 13:00:58.551912,0 days 00:00:24.999760,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,301,,COMPLETE
