number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,516.6078507052073,2026-06-24 14:02:44.449614,2026-06-24 14:02:47.938876,0 days 00:00:03.489262,,,,,,,,,,,,13,{},COMPLETE
1,513.0416467622715,2026-06-24 14:02:47.953922,2026-06-24 14:04:18.838890,0 days 00:01:30.884968,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,452,,COMPLETE
2,511.5627112371387,2026-06-24 14:04:18.854064,2026-06-24 14:04:24.891271,0 days 00:00:06.037207,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,118,,COMPLETE
3,509.38786788968787,2026-06-24 14:04:24.904908,2026-06-24 14:04:59.501171,0 days 00:00:34.596263,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,286,,COMPLETE
4,511.2267720953745,2026-06-24 14:04:59.514975,2026-06-24 14:05:18.880887,0 days 00:00:19.365912,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,573,,COMPLETE
5,511.0079851120988,2026-06-24 14:05:18.889997,2026-06-24 14:05:29.611332,0 days 00:00:10.721335,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,272,,COMPLETE
6,509.3453177052937,2026-06-24 14:05:29.619718,2026-06-24 14:05:44.929164,0 days 00:00:15.309446,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,378,,COMPLETE
7,527.8994450183468,2026-06-24 14:05:44.943362,2026-06-24 14:06:15.018358,0 days 00:00:30.074996,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,507.40188393714504,2026-06-24 14:06:15.027041,2026-06-24 14:06:29.980300,0 days 00:00:14.953259,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,439,,COMPLETE
9,508.90692892214497,2026-06-24 14:06:29.992088,2026-06-24 14:06:40.687074,0 days 00:00:10.694986,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,230,,COMPLETE
10,512.1046007522349,2026-06-24 14:06:40.696108,2026-06-24 14:06:46.878554,0 days 00:00:06.182446,0.8197534695371591,0.7202259292197385,depthwise,0.08641869155550744,40.0,7.0,137.0,0.05520191203895588,4.7988577526525065,2.938272016159444,0.9729161367647149,64,,COMPLETE
11,510.72797510559644,2026-06-24 14:06:46.887285,2026-06-24 14:06:54.847245,0 days 00:00:07.959960,0.8167265665612355,0.9221950706625301,depthwise,0.04036367863069028,38.0,6.0,223.0,0.04042693539277767,1.5647918198189947,2.6670590425739857,0.6149276720338095,129,,COMPLETE
12,507.68563868771923,2026-06-24 14:06:54.855566,2026-06-24 14:07:21.268027,0 days 00:00:26.412461,0.6032360731850926,0.8847911208853647,depthwise,0.00807132229687055,27.0,6.0,412.0,0.001345263526155044,1.0888566627173282,2.9607587521143843,0.7004731263618478,706,,COMPLETE
13,507.93722510140634,2026-06-24 14:07:21.277139,2026-06-24 14:07:44.759317,0 days 00:00:23.482178,0.9861351784261821,0.886831626681488,depthwise,0.007891352116508358,77.0,5.0,970.0,0.05090057180402597,0.979725349860372,3.4195975599948816,0.7109035111957916,710,,COMPLETE
14,507.12247316630624,2026-06-24 14:07:44.767350,2026-06-24 14:08:06.681712,0 days 00:00:21.914362,0.755018318591537,0.7406086632532847,depthwise,0.008948307671845351,34.0,5.0,84.0,0.012760202716436976,0.9709640954233607,1.6585105100699478,0.9877079408194872,645,,COMPLETE
15,507.2355294613291,2026-06-24 14:08:06.694448,2026-06-24 14:08:28.900411,0 days 00:00:22.205963,0.9003988944050104,0.7419501340379578,depthwise,0.009415112849371772,48.0,5.0,74.0,0.019812448066880973,2.513365114908923,1.792015584924231,0.9671990748862122,608,,COMPLETE
