number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,556.3909676482543,2026-06-24 14:13:33.627365,2026-06-24 14:13:37.039950,0 days 00:00:03.412585,,,,,,,,,,,,51,{},COMPLETE
1,546.6922463222636,2026-06-24 14:13:37.061982,2026-06-24 14:14:58.430369,0 days 00:01:21.368387,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,674,,COMPLETE
2,586.8005928929305,2026-06-24 14:14:58.442749,2026-06-24 14:15:18.730101,0 days 00:00:20.287352,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,1000,,COMPLETE
3,553.545675196028,2026-06-24 14:15:18.738784,2026-06-24 14:16:08.497129,0 days 00:00:49.758345,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,736,,COMPLETE
4,660.2968306188666,2026-06-24 14:16:08.507766,2026-06-24 14:16:32.569359,0 days 00:00:24.061593,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,563.7398012519069,2026-06-24 14:16:32.578471,2026-06-24 14:16:53.686065,0 days 00:00:21.107594,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,586.9262397698249,2026-06-24 14:16:53.694884,2026-06-24 14:17:19.896755,0 days 00:00:26.201871,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,883.4203070409962,2026-06-24 14:17:19.907146,2026-06-24 14:17:41.498262,0 days 00:00:21.591116,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,584.1074246091403,2026-06-24 14:17:41.506642,2026-06-24 14:18:03.769967,0 days 00:00:22.263325,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,560.6189367654749,2026-06-24 14:18:03.778624,2026-06-24 14:18:26.800144,0 days 00:00:23.021520,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,1000,,COMPLETE
10,546.5461879949398,2026-06-24 14:18:26.808695,2026-06-24 14:18:38.773766,0 days 00:00:11.965071,0.8262452362725613,0.7202259292197385,lossguide,0.0864853073450281,8.0,7.0,971.0,0.05528731777524736,4.7988577526525065,2.58248067449815,0.9729161367647149,194,,COMPLETE
11,550.6272894072816,2026-06-24 14:18:38.786104,2026-06-24 14:18:59.397112,0 days 00:00:20.611008,0.8167265665612355,0.6869377977662453,lossguide,0.08501524685764598,8.0,10.0,1021.0,0.056086998506941994,4.9867688941446,2.72264128972962,0.9942692431404732,88,,COMPLETE
12,551.2422221198606,2026-06-24 14:18:59.406789,2026-06-24 14:19:32.524361,0 days 00:00:33.117572,0.7917603820468553,0.6908556046603515,lossguide,0.04312989684932986,10.0,7.0,823.0,0.08887480771561772,4.878967345485594,2.5749005730633145,0.996845922290986,674,,COMPLETE
13,590.221506893474,2026-06-24 14:19:32.535235,2026-06-24 14:20:14.466234,0 days 00:00:41.930999,0.7213785203554233,0.705285991180485,lossguide,0.006031199934442784,12.0,7.0,365.0,0.05090057180402597,3.816861066638824,3.339968117261245,0.9308841833246934,1000,,COMPLETE
14,549.9545118480255,2026-06-24 14:20:14.474868,2026-06-24 14:20:45.731235,0 days 00:00:31.256367,0.8735597365064486,0.7366571849864085,lossguide,0.041314384168676443,12.0,10.0,578.0,0.015018080272111087,3.871152602596403,1.7246157043926293,0.8343666685559481,180,,COMPLETE
15,549.0439654656404,2026-06-24 14:20:45.740098,2026-06-24 14:21:53.163584,0 days 00:01:07.423486,0.7658362162613374,0.600669145834533,lossguide,0.007692335773292521,8.0,8.0,178.0,0.10223201793698947,2.644245595236052,0.06599475398317933,0.731194128587385,1000,,COMPLETE
16,557.943196270948,2026-06-24 14:21:53.172452,2026-06-24 14:22:10.416584,0 days 00:00:17.244132,0.6849505676114752,0.7432872355587146,lossguide,0.08591009827794409,25.0,6.0,231.0,4.479593771417913,4.163199218175241,4.826166066144186,0.9552722080953693,456,,COMPLETE
17,557.863437716649,2026-06-24 14:22:10.425712,2026-06-24 14:22:45.485133,0 days 00:00:35.059421,0.6051349737007946,0.6601495846386295,lossguide,0.0356863977250977,12.0,8.0,618.0,0.01974401281608639,1.1135202528011572,1.7851383123878337,0.8716304424488346,492,,COMPLETE
18,575.1337948027123,2026-06-24 14:22:45.494237,2026-06-24 14:23:22.314136,0 days 00:00:36.819899,0.9164844188447767,0.8910149050713664,lossguide,0.008309993054108322,31.0,6.0,994.0,1.319674601830498,0.07520455600727383,3.199248875647957,0.6057254712784641,1000,,COMPLETE
19,553.926109645736,2026-06-24 14:23:22.323184,2026-06-24 14:23:33.009888,0 days 00:00:10.686704,0.7719898235665422,0.7465246195312041,depthwise,0.06731965627274934,10.0,9.0,491.0,0.16852412373759193,4.311657886399625,3.941289844723302,0.9496606563368476,194,,COMPLETE
20,562.350358125673,2026-06-24 14:23:33.022833,2026-06-24 14:23:45.993026,0 days 00:00:12.970193,0.8556746052274999,0.6543815835134215,lossguide,0.09943539156484502,14.0,7.0,150.0,0.021875645925119164,3.269710963602289,4.071431669378641,0.8280663457565616,203,,COMPLETE
21,552.5748076530236,2026-06-24 14:23:46.002982,2026-06-24 14:24:56.513727,0 days 00:01:10.510745,0.7676620132313119,0.6091497488421054,lossguide,0.00673465198970211,8.0,8.0,197.0,0.14166200866757792,2.4208343516619,0.16190467331012443,0.7642376911084944,1000,,COMPLETE
