number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,1087.7721980022995,2026-06-24 15:10:19.131715,2026-06-24 15:10:21.558786,0 days 00:00:02.427071,,,,,,,,,,,,,,100,{},COMPLETE
1,657.5415729988192,2026-06-24 15:10:21.573255,2026-06-24 15:10:38.960178,0 days 00:00:17.386923,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,567.3813390214449,2026-06-24 15:10:38.973596,2026-06-24 15:10:51.981987,0 days 00:00:13.008391,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,1000,,COMPLETE
3,631.5319854216019,2026-06-24 15:10:51.993938,2026-06-24 15:11:15.108829,0 days 00:00:23.114891,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,561.8889667979093,2026-06-24 15:11:15.117369,2026-06-24 15:11:27.572889,0 days 00:00:12.455520,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,1000,,COMPLETE
5,562.0300727759455,2026-06-24 15:11:27.585730,2026-06-24 15:12:26.504460,0 days 00:00:58.918730,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,558.5021120667308,2026-06-24 15:12:26.518533,2026-06-24 15:12:46.824665,0 days 00:00:20.306132,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,1000,,COMPLETE
7,561.0199927754207,2026-06-24 15:12:46.837009,2026-06-24 15:13:56.393674,0 days 00:01:09.556665,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,577.2938552119695,2026-06-24 15:13:56.403037,2026-06-24 15:15:01.615972,0 days 00:01:05.212935,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,545.5287890389761,2026-06-24 15:15:01.624907,2026-06-24 15:15:33.338634,0 days 00:00:31.713727,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,640,,COMPLETE
10,545.0392440355024,2026-06-24 15:15:33.353230,2026-06-24 15:16:41.196218,0 days 00:01:07.842988,Plain,Bernoulli,0.9952774372665997,8.0,Depthwise,1.841152012664479,4.0,0.03414773973543375,254.0,3.0,0.32179828307036606,8.0,0.701799154886745,1000,,COMPLETE
