number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,591.6224926932837,2026-06-24 15:33:59.580795,2026-06-24 15:34:01.999172,0 days 00:00:02.418377,,,,,,,,,,,,,,100,{},COMPLETE
1,518.415384973725,2026-06-24 15:34:02.015682,2026-06-24 15:34:23.251684,0 days 00:00:21.236002,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,521.3229017996076,2026-06-24 15:34:23.265556,2026-06-24 15:34:30.779221,0 days 00:00:07.513665,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,632,,COMPLETE
3,515.6707529824494,2026-06-24 15:34:30.788795,2026-06-24 15:34:58.327473,0 days 00:00:27.538678,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,521.2841223293913,2026-06-24 15:34:58.342620,2026-06-24 15:35:04.939769,0 days 00:00:06.597149,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,662,,COMPLETE
5,505.92880490095683,2026-06-24 15:35:04.949431,2026-06-24 15:36:10.628965,0 days 00:01:05.679534,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,519.1399019148508,2026-06-24 15:36:10.642980,2026-06-24 15:36:21.359354,0 days 00:00:10.716374,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,790,,COMPLETE
7,504.8448451781062,2026-06-24 15:36:21.368178,2026-06-24 15:37:52.977705,0 days 00:01:31.609527,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,504.82440757202426,2026-06-24 15:37:52.990674,2026-06-24 15:39:33.289505,0 days 00:01:40.298831,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,513.6560130410069,2026-06-24 15:39:33.301523,2026-06-24 15:39:52.525831,0 days 00:00:19.224308,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,198,,COMPLETE
