number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2498928698066163,2026-06-24 16:02:19.457227,2026-06-24 16:02:20.829591,0 days 00:00:01.372364,,,,,,,,,,,,,,68,{},COMPLETE
1,0.2563992376695443,2026-06-24 16:02:20.846052,2026-06-24 16:02:22.310620,0 days 00:00:01.464568,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,41,,COMPLETE
2,0.2522965905314668,2026-06-24 16:02:22.320097,2026-06-24 16:02:22.865916,0 days 00:00:00.545819,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,10,,COMPLETE
3,0.2521958569715247,2026-06-24 16:02:22.875113,2026-06-24 16:02:23.881019,0 days 00:00:01.005906,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,294,,COMPLETE
4,0.24707149692420738,2026-06-24 16:02:23.890535,2026-06-24 16:02:26.964930,0 days 00:00:03.074395,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,995,,COMPLETE
5,0.2523366779747218,2026-06-24 16:02:26.978137,2026-06-24 16:02:38.849156,0 days 00:00:11.871019,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,259,,COMPLETE
6,0.25015309696824095,2026-06-24 16:02:38.857944,2026-06-24 16:02:40.042394,0 days 00:00:01.184450,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,289,,COMPLETE
7,0.24907623448033134,2026-06-24 16:02:40.051187,2026-06-24 16:02:41.680499,0 days 00:00:01.629312,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,118,,COMPLETE
8,0.2543888119983492,2026-06-24 16:02:41.690889,2026-06-24 16:02:49.588940,0 days 00:00:07.898051,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,385,,COMPLETE
9,0.24837765749614826,2026-06-24 16:02:49.600033,2026-06-24 16:02:50.535845,0 days 00:00:00.935812,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,15,,COMPLETE
10,0.24689939551265183,2026-06-24 16:02:50.545515,2026-06-24 16:02:53.843268,0 days 00:00:03.297753,0.7022641957948879,1.0,0.057653378104997925,0.22558869559786265,True,0.6839963928728011,0.6782859743712771,0.8995064310918593,0.005636613642342692,8.0,58.0,23.0,8.0,633,,COMPLETE
11,0.24989412061571448,2026-06-24 16:02:53.855875,2026-06-24 16:02:54.476407,0 days 00:00:00.620532,0.7092242794399031,1.0,0.08203713543969648,0.22900345912334708,True,0.6606137630538468,0.7000459865815472,0.9921330202082117,0.005855557101506736,8.0,63.0,22.0,7.0,27,,COMPLETE
12,0.24894512603520624,2026-06-24 16:02:54.501815,2026-06-24 16:02:55.282881,0 days 00:00:00.781066,0.7814031208669852,1.0,0.03673471532999407,0.29670880990929477,True,0.6537243008275448,0.6663373321150271,1.9808705989397533,0.005380015656684681,14.0,24.0,16.0,5.0,53,,COMPLETE
13,0.2496167366911286,2026-06-24 16:02:55.291870,2026-06-24 16:02:56.127166,0 days 00:00:00.835296,0.7076837343128062,1.0,0.14668668152555525,0.20158284514426872,True,0.7636407949517967,0.9981879487062919,0.9486005432540073,0.02566833525504428,11.0,25.0,9.0,14.0,54,,COMPLETE
14,0.24712004806281807,2026-06-24 16:02:56.136811,2026-06-24 16:02:57.018622,0 days 00:00:00.881811,0.9948058470333414,1.0,0.025980185125489465,49.32658558400522,True,0.6013603056783189,0.5867231015194194,0.6124343060153584,0.038152894973863344,24.0,28.0,36.0,4.0,167,,COMPLETE
15,0.24807991455709255,2026-06-24 16:02:57.029200,2026-06-24 16:02:59.198312,0 days 00:00:02.169112,0.8075170854371625,1.0,0.16254975774835007,0.029444202491020064,True,0.41633141583471817,0.8309809165575683,1.2797915927465762,0.009226205555504829,11.0,37.0,11.0,14.0,335,,COMPLETE
16,0.24670542562329079,2026-06-24 16:02:59.209601,2026-06-24 16:03:01.098139,0 days 00:00:01.888538,0.7549916067442227,1.0,0.019735429717403108,0.8257384252107489,True,0.8006754697504556,0.012354692201737738,0.6354250760340103,0.01793328314292978,26.0,14.0,5.0,2.0,662,,COMPLETE
17,0.24859326225326073,2026-06-24 16:03:01.113507,2026-06-24 16:03:01.774976,0 days 00:00:00.661469,0.7388140542459428,1.0,0.005279323529682538,0.005448874413511189,True,0.7841606674595606,0.015119709504524625,0.6159444052376811,0.04938514664552657,28.0,12.0,42.0,4.0,93,,COMPLETE
18,0.24798199269608845,2026-06-24 16:03:01.783732,2026-06-24 16:03:02.409984,0 days 00:00:00.626252,0.7529232280007048,1.0,0.018014818027319714,0.08347216184681973,True,0.8815202138504606,0.209197917569016,0.3573415520639066,0.0075772891107713765,28.0,14.0,4.0,10.0,35,,COMPLETE
19,0.24631593291720022,2026-06-24 16:03:02.419028,2026-06-24 16:03:04.439732,0 days 00:00:02.020704,0.782452456846772,1.0,0.04150386685368393,1.1241884366047024,True,0.8010031265835662,0.1968240253540683,0.8479071616274344,0.012533783349130108,20.0,5.0,29.0,3.0,734,,COMPLETE
20,0.24710628877346164,2026-06-24 16:03:04.453099,2026-06-24 16:03:06.008919,0 days 00:00:01.555820,0.7904450183497288,1.0,0.014193322586349897,1.0949422394602546,True,0.8196129386586583,0.17368474332517364,0.786118599254098,0.013931001337362388,21.0,5.0,88.0,3.0,544,,COMPLETE
21,0.24649242140701888,2026-06-24 16:03:06.018427,2026-06-24 16:03:07.145580,0 days 00:00:01.127153,0.719255603723212,1.0,0.05408760296458999,1.1856029243917603,True,0.7499880281741477,0.01901206287230558,0.8038671244738238,0.02327175801866925,37.0,3.0,33.0,3.0,352,,COMPLETE
22,0.2470345991583922,2026-06-24 16:03:07.154997,2026-06-24 16:03:08.344994,0 days 00:00:01.189997,0.7665754278037304,1.0,0.028856342078787938,11.067093779389026,True,0.7491953066676554,0.015231729896139051,0.4378522399108425,0.02378236911587083,36.0,3.0,14.0,3.0,319,,COMPLETE
23,0.2456556313346121,2026-06-24 16:03:08.354429,2026-06-24 16:03:10.882430,0 days 00:00:02.528001,0.7320924013033828,1.0,0.044038923724587786,1.293123858493103,True,0.893759314278705,0.14204336705492382,1.1890758139125932,0.019451836059082874,31.0,3.0,32.0,2.0,806,,COMPLETE
24,0.2465518506856058,2026-06-24 16:03:10.895855,2026-06-24 16:03:13.104069,0 days 00:00:02.208214,0.7319535806024229,1.0,0.06676584276894476,3.456992278351337,True,0.8895889554700691,0.2223457647002408,1.1816287921512076,0.011745597067483241,54.0,3.0,35.0,3.0,670,,COMPLETE
25,0.24784772087843154,2026-06-24 16:03:13.113246,2026-06-24 16:03:13.997190,0 days 00:00:00.883944,0.7320276799456783,1.0,0.2787941170531379,35.61291683852502,True,0.9279009340496649,0.11441240907396108,1.1592898029109817,0.03204181701078699,33.0,2.0,27.0,5.0,113,,COMPLETE
