number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.25873373383872034,2026-06-24 16:05:46.280941,2026-06-24 16:05:47.130425,0 days 00:00:00.849484,,,,,,,,,,,,20,{},COMPLETE
1,0.2557863579149302,2026-06-24 16:05:47.147857,2026-06-24 16:05:51.496624,0 days 00:00:04.348767,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,26,,COMPLETE
2,0.2519974275409902,2026-06-24 16:05:51.509320,2026-06-24 16:05:52.200242,0 days 00:00:00.690922,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,20,,COMPLETE
3,0.25169731794319916,2026-06-24 16:05:52.212425,2026-06-24 16:05:54.254402,0 days 00:00:02.041977,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,10,,COMPLETE
4,0.252629673471768,2026-06-24 16:05:54.269060,2026-06-24 16:05:56.055433,0 days 00:00:01.786373,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,164,,COMPLETE
5,0.2501731051672943,2026-06-24 16:05:56.067001,2026-06-24 16:05:57.090063,0 days 00:00:01.023062,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,75,,COMPLETE
6,0.2512827319386125,2026-06-24 16:05:57.103037,2026-06-24 16:05:58.154987,0 days 00:00:01.051950,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,38,,COMPLETE
7,0.2510880100513655,2026-06-24 16:05:58.164458,2026-06-24 16:05:58.818307,0 days 00:00:00.653849,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,8,,COMPLETE
8,0.25176769845061153,2026-06-24 16:05:58.827777,2026-06-24 16:05:59.543352,0 days 00:00:00.715575,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,20,,COMPLETE
9,0.25493649109618743,2026-06-24 16:05:59.552373,2026-06-24 16:06:00.360840,0 days 00:00:00.808467,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,17,,COMPLETE
10,0.25244950239658503,2026-06-24 16:06:00.369995,2026-06-24 16:06:01.185205,0 days 00:00:00.815210,0.8201989861865416,0.9630659181130071,lossguide,0.08841659637313287,8.0,7.0,9.0,3.857346839423388,4.7988577526525065,2.588720128252829,0.9729161367647149,27,,COMPLETE
11,0.25204108078006504,2026-06-24 16:06:01.193958,2026-06-24 16:06:01.741892,0 days 00:00:00.547934,0.9847867967774614,0.9905752293907844,depthwise,0.0052832183476381,12.0,10.0,8.0,0.06700754778843486,3.402630830668549,0.10274263217298696,0.9484983989017353,11,,COMPLETE
12,0.2535653104032314,2026-06-24 16:06:01.751106,2026-06-24 16:06:03.262864,0 days 00:00:01.511758,0.9087718335040773,0.696638297116994,depthwise,0.005585697344519775,29.0,8.0,25.0,4.5434980114229235,2.78155209037259,2.8307562634551573,0.9071003914658619,123,,COMPLETE
13,0.25073238767784556,2026-06-24 16:06:03.272193,2026-06-24 16:06:04.005720,0 days 00:00:00.733527,0.8945811583496317,0.9065028037947735,depthwise,0.0364822543842359,32.0,5.0,18.0,0.06090916530730599,3.9292873102882577,4.987201792510765,0.8919339318126805,19,,COMPLETE
14,0.250840382493845,2026-06-24 16:06:04.014586,2026-06-24 16:06:04.819130,0 days 00:00:00.804544,0.8524022468206217,0.912415457654784,lossguide,0.036103586463905546,34.0,5.0,36.0,0.04649017403608164,4.298156266041872,4.911579028968506,0.9877079408194872,4,,COMPLETE
15,0.2510404082516392,2026-06-24 16:06:04.828513,2026-06-24 16:06:05.689721,0 days 00:00:00.861208,0.9186275983959598,0.918455332092778,lossguide,0.0346016113686987,40.0,4.0,84.0,0.06346683054342238,3.8934717547136466,3.6646573275215797,0.9158115302367825,42,,COMPLETE
16,0.2509204715803056,2026-06-24 16:06:05.698997,2026-06-24 16:06:06.508895,0 days 00:00:00.809898,0.9998298160372806,0.9035659058175017,depthwise,0.04067170160297198,11.0,6.0,18.0,0.016269636891711393,3.64954121256888,4.826166066144186,0.8614838463376575,20,,COMPLETE
17,0.25159629232202996,2026-06-24 16:06:06.517780,2026-06-24 16:06:07.114786,0 days 00:00:00.597006,0.7688054914114609,0.9505082064308293,depthwise,0.0529524213636188,97.0,4.0,48.0,0.14855690706477032,2.4957897842285153,3.2645022440840665,0.7141688698656651,6,,COMPLETE
