number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.20644989194581587,2026-06-24 16:12:04.915730,2026-06-24 16:12:05.430982,0 days 00:00:00.515252,,,,,,,,,,,,,,13,{},COMPLETE
1,0.19001337958539044,2026-06-24 16:12:05.446603,2026-06-24 16:12:06.540429,0 days 00:00:01.093826,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,93,,COMPLETE
2,0.18625943123905087,2026-06-24 16:12:06.553338,2026-06-24 16:12:06.776744,0 days 00:00:00.223406,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,7,,COMPLETE
3,0.17586775694112644,2026-06-24 16:12:06.791719,2026-06-24 16:12:07.313788,0 days 00:00:00.522069,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,613,,COMPLETE
4,0.19562547557112775,2026-06-24 16:12:07.329328,2026-06-24 16:12:07.480175,0 days 00:00:00.150847,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,51,,COMPLETE
5,0.20868603568331834,2026-06-24 16:12:07.489782,2026-06-24 16:12:09.937250,0 days 00:00:02.447468,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,27,,COMPLETE
6,0.17785825989630333,2026-06-24 16:12:09.947953,2026-06-24 16:12:10.443362,0 days 00:00:00.495409,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,536,,COMPLETE
7,0.18481597332820154,2026-06-24 16:12:10.454777,2026-06-24 16:12:10.672853,0 days 00:00:00.218076,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,7,,COMPLETE
8,0.1923316616455204,2026-06-24 16:12:10.681778,2026-06-24 16:12:11.895079,0 days 00:00:01.213301,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,15,,COMPLETE
9,0.1821066031392118,2026-06-24 16:12:11.905968,2026-06-24 16:12:12.361266,0 days 00:00:00.455298,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,234,,COMPLETE
