number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2176819951224349,2026-06-24 16:31:41.209989,2026-06-24 16:31:42.996941,0 days 00:00:01.786952,,,,,,,,,,,,,,39,{},COMPLETE
1,0.21480303022902325,2026-06-24 16:31:43.013163,2026-06-24 16:31:50.041111,0 days 00:00:07.027948,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,308,,COMPLETE
2,0.21517270323589266,2026-06-24 16:31:50.056255,2026-06-24 16:31:57.825114,0 days 00:00:07.768859,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,962,,COMPLETE
3,0.22812151851687634,2026-06-24 16:31:57.835115,2026-06-24 16:32:02.870416,0 days 00:00:05.035301,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.2345608577315983,2026-06-24 16:32:02.881130,2026-06-24 16:32:04.056833,0 days 00:00:01.175703,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,115,,COMPLETE
5,0.2204659819258279,2026-06-24 16:32:04.066412,2026-06-24 16:32:09.338315,0 days 00:00:05.271903,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,18,,COMPLETE
6,0.22186441838047277,2026-06-24 16:32:09.348704,2026-06-24 16:32:14.618874,0 days 00:00:05.270170,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,999,,COMPLETE
7,0.21503395900787292,2026-06-24 16:32:14.629084,2026-06-24 16:32:27.648501,0 days 00:00:13.019417,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,895,,COMPLETE
8,0.2165073512805089,2026-06-24 16:32:27.658947,2026-06-24 16:32:32.435006,0 days 00:00:04.776059,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,89,,COMPLETE
9,0.2159556011363979,2026-06-24 16:32:32.445728,2026-06-24 16:32:37.271129,0 days 00:00:04.825401,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,201,,COMPLETE
