number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,7.490454024887659,2026-06-24 17:37:19.801747,2026-06-24 17:37:22.974873,0 days 00:00:03.173126,,,,,,,,,,,,,,100,{},COMPLETE
1,7.322211520842272,2026-06-24 17:37:22.989985,2026-06-24 17:38:06.878932,0 days 00:00:43.888947,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,7.331633488133042,2026-06-24 17:38:06.891495,2026-06-24 17:38:16.959330,0 days 00:00:10.067835,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,461,,COMPLETE
3,7.318931954286837,2026-06-24 17:38:16.969178,2026-06-24 17:38:55.402894,0 days 00:00:38.433716,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,7.330806579857971,2026-06-24 17:38:55.416807,2026-06-24 17:39:05.082902,0 days 00:00:09.666095,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,448,,COMPLETE
5,7.318582150944589,2026-06-24 17:39:05.091611,2026-06-24 17:40:43.312241,0 days 00:01:38.220630,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,7.331393714312886,2026-06-24 17:40:43.325430,2026-06-24 17:40:57.714188,0 days 00:00:14.388758,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,304,,COMPLETE
7,7.316167665509796,2026-06-24 17:40:57.722284,2026-06-24 17:43:20.378610,0 days 00:02:22.656326,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,7.317243364413401,2026-06-24 17:43:20.390662,2026-06-24 17:45:36.980061,0 days 00:02:16.589399,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,7.357547598835451,2026-06-24 17:45:36.989677,2026-06-24 17:46:07.317738,0 days 00:00:30.328061,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,279,,COMPLETE
10,7.335544077522141,2026-06-24 17:46:07.327561,2026-06-24 17:47:28.982993,0 days 00:01:21.655432,Plain,Bernoulli,0.994248489293539,8.0,Depthwise,0.0025843128549611844,5.0,0.03240424724296597,254.0,5.0,1.3206749356439977,8.0,0.701799154886745,546,,COMPLETE
11,7.323709654500605,2026-06-24 17:47:28.991921,2026-06-24 17:49:58.543143,0 days 00:02:29.551222,Plain,Bernoulli,0.8590619822699883,7.0,Depthwise,0.00011503802445361178,18.0,0.005160968868344048,254.0,4.0,0.7232953892120296,77.0,0.7938486548065454,1000,,COMPLETE
12,7.318195109252597,2026-06-24 17:49:58.551722,2026-06-24 17:52:23.314400,0 days 00:02:24.762678,Plain,Bernoulli,0.8996205894413146,7.0,Depthwise,0.0004572927128841937,5.0,0.006115354809250252,254.0,5.0,0.4308982248042183,8.0,0.8995968310061069,1000,,COMPLETE
13,7.3156255673868085,2026-06-24 17:52:23.323081,2026-06-24 17:55:36.298774,0 days 00:03:12.975693,Plain,Bernoulli,0.8576098372700082,8.0,Depthwise,0.0011011419606430683,2.0,0.008072181527948957,254.0,3.0,0.8919887969933109,55.0,0.8861423174337517,1000,,COMPLETE
14,7.32016274102608,2026-06-24 17:55:36.313165,2026-06-24 17:57:11.399501,0 days 00:01:35.086336,Plain,Bernoulli,0.8574765382014897,8.0,Depthwise,0.0021682726082947906,1.0,0.019558042131534576,254.0,3.0,0.9463640187314748,55.0,0.906281702532057,579,,COMPLETE
15,7.314243433805926,2026-06-24 17:57:11.408609,2026-06-24 18:00:26.645952,0 days 00:03:15.237343,Plain,Bernoulli,0.8507110179479633,8.0,Depthwise,0.0007507995027296141,5.0,0.008800018124765356,254.0,3.0,0.3685291511391102,60.0,0.9346004161236103,1000,,COMPLETE
16,7.314953533543036,2026-06-24 18:00:26.658861,2026-06-24 18:03:38.928099,0 days 00:03:12.269238,Plain,Bernoulli,0.8503969586671809,8.0,Depthwise,0.0010052908010927742,4.0,0.009270123697155868,254.0,3.0,0.30158889048426835,62.0,0.867884767929035,1000,,COMPLETE
17,7.323193381387043,2026-06-24 18:03:38.938540,2026-06-24 18:05:05.479519,0 days 00:01:26.540979,Plain,Bernoulli,0.8559923294510831,8.0,Depthwise,0.010800867700378226,5.0,0.02433482013887542,254.0,3.0,0.3148812279540953,95.0,0.8572959943054353,472,,COMPLETE
18,7.31635517491516,2026-06-24 18:05:05.489281,2026-06-24 18:06:30.724063,0 days 00:01:25.234782,Plain,Bernoulli,0.8820783754492352,6.0,Depthwise,0.0005505110092464307,3.0,0.009910174326785265,254.0,3.0,0.2569629875667376,65.0,0.94089451485038,1000,,COMPLETE
19,7.324129097045363,2026-06-24 18:06:30.733221,2026-06-24 18:07:31.275750,0 days 00:01:00.542529,Plain,Bernoulli,0.852253181743853,8.0,SymmetricTree,0.00738836580729759,7.0,0.03266540548786146,254.0,3.0,0.45296804669928337,44.0,0.7653511896922122,525,,COMPLETE
