number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.00562400913903105,2026-06-24 17:50:29.325697,2026-06-24 17:50:45.967474,0 days 00:00:16.641777,,,,,,,,,,,,,,649,{},COMPLETE
1,0.006942748530332277,2026-06-24 17:50:45.982699,2026-06-24 17:51:14.516384,0 days 00:00:28.533685,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,1000,,COMPLETE
2,0.021808738884193435,2026-06-24 17:51:14.526998,2026-06-24 17:51:30.831319,0 days 00:00:16.304321,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,1000,,COMPLETE
3,0.10122558453508235,2026-06-24 17:51:30.842076,2026-06-24 17:51:33.455885,0 days 00:00:02.613809,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,109,,COMPLETE
4,0.047259292038126066,2026-06-24 17:51:33.465970,2026-06-24 17:51:45.704212,0 days 00:00:12.238242,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,999,,COMPLETE
5,0.005532625806637714,2026-06-24 17:51:45.717425,2026-06-24 17:52:13.305153,0 days 00:00:27.587728,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,320,,COMPLETE
6,0.041577562818759906,2026-06-24 17:52:13.319766,2026-06-24 17:52:24.933618,0 days 00:00:11.613852,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,0.010110025779628606,2026-06-24 17:52:24.944583,2026-06-24 17:52:50.808226,0 days 00:00:25.863643,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,1000,,COMPLETE
8,0.005467051202118545,2026-06-24 17:52:50.819983,2026-06-24 17:53:28.792675,0 days 00:00:37.972692,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,985,,COMPLETE
9,0.006355544813763547,2026-06-24 17:53:28.806955,2026-06-24 17:54:01.737947,0 days 00:00:32.930992,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,1000,,COMPLETE
