number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2755476232505929,2026-06-24 18:50:32.162347,2026-06-24 18:50:33.924998,0 days 00:00:01.762651,,,,,,,,,,,,,,100,{},COMPLETE
1,0.2954032236163163,2026-06-24 18:50:33.940805,2026-06-24 18:50:35.329001,0 days 00:00:01.388196,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,254,,COMPLETE
2,0.28642806383864716,2026-06-24 18:50:35.338914,2026-06-24 18:50:37.584303,0 days 00:00:02.245389,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,506,,COMPLETE
3,0.2638104710951785,2026-06-24 18:50:37.593158,2026-06-24 18:50:39.848509,0 days 00:00:02.255351,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,322,,COMPLETE
4,0.2938594793873228,2026-06-24 18:50:39.862397,2026-06-24 18:50:40.817480,0 days 00:00:00.955083,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,270,,COMPLETE
5,0.2739185020730359,2026-06-24 18:50:40.826573,2026-06-24 18:50:47.410800,0 days 00:00:06.584227,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,216,,COMPLETE
6,0.32553591150218175,2026-06-24 18:50:47.419864,2026-06-24 18:50:49.719091,0 days 00:00:02.299227,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,158,,COMPLETE
7,0.30759656817482306,2026-06-24 18:50:49.728524,2026-06-24 18:51:01.587835,0 days 00:00:11.859311,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,318,,COMPLETE
8,0.2737083695435699,2026-06-24 18:51:01.599076,2026-06-24 18:51:15.026750,0 days 00:00:13.427674,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,355,,COMPLETE
9,0.289347118117792,2026-06-24 18:51:15.036863,2026-06-24 18:51:23.670876,0 days 00:00:08.634013,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,306,,COMPLETE
10,0.26938662122281953,2026-06-24 18:51:23.680763,2026-06-24 18:51:41.566290,0 days 00:00:17.885527,Plain,Bernoulli,0.9947167472260312,8.0,Depthwise,0.17516619421446947,1.0,0.02632754856303217,254.0,3.0,0.11492914573793168,8.0,0.701799154886745,326,,COMPLETE
11,0.28069660574294353,2026-06-24 18:51:41.577440,2026-06-24 18:52:07.213758,0 days 00:00:25.636318,Plain,Bernoulli,0.9978100218079139,8.0,Depthwise,0.1502343472801809,1.0,0.02562499333448957,254.0,3.0,0.10209387532483491,8.0,0.7039292548942622,468,,COMPLETE
12,0.2763174868285263,2026-06-24 18:52:07.222466,2026-06-24 18:52:28.720663,0 days 00:00:21.498197,Plain,Bernoulli,0.9976825495475882,8.0,Depthwise,0.30772070002191687,1.0,0.0286791587339383,254.0,3.0,0.18474077242431794,8.0,0.772242381250273,346,,COMPLETE
13,0.27782315373055955,2026-06-24 18:52:28.730235,2026-06-24 18:52:32.336047,0 days 00:00:03.605812,Plain,Bernoulli,0.9641349933967597,5.0,Depthwise,0.055854961768546166,1.0,0.0247720386474437,254.0,3.0,0.16515143823923298,92.0,0.7570542126654571,289,,COMPLETE
14,0.2665829870729456,2026-06-24 18:52:32.346265,2026-06-24 18:52:38.570715,0 days 00:00:06.224450,Plain,Bernoulli,0.9730708379780038,6.0,Depthwise,2.5087461243233196,4.0,0.015465668714448691,254.0,3.0,0.28618162575126405,59.0,0.8593372091054381,419,,COMPLETE
15,0.25895128365288866,2026-06-24 18:52:38.579709,2026-06-24 18:52:42.781013,0 days 00:00:04.201304,Plain,Bernoulli,0.8507110179479633,5.0,Depthwise,1.2191651168005726,4.0,0.014392226493602403,254.0,2.0,0.29883069745330154,56.0,0.8550893095642161,481,,COMPLETE
16,0.2672308108377237,2026-06-24 18:52:42.795078,2026-06-24 18:52:47.818142,0 days 00:00:05.023064,Plain,Bernoulli,0.8507623801972871,5.0,Depthwise,1.1112697441474708,5.0,0.010844474076775067,254.0,2.0,0.34118152111995675,63.0,0.8326390409224754,382,,COMPLETE
17,0.29612980464577343,2026-06-24 18:52:47.827066,2026-06-24 18:52:51.957200,0 days 00:00:04.130134,Plain,Bernoulli,0.9244770090499874,5.0,Depthwise,0.005179396899381013,6.0,0.014780354618101232,254.0,2.0,0.4168448477338297,41.0,0.8866544412459397,374,,COMPLETE
18,0.2712847731428676,2026-06-24 18:52:51.965491,2026-06-24 18:52:55.202438,0 days 00:00:03.236947,Plain,Bernoulli,0.8564801274311471,4.0,Depthwise,0.9083358445832511,19.0,0.044727621010429285,254.0,2.0,0.23928743041971273,62.0,0.7820205971305001,559,,COMPLETE
19,0.2588536857494613,2026-06-24 18:52:55.212536,2026-06-24 18:52:57.377328,0 days 00:00:02.164792,Plain,Bernoulli,0.9341581204023052,6.0,SymmetricTree,0.0013431410938775426,2.0,0.009322719663457666,254.0,2.0,0.15442608240171005,26.0,0.8159887397166963,261,,COMPLETE
20,0.25982768453641836,2026-06-24 18:52:57.389735,2026-06-24 18:53:00.760035,0 days 00:00:03.370300,Plain,Bernoulli,0.9434678764916657,6.0,SymmetricTree,0.0008982186825863333,2.0,0.0056848855416576334,254.0,3.0,0.13520729001064657,13.0,0.879113402511832,301,,COMPLETE
21,0.2711397058823528,2026-06-24 18:53:00.768744,2026-06-24 18:53:04.018587,0 days 00:00:03.249843,Plain,Bernoulli,0.9453919134840467,6.0,SymmetricTree,0.0010854778360861418,2.0,0.0059656164314314765,254.0,3.0,0.14284507374198735,12.0,0.8831852189514623,348,,COMPLETE
22,0.2655924673655241,2026-06-24 18:53:04.027385,2026-06-24 18:53:06.759460,0 days 00:00:02.732075,Plain,Bernoulli,0.9722240860758828,6.0,SymmetricTree,0.0008982901956214309,3.0,0.007909684178922885,254.0,2.0,0.23156106255581024,23.0,0.914127231871995,295,,COMPLETE
23,0.266381680788659,2026-06-24 18:53:06.768408,2026-06-24 18:53:10.853262,0 days 00:00:04.084854,Plain,Bernoulli,0.9205639137494193,6.0,SymmetricTree,0.0030208828113696506,2.0,0.005300999706623001,254.0,3.0,0.13824163947596577,12.0,0.8562762700037243,304,,COMPLETE
