number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.13687822800334104,2026-06-24 19:16:45.431315,2026-06-24 19:16:48.966348,0 days 00:00:03.535033,,,,,,,,,,,,,,29,{},COMPLETE
1,0.13518023688821423,2026-06-24 19:16:48.980350,2026-06-24 19:17:06.746280,0 days 00:00:17.765930,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,426,,COMPLETE
2,0.13475720335389818,2026-06-24 19:17:06.758718,2026-06-24 19:17:24.854283,0 days 00:00:18.095565,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,998,,COMPLETE
3,0.14176159527992427,2026-06-24 19:17:24.866421,2026-06-24 19:17:38.779654,0 days 00:00:13.913233,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.13928443401833035,2026-06-24 19:17:38.789339,2026-06-24 19:17:52.231743,0 days 00:00:13.442404,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.1380084181323501,2026-06-24 19:17:52.242627,2026-06-24 19:18:02.191326,0 days 00:00:09.948699,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,23,,COMPLETE
6,0.13765724134123403,2026-06-24 19:18:02.200326,2026-06-24 19:18:14.849063,0 days 00:00:12.648737,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,0.1345031747924441,2026-06-24 19:18:14.858603,2026-06-24 19:18:37.876053,0 days 00:00:23.017450,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,670,,COMPLETE
8,0.13563593854795153,2026-06-24 19:18:37.890426,2026-06-24 19:18:46.416549,0 days 00:00:08.526123,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,62,,COMPLETE
9,0.1351641502181815,2026-06-24 19:18:46.425181,2026-06-24 19:18:56.337207,0 days 00:00:09.912026,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,119,,COMPLETE
10,0.1351377201966638,2026-06-24 19:18:56.346765,2026-06-24 19:19:24.551520,0 days 00:00:28.204755,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,1000,,COMPLETE
11,0.1350807065203512,2026-06-24 19:19:24.562521,2026-06-24 19:19:45.301680,0 days 00:00:20.739159,0.7203460803287862,1.0,0.00561821534175459,0.09943409975940427,True,0.6002283861259868,0.5412624450120793,0.8085306110777344,0.009352382491289198,26.0,4.0,14.0,7.0,1000,,COMPLETE
12,0.1354731594781955,2026-06-24 19:19:45.311429,2026-06-24 19:20:05.456542,0 days 00:00:20.145113,0.7052567144818801,1.0,0.018806096425645128,0.011984658734205617,True,0.4201515309606833,0.43064984086536995,1.9874339110718195,0.009012476656418454,22.0,4.0,20.0,8.0,1000,,COMPLETE
13,0.1348928810084178,2026-06-24 19:20:05.466491,2026-06-24 19:20:34.063390,0 days 00:00:28.596899,0.7729081913461301,1.0,0.3105952424415422,0.29663605169731416,True,0.592971667166432,0.1665257292678124,0.4439860443747,0.005200749658613804,91.0,2.0,9.0,19.0,1000,,COMPLETE
14,0.1352973865224365,2026-06-24 19:20:34.072416,2026-06-24 19:20:49.540114,0 days 00:00:15.467698,0.7836847530647579,1.0,0.07367916796640535,0.0010618087988577556,False,0.4071490561659058,0.6606331859038754,1.1341543918709944,0.01449968374420325,8.0,13.0,36.0,4.0,998,,COMPLETE
15,0.13511515173829503,2026-06-24 19:20:49.549288,2026-06-24 19:20:57.797614,0 days 00:00:08.248326,0.9700644510349015,1.0,0.4221765834765176,0.021973646328749503,False,0.6927416813720557,0.25122950814463707,1.9922139052980827,0.029592737802158434,14.0,2.0,5.0,39.0,97,,COMPLETE
16,0.13484163339464894,2026-06-24 19:20:57.806894,2026-06-24 19:21:41.500524,0 days 00:00:43.693630,0.7580435834203536,1.0,0.019735429717403108,0.41822471589877763,True,0.5152573775204045,0.4920045768131804,0.3855679753485224,0.011718138639627793,28.0,6.0,14.0,127.0,600,,COMPLETE
17,0.13471425064058096,2026-06-24 19:21:41.508940,2026-06-24 19:21:57.990881,0 days 00:00:16.481941,0.7986580756714965,1.0,0.1451960894095203,0.005448874413511189,False,0.6189479804408109,0.015119709504524625,0.7953614979979642,0.021557740843167448,61.0,1.0,40.0,5.0,966,,COMPLETE
18,0.13437628312763406,2026-06-24 19:21:57.999485,2026-06-24 19:22:12.808006,0 days 00:00:14.808521,0.8142610977683649,1.0,0.17814532441052805,55.99440150677432,True,0.7943449398325466,0.017456667665418202,0.7436012973607018,0.044817022739662433,69.0,1.0,44.0,4.0,1000,,COMPLETE
19,0.13505558973495202,2026-06-24 19:22:12.821421,2026-06-24 19:22:22.497915,0 days 00:00:09.676494,0.9186771582688086,1.0,0.6051763793570171,71.10481724190032,True,0.8570209437012828,0.17097079163946124,0.21882942771061328,0.04517917130394657,73.0,1.0,79.0,16.0,277,,COMPLETE
20,0.1358505299378705,2026-06-24 19:22:22.507423,2026-06-24 19:22:37.618052,0 days 00:00:15.110629,0.8254485685514059,1.0,0.3149204420194517,1.7780446081862251,True,0.7927451870110886,0.670723967554338,0.7450619290569365,0.052855323576134726,46.0,2.0,4.0,187.0,87,,COMPLETE
