number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.20267245738184625,2026-06-24 19:53:34.600634,2026-06-24 19:53:37.600953,0 days 00:00:03.000319,,,,,,,,,,,,11,{},COMPLETE
1,0.18272211659677084,2026-06-24 19:53:37.615458,2026-06-24 19:54:13.237050,0 days 00:00:35.621592,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,276,,COMPLETE
2,0.1857118507180624,2026-06-24 19:54:13.249463,2026-06-24 19:54:16.800890,0 days 00:00:03.551427,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,83,,COMPLETE
3,0.18134765111112627,2026-06-24 19:54:16.809831,2026-06-24 19:54:36.757671,0 days 00:00:19.947840,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,204,,COMPLETE
4,0.18301110897572292,2026-06-24 19:54:36.769313,2026-06-24 19:54:48.428691,0 days 00:00:11.659378,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,484,,COMPLETE
5,0.18667477732858362,2026-06-24 19:54:48.437450,2026-06-24 19:54:54.627943,0 days 00:00:06.190493,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,184,,COMPLETE
6,0.18259599523198333,2026-06-24 19:54:54.636518,2026-06-24 19:55:06.389092,0 days 00:00:11.752574,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,368,,COMPLETE
7,0.18375453865319535,2026-06-24 19:55:06.397408,2026-06-24 19:55:23.938917,0 days 00:00:17.541509,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.18338418226453346,2026-06-24 19:55:23.948063,2026-06-24 19:55:33.182536,0 days 00:00:09.234473,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,327,,COMPLETE
9,0.18429305686157416,2026-06-24 19:55:33.191502,2026-06-24 19:55:39.896727,0 days 00:00:06.705225,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,164,,COMPLETE
10,0.190799889722453,2026-06-24 19:55:39.905765,2026-06-24 19:55:48.885147,0 days 00:00:08.979382,0.8383148270515275,0.9630659181130071,lossguide,0.08675823913417954,99.0,8.0,968.0,0.038946887834449,4.7988577526525065,0.08173818767886609,0.9729161367647149,41,,COMPLETE
11,0.18568439572708817,2026-06-24 19:55:48.893888,2026-06-24 19:55:54.432701,0 days 00:00:05.538813,0.7793864344915896,0.7184824457463174,lossguide,0.031790458723690476,66.0,7.0,8.0,0.026219326645545032,3.838153225904187,2.436841991217718,0.7370063974951027,193,,COMPLETE
12,0.18193493052743326,2026-06-24 19:55:54.441839,2026-06-24 19:56:16.617698,0 days 00:00:22.175859,0.8428640249237751,0.7092291448268674,lossguide,0.007214496670980199,47.0,6.0,210.0,4.13959654854975,3.255113914277657,3.0256538827766657,0.7651456263915392,574,,COMPLETE
13,0.18138926258182164,2026-06-24 19:56:16.626366,2026-06-24 19:56:49.735362,0 days 00:00:33.108996,0.8588871567847322,0.6825897269979835,lossguide,0.006589820521393508,32.0,7.0,299.0,0.05090057180402597,3.290161271399697,1.6717470023119254,0.7952036407329477,559,,COMPLETE
14,0.18233688875466458,2026-06-24 19:56:49.745553,2026-06-24 19:57:27.339827,0 days 00:00:37.594274,0.86500683939344,0.606933976695674,lossguide,0.007477583034427866,34.0,8.0,390.0,0.023326293332030668,4.184864153827949,1.3298696492303403,0.8131836102869505,526,,COMPLETE
15,0.18287311904712877,2026-06-24 19:57:27.348507,2026-06-24 19:57:38.627906,0 days 00:00:11.279399,0.7956598203474861,0.6786646906294368,lossguide,0.036556256431395234,97.0,7.0,178.0,0.005820860373098812,2.700418592088877,1.5363858692141057,0.7020228276855585,113,,COMPLETE
16,0.1822385083703404,2026-06-24 19:57:38.636474,2026-06-24 19:58:04.182930,0 days 00:00:25.546456,0.9085324117781708,0.7410736614751119,lossguide,0.008540770947332708,29.0,7.0,481.0,0.0994936305984191,3.64954121256888,0.8691333247274609,0.8027105027486668,400,,COMPLETE
17,0.18594350220440692,2026-06-24 19:58:04.191622,2026-06-24 19:58:20.723954,0 days 00:00:16.532332,0.7838220184393664,0.644453546094764,lossguide,0.04674318770869301,37.0,10.0,140.0,0.006169127611334447,2.4492357718063413,2.1593457442197854,0.9490164421938835,80,,COMPLETE
18,0.18290371992248544,2026-06-24 19:58:20.736533,2026-06-24 19:58:52.621057,0 days 00:00:31.884524,0.9040833436583949,0.6017980221580093,lossguide,0.0055361803590665915,72.0,6.0,590.0,0.08570683231786803,4.597562148890438,1.940680642764338,0.6076755995955162,824,,COMPLETE
19,0.18233903367583437,2026-06-24 19:58:52.629205,2026-06-24 19:59:10.403106,0 days 00:00:17.773901,0.7403345511582436,0.753723332915716,depthwise,0.009966263844468417,12.0,8.0,267.0,0.0011544008929240627,3.313196523616975,0.08689028168849333,0.8722250201339833,423,,COMPLETE
20,0.1827367020607258,2026-06-24 19:59:10.411971,2026-06-24 19:59:19.857337,0 days 00:00:09.445366,0.879978896181101,0.6945997072423604,lossguide,0.01958914912505936,26.0,5.0,611.0,0.012864130000682995,1.4845033849397984,0.8570380771100021,0.6997735240645564,230,,COMPLETE
21,0.18175532912814396,2026-06-24 19:59:19.866222,2026-06-24 19:59:43.459150,0 days 00:00:23.592928,0.83623940235584,0.7029836468582801,lossguide,0.00673465198970211,41.0,6.0,197.0,0.13691933895244002,3.2284417862509454,3.1875615437858316,0.7640460132612138,555,,COMPLETE
22,0.18235833796636314,2026-06-24 19:59:43.468169,2026-06-24 20:00:09.593058,0 days 00:00:26.124889,0.8192564355866314,0.6649504719670033,lossguide,0.006445343281348248,43.0,6.0,82.0,0.0890309522045398,3.998912048294657,3.235486818197824,0.8244394925997861,609,,COMPLETE
