number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.18073448964603656,2026-06-24 20:02:05.068935,2026-06-24 20:02:20.038776,0 days 00:00:14.969841,,,,,,,,,,,,,,100,{},COMPLETE
1,0.17005421216759453,2026-06-24 20:02:20.054134,2026-06-24 20:03:29.583642,0 days 00:01:09.529508,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.16030597443482764,2026-06-24 20:03:29.596696,2026-06-24 20:04:17.481490,0 days 00:00:47.884794,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,622,,COMPLETE
3,0.16509229452799146,2026-06-24 20:04:17.493450,2026-06-24 20:04:54.316442,0 days 00:00:36.822992,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.16032599369907952,2026-06-24 20:04:54.324975,2026-06-24 20:05:31.231688,0 days 00:00:36.906713,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,481,,COMPLETE
5,0.16128262854083597,2026-06-24 20:05:31.242576,2026-06-24 20:07:10.480193,0 days 00:01:39.237617,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.1767643835553756,2026-06-24 20:07:10.489523,2026-06-24 20:08:04.602549,0 days 00:00:54.113026,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,361,,COMPLETE
7,0.19557705815195892,2026-06-24 20:08:04.611964,2026-06-24 20:09:16.346741,0 days 00:01:11.734777,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,523,,COMPLETE
8,0.16475253901468612,2026-06-24 20:09:16.355686,2026-06-24 20:11:41.046330,0 days 00:02:24.690644,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.16122371470603714,2026-06-24 20:11:41.055632,2026-06-24 20:12:48.350714,0 days 00:01:07.295082,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,349,,COMPLETE
10,0.16135841575550425,2026-06-24 20:12:48.359623,2026-06-24 20:15:05.702082,0 days 00:02:17.342459,Plain,Bernoulli,0.994218715820859,8.0,SymmetricTree,0.16834311272906852,4.0,0.034362454376490444,254.0,3.0,0.37215132795144673,8.0,0.701799154886745,533,,COMPLETE
11,0.15810614328302208,2026-06-24 20:15:05.711698,2026-06-24 20:15:51.072225,0 days 00:00:45.360527,Plain,Bernoulli,0.9702939709090881,4.0,SymmetricTree,0.009383155137023777,1.0,0.09859566104262237,254.0,5.0,0.10508574021578714,12.0,0.9899746260236472,423,,COMPLETE
12,0.16042323012544646,2026-06-24 20:15:51.086894,2026-06-24 20:17:36.224151,0 days 00:01:45.137257,Plain,Bernoulli,0.9967986685440159,5.0,SymmetricTree,0.006009994453881533,1.0,0.043627134421616795,254.0,3.0,1.3733890861878526,10.0,0.9252414412091325,1000,,COMPLETE
13,0.1640141141532766,2026-06-24 20:17:36.232879,2026-06-24 20:18:36.911140,0 days 00:01:00.678261,Plain,Bernoulli,0.9696992303618526,5.0,SymmetricTree,0.02681361228629217,2.0,0.044658849726746185,254.0,3.0,0.3774733926946918,13.0,0.9502715083943852,617,,COMPLETE
14,0.16065030577996198,2026-06-24 20:18:36.920770,2026-06-24 20:19:11.085033,0 days 00:00:34.164263,Plain,Bernoulli,0.9659823688287618,4.0,SymmetricTree,0.002135343084680792,1.0,0.09984266193796179,254.0,5.0,0.10302065088161232,14.0,0.8855995901015261,398,,COMPLETE
15,0.15725103470997237,2026-06-24 20:19:11.095809,2026-06-24 20:20:46.379298,0 days 00:01:35.283489,Plain,Bernoulli,0.8507110179479633,5.0,SymmetricTree,0.589827261117234,2.0,0.054016874154302306,254.0,4.0,0.22926411022562,11.0,0.9941536713971176,1000,,COMPLETE
16,0.1609934931671393,2026-06-24 20:20:46.392589,2026-06-24 20:22:29.066375,0 days 00:01:42.673786,Plain,Bernoulli,0.8509886678091166,6.0,SymmetricTree,2.832497060361829,5.0,0.027497709921398147,254.0,4.0,0.1649615337208139,8.0,0.9977511329741465,1000,,COMPLETE
17,0.15548504961345644,2026-06-24 20:22:29.075956,2026-06-24 20:24:10.798542,0 days 00:01:41.722586,Plain,Bernoulli,0.92658740780258,5.0,SymmetricTree,0.5036565276432297,1.0,0.05715965128772658,254.0,5.0,0.21436464304603842,11.0,0.9669423729297237,1000,,COMPLETE
18,0.1580283541419285,2026-06-24 20:24:10.813835,2026-06-24 20:25:58.077593,0 days 00:01:47.263758,Plain,Bernoulli,0.8564801274311471,6.0,SymmetricTree,0.6851142443841602,2.0,0.05454098949723463,254.0,4.0,0.25348873790260884,22.0,0.8964150211027526,830,,COMPLETE
