number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.09768299188209062,2026-06-24 21:46:13.082736,2026-06-24 21:46:15.212437,0 days 00:00:02.129701,,,,,,,,,,,,,,100,{},COMPLETE
1,0.10210688285935876,2026-06-24 21:46:15.226726,2026-06-24 21:46:20.889736,0 days 00:00:05.663010,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,654,,COMPLETE
2,0.09884306775141227,2026-06-24 21:46:20.898463,2026-06-24 21:46:24.608720,0 days 00:00:03.710257,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,593,,COMPLETE
3,0.1004788250128078,2026-06-24 21:46:24.617147,2026-06-24 21:46:31.071248,0 days 00:00:06.454101,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.09753764854221958,2026-06-24 21:46:31.081623,2026-06-24 21:46:34.618342,0 days 00:00:03.536719,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,475,,COMPLETE
5,0.09645826303165872,2026-06-24 21:46:34.632045,2026-06-24 21:46:50.548132,0 days 00:00:15.916087,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,846,,COMPLETE
6,0.13381591595529974,2026-06-24 21:46:50.560064,2026-06-24 21:46:54.610190,0 days 00:00:04.050126,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,313,,COMPLETE
7,0.09804608621674582,2026-06-24 21:46:54.619855,2026-06-24 21:47:22.879838,0 days 00:00:28.259983,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,647,,COMPLETE
8,0.08839353735431899,2026-06-24 21:47:22.889692,2026-06-24 21:48:00.158254,0 days 00:00:37.268562,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,913,,COMPLETE
9,0.08907382424900623,2026-06-24 21:48:00.170430,2026-06-24 21:48:21.928895,0 days 00:00:21.758465,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,660,,COMPLETE
10,0.08565049494834898,2026-06-24 21:48:21.939355,2026-06-24 21:49:07.289782,0 days 00:00:45.350427,Plain,Bernoulli,0.9942230638674576,8.0,Depthwise,0.0025843128549611844,4.0,0.030271331966456122,254.0,3.0,1.3207438549980748,8.0,0.701799154886745,492,,COMPLETE
11,0.08759534626245591,2026-06-24 21:49:07.302505,2026-06-24 21:49:50.400821,0 days 00:00:43.098316,Plain,Bernoulli,0.9977065518484197,8.0,Depthwise,0.0013429680269363487,4.0,0.03177704025416744,254.0,3.0,1.3548103900693378,8.0,0.7038481424168446,488,,COMPLETE
12,0.09279992352160182,2026-06-24 21:49:50.411898,2026-06-24 21:50:39.692889,0 days 00:00:49.280991,Plain,Bernoulli,0.9986920233514214,8.0,Depthwise,0.0020464469652277696,5.0,0.031173973016765166,254.0,3.0,1.459454052850138,8.0,0.7020824733829623,536,,COMPLETE
13,0.08676387699797972,2026-06-24 21:50:39.702116,2026-06-24 21:51:20.381772,0 days 00:00:40.679656,Plain,Bernoulli,0.9996128803634515,8.0,Depthwise,0.0016848684072059727,4.0,0.03131628800950652,254.0,3.0,1.4781056188047885,8.0,0.7503541865200775,553,,COMPLETE
14,0.09144772453433891,2026-06-24 21:51:20.391590,2026-06-24 21:52:19.050207,0 days 00:00:58.658617,Plain,Bernoulli,0.9730708379780038,8.0,Depthwise,0.006439679936871292,20.0,0.0298523979861966,254.0,3.0,1.011799223259297,11.0,0.7669672489478798,558,,COMPLETE
15,0.09575180181043086,2026-06-24 21:52:19.061216,2026-06-24 21:52:59.423859,0 days 00:00:40.362643,Plain,Bernoulli,0.9720500712942196,8.0,Depthwise,0.0008059849664151462,5.0,0.04701669312738853,254.0,3.0,0.9438013877301854,11.0,0.7553062507207917,464,,COMPLETE
