number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,4923.627336148733,2026-06-24 22:00:42.944794,2026-06-24 22:00:43.394591,0 days 00:00:00.449797,,,,,,,,,,,,,,100,{},COMPLETE
1,4612.735178074873,2026-06-24 22:00:43.411700,2026-06-24 22:00:45.113798,0 days 00:00:01.702098,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,706,,COMPLETE
2,4767.582751092886,2026-06-24 22:00:45.129292,2026-06-24 22:00:45.608185,0 days 00:00:00.478893,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,221,,COMPLETE
3,4623.0986757202345,2026-06-24 22:00:45.618938,2026-06-24 22:00:48.188709,0 days 00:00:02.569771,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,841,,COMPLETE
4,4768.970615712428,2026-06-24 22:00:48.197262,2026-06-24 22:00:48.605307,0 days 00:00:00.408045,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,197,,COMPLETE
5,4679.9375575410195,2026-06-24 22:00:48.614092,2026-06-24 22:00:55.519161,0 days 00:00:06.905069,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,747,,COMPLETE
6,4767.40021370461,2026-06-24 22:00:55.528170,2026-06-24 22:00:56.333589,0 days 00:00:00.805419,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,355,,COMPLETE
7,4709.891768003127,2026-06-24 22:00:56.344898,2026-06-24 22:01:08.122843,0 days 00:00:11.777945,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,4708.097521763866,2026-06-24 22:01:08.132992,2026-06-24 22:01:21.078603,0 days 00:00:12.945611,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,5067.259122373385,2026-06-24 22:01:21.087122,2026-06-24 22:01:24.441042,0 days 00:00:03.353920,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,199,,COMPLETE
10,4777.782627147251,2026-06-24 22:01:24.449622,2026-06-24 22:01:26.721314,0 days 00:00:02.271692,Plain,Bernoulli,0.9942739726130633,8.0,SymmetricTree,0.0025843128549611844,18.0,0.027075555569701922,254.0,3.0,1.3180934075316322,8.0,0.701799154886745,356,,COMPLETE
11,4609.904875175531,2026-06-24 22:01:26.730619,2026-06-24 22:01:27.957064,0 days 00:00:01.226445,Plain,Bernoulli,0.8601730401643931,4.0,SymmetricTree,0.09774549841052531,1.0,0.015753387726212563,254.0,2.0,0.10586390145586963,51.0,0.7979239426070239,637,,COMPLETE
12,4651.536857945878,2026-06-24 22:01:27.971319,2026-06-24 22:01:29.419663,0 days 00:00:01.448344,Plain,Bernoulli,0.852683028092594,5.0,SymmetricTree,0.4093084119407297,5.0,0.022990961643687132,254.0,3.0,0.39346540561549875,65.0,0.8583336679090096,454,,COMPLETE
13,4667.328303222768,2026-06-24 22:01:29.429965,2026-06-24 22:01:30.420256,0 days 00:00:00.990291,Plain,Bernoulli,0.8564518351982421,5.0,SymmetricTree,0.0011283551613015107,1.0,0.022545240787025623,254.0,3.0,0.10915742379281106,54.0,0.7680735958106676,461,,COMPLETE
14,4606.175787178184,2026-06-24 22:01:30.430164,2026-06-24 22:01:32.041857,0 days 00:00:01.611693,Plain,Bernoulli,0.8706675677019329,4.0,SymmetricTree,2.6946193556436624,4.0,0.015029376233924608,254.0,2.0,0.23460339096822785,93.0,0.8953683793126899,666,,COMPLETE
15,4691.389196655631,2026-06-24 22:01:32.055481,2026-06-24 22:01:32.887333,0 days 00:00:00.831852,Plain,Bernoulli,0.8507110179479633,5.0,SymmetricTree,1.3776797944669439,4.0,0.0411750213411275,254.0,2.0,0.2100596461187754,95.0,0.8840047044645586,293,,COMPLETE
16,4621.4000085497755,2026-06-24 22:01:32.896229,2026-06-24 22:01:34.374702,0 days 00:00:01.478473,Plain,Bernoulli,0.8833519535351692,4.0,SymmetricTree,0.19154321197381433,2.0,0.014501114853953157,254.0,3.0,0.16482040626046232,77.0,0.7609524784084656,796,,COMPLETE
17,4709.976592947261,2026-06-24 22:01:34.383312,2026-06-24 22:01:35.528984,0 days 00:00:01.145672,Plain,Bernoulli,0.8639707874197006,6.0,SymmetricTree,3.41639801408662,6.0,0.03809134190447404,254.0,2.0,0.2903693566900438,54.0,0.9166998986143189,324,,COMPLETE
18,4629.264848645762,2026-06-24 22:01:35.537534,2026-06-24 22:01:37.479656,0 days 00:00:01.942122,Plain,Bernoulli,0.9163965938625761,5.0,SymmetricTree,0.10256711512019859,1.0,0.008827970164826138,254.0,3.0,0.14660581085797122,69.0,0.8212215360042718,961,,COMPLETE
19,4619.2489140266425,2026-06-24 22:01:37.488007,2026-06-24 22:01:38.819188,0 days 00:00:01.331181,Plain,Bernoulli,0.8911249376583456,4.0,SymmetricTree,0.8719578110698722,3.0,0.017586141230629095,254.0,2.0,0.23796096363285354,96.0,0.7736708615456951,657,,COMPLETE
20,4711.279859194465,2026-06-24 22:01:38.829287,2026-06-24 22:01:39.701237,0 days 00:00:00.871950,Plain,Bernoulli,0.9578109299938373,6.0,SymmetricTree,0.011505395361394498,1.0,0.03887497205274868,254.0,3.0,0.12740871786561656,43.0,0.856733568280541,325,,COMPLETE
21,4623.248577962423,2026-06-24 22:01:39.709810,2026-06-24 22:01:41.593691,0 days 00:00:01.883881,Plain,Bernoulli,0.8698413890681586,4.0,SymmetricTree,0.0008347531120154141,18.0,0.016284119488466905,254.0,2.0,0.5666591306647817,34.0,0.9968383766596345,783,,COMPLETE
22,4614.448921577842,2026-06-24 22:01:41.602576,2026-06-24 22:01:43.817805,0 days 00:00:02.215229,Plain,Bernoulli,0.8735261765612041,4.0,SymmetricTree,0.005676767061655909,12.0,0.011536841067607497,254.0,2.0,0.9434013415891885,23.0,0.9599754023282921,750,,COMPLETE
23,4614.264670403554,2026-06-24 22:01:43.826950,2026-06-24 22:01:45.168978,0 days 00:00:01.342028,Plain,Bernoulli,0.8665614529571194,4.0,SymmetricTree,0.0003300909455203525,7.0,0.019749162107653283,254.0,2.0,0.44260452984704046,62.0,0.9148699192599283,520,,COMPLETE
24,4626.806487422122,2026-06-24 22:01:45.179895,2026-06-24 22:01:48.477564,0 days 00:00:03.297669,Plain,Bernoulli,0.8904465880413687,5.0,SymmetricTree,0.031684876610338704,3.0,0.0050643202326290885,254.0,2.0,0.32479733330430194,40.0,0.8856455862660837,1000,,COMPLETE
25,4640.530173702237,2026-06-24 22:01:48.486486,2026-06-24 22:01:49.423446,0 days 00:00:00.936960,Plain,Bernoulli,0.8633668088976656,4.0,SymmetricTree,1.1547720200079652,2.0,0.02972280541361046,254.0,2.0,0.8060562985906957,11.0,0.9644484195287352,470,,COMPLETE
