number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.6400092573004766,2026-06-24 22:53:24.429769,2026-06-24 22:53:24.850619,0 days 00:00:00.420850,,,,,,,,,,,,,,100,{},COMPLETE
1,0.5064301997663279,2026-06-24 22:53:24.870509,2026-06-24 22:53:30.525832,0 days 00:00:05.655323,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.4573893666537792,2026-06-24 22:53:30.545476,2026-06-24 22:53:32.272575,0 days 00:00:01.727099,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,790,,COMPLETE
3,0.49484009760719594,2026-06-24 22:53:32.286339,2026-06-24 22:53:37.045961,0 days 00:00:04.759622,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.4577022022099281,2026-06-24 22:53:37.056244,2026-06-24 22:53:38.823340,0 days 00:00:01.767096,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,847,,COMPLETE
5,0.4294666205113103,2026-06-24 22:53:38.833549,2026-06-24 22:53:53.695729,0 days 00:00:14.862180,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.5108308063334571,2026-06-24 22:53:53.710751,2026-06-24 22:53:55.825015,0 days 00:00:02.114264,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,354,,COMPLETE
7,0.45155505401039725,2026-06-24 22:53:55.835087,2026-06-24 22:54:03.239157,0 days 00:00:07.404070,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,479,,COMPLETE
8,0.45355319240687786,2026-06-24 22:54:03.249870,2026-06-24 22:54:17.709875,0 days 00:00:14.460005,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.4478599954002813,2026-06-24 22:54:17.720468,2026-06-24 22:54:22.367318,0 days 00:00:04.646850,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,309,,COMPLETE
