number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.05080654101995574,2026-06-25 00:39:08.006690,2026-06-25 00:39:10.564704,0 days 00:00:02.558014,,,,,,,,,,,,67,{},COMPLETE
1,0.04982538802660752,2026-06-25 00:39:10.583186,2026-06-25 00:39:46.264024,0 days 00:00:35.680838,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,819,,COMPLETE
2,0.04840077605321502,2026-06-25 00:39:46.277095,2026-06-25 00:39:50.245731,0 days 00:00:03.968636,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,227,,COMPLETE
3,0.05154379157427935,2026-06-25 00:39:50.258352,2026-06-25 00:40:09.521346,0 days 00:00:19.262994,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,552,,COMPLETE
4,0.04844512195121953,2026-06-25 00:40:09.531195,2026-06-25 00:40:23.322610,0 days 00:00:13.791415,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.049359756097560936,2026-06-25 00:40:23.331903,2026-06-25 00:40:32.746859,0 days 00:00:09.414956,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,513,,COMPLETE
6,0.04753603104212867,2026-06-25 00:40:32.755353,2026-06-25 00:40:52.316569,0 days 00:00:19.561216,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,0.053339800443458985,2026-06-25 00:40:52.332782,2026-06-25 00:41:04.493707,0 days 00:00:12.160925,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.04817350332594239,2026-06-25 00:41:04.503310,2026-06-25 00:41:18.527241,0 days 00:00:14.023931,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,730,,COMPLETE
9,0.050202328159645315,2026-06-25 00:41:18.537023,2026-06-25 00:41:28.471912,0 days 00:00:09.934889,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,418,,COMPLETE
10,0.050368625277161794,2026-06-25 00:41:28.481829,2026-06-25 00:41:32.748403,0 days 00:00:04.266574,0.7785521584210519,0.9630659181130071,lossguide,0.08651476814006658,40.0,7.0,9.0,0.038946887834449,4.7988577526525065,2.5700768651765165,0.9729161367647149,218,,COMPLETE
11,0.050102549889135206,2026-06-25 00:41:32.757799,2026-06-25 00:41:46.572055,0 days 00:00:13.814256,0.8545518471049501,0.7708449222533328,depthwise,0.007631609688708743,65.0,5.0,35.0,4.6723067682627075,0.9641094099774248,3.350824334225044,0.7334795125859336,1000,,COMPLETE
12,0.04891629711751655,2026-06-25 00:41:46.581311,2026-06-25 00:41:54.519395,0 days 00:00:07.938084,0.991014113930097,0.7205564862830013,depthwise,0.03926563841225128,47.0,5.0,86.0,0.09909199881818531,0.9377444039036937,3.3410527334105025,0.7276511734528,361,,COMPLETE
13,0.0488885809312638,2026-06-25 00:41:54.528966,2026-06-25 00:42:07.531314,0 days 00:00:13.002348,0.7340928587861212,0.885677745634264,depthwise,0.010309562071127988,32.0,5.0,19.0,1.2908069566778397,0.0126290482219521,3.6125954486160503,0.6052561262871233,830,,COMPLETE
14,0.04845066518847008,2026-06-25 00:42:07.540584,2026-06-25 00:42:41.057768,0 days 00:00:33.517184,0.9037033513077797,0.7406086632532847,lossguide,0.008087093794917531,73.0,6.0,109.0,0.13925071458840985,1.0233714058752723,2.4632184466245146,0.8608592025599862,1000,,COMPLETE
15,0.04957594235033258,2026-06-25 00:42:41.067153,2026-06-25 00:42:51.121927,0 days 00:00:10.054774,0.7905128256012294,0.8759338332096627,lossguide,0.033957652539039894,57.0,6.0,18.0,1.237679687034366,2.6045500971152453,3.879146847759522,0.9362148766913247,344,,COMPLETE
16,0.04611696230598672,2026-06-25 00:42:51.131180,2026-06-25 00:43:08.844623,0 days 00:00:17.713443,0.9292894640952469,0.8358149799574793,depthwise,0.015328355499373995,30.0,5.0,199.0,0.04103176542862972,0.7830141278334811,1.8034599171080825,0.7517105035711132,1000,,COMPLETE
17,0.04886086474501106,2026-06-25 00:43:08.857842,2026-06-25 00:43:22.815668,0 days 00:00:13.957826,0.7093607961740002,0.9117712809246714,depthwise,0.019330581153054815,30.0,7.0,264.0,0.023693100399969833,1.5244158179270642,1.5052223635770035,0.7180505781188716,484,,COMPLETE
18,0.05016906873614191,2026-06-25 00:43:22.825937,2026-06-25 00:43:30.061150,0 days 00:00:07.235213,0.9163331503510338,0.8350584704905023,lossguide,0.03545623798872137,28.0,4.0,994.0,0.021193013199747167,4.274320488043742,1.8750509253189476,0.7718718274307189,389,,COMPLETE
