number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.019517738359201786,2026-06-25 00:45:19.899404,2026-06-25 00:45:21.520627,0 days 00:00:01.621223,,,,,,,,,,,,53,{},COMPLETE
1,0.01683481152993349,2026-06-25 00:45:21.537067,2026-06-25 00:45:44.668395,0 days 00:00:23.131328,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,880,,COMPLETE
2,0.01849223946784928,2026-06-25 00:45:44.684366,2026-06-25 00:45:47.563287,0 days 00:00:02.878921,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,205,,COMPLETE
3,0.017644124168514352,2026-06-25 00:45:47.573400,2026-06-25 00:46:01.889982,0 days 00:00:14.316582,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,712,,COMPLETE
4,0.01749999999999996,2026-06-25 00:46:01.900210,2026-06-25 00:46:13.500341,0 days 00:00:11.600131,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.0201441241685143,2026-06-25 00:46:13.509580,2026-06-25 00:46:19.850400,0 days 00:00:06.340820,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,473,,COMPLETE
6,0.017538802660753805,2026-06-25 00:46:19.859313,2026-06-25 00:46:29.729334,0 days 00:00:09.870021,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,570,,COMPLETE
7,0.021632483370288225,2026-06-25 00:46:29.738937,2026-06-25 00:46:34.705978,0 days 00:00:04.967041,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,446,,COMPLETE
8,0.018187361419068737,2026-06-25 00:46:34.721237,2026-06-25 00:46:44.232266,0 days 00:00:09.511029,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,660,,COMPLETE
9,0.017117516629711726,2026-06-25 00:46:44.241270,2026-06-25 00:46:51.075011,0 days 00:00:06.833741,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,415,,COMPLETE
10,0.018769401330376967,2026-06-25 00:46:51.083772,2026-06-25 00:46:54.048862,0 days 00:00:02.965090,0.8262452362725613,0.7202259292197385,lossguide,0.0864853073450281,8.0,7.0,971.0,0.05528731777524736,4.7988577526525065,2.58248067449815,0.9729161367647149,157,,COMPLETE
11,0.016369179600886907,2026-06-25 00:46:54.058061,2026-06-25 00:47:04.375627,0 days 00:00:10.317566,0.6046474205309514,0.9934451536735682,depthwise,0.031790458723690476,29.0,10.0,366.0,0.04042693539277767,1.573844819665746,2.6859221413477004,0.6143298441164314,480,,COMPLETE
12,0.017688470066518858,2026-06-25 00:47:04.388510,2026-06-25 00:47:16.531738,0 days 00:00:12.143228,0.6832384449578339,0.9984066126989741,depthwise,0.03789339775622382,31.0,10.0,706.0,0.07468257012566243,1.2194504168217553,2.9786214466713585,0.6134343539737889,608,,COMPLETE
13,0.017483370288248423,2026-06-25 00:47:16.540522,2026-06-25 00:47:39.864141,0 days 00:00:23.323619,0.6027237182119441,0.906342970221233,depthwise,0.00721580146971962,11.0,10.0,222.0,0.05090057180402597,0.03125443121077187,1.8369576982113585,0.7101292839767273,1000,,COMPLETE
14,0.017727272727272703,2026-06-25 00:47:39.874428,2026-06-25 00:47:48.337365,0 days 00:00:08.462937,0.7553082698269054,0.7119057317482513,lossguide,0.041314384168676443,34.0,8.0,544.0,0.015201606268806638,2.782024165388828,3.449739182181328,0.9877079408194872,481,,COMPLETE
15,0.018176274944567528,2026-06-25 00:47:48.348228,2026-06-25 00:47:52.341189,0 days 00:00:03.992961,0.6593584655664932,0.7067315935225145,lossguide,0.033957652539039894,31.0,9.0,178.0,4.204196605005472,1.01595432264829,0.06599475398317933,0.8250051428101366,186,,COMPLETE
16,0.017566518847006662,2026-06-25 00:47:52.350989,2026-06-25 00:48:10.578421,0 days 00:00:18.227432,0.7758071033940748,0.9040919258008884,depthwise,0.009151843338230383,11.0,10.0,909.0,0.1259476428425113,4.371171472097869,4.826166066144186,0.6997108097658562,1000,,COMPLETE
17,0.01757206208425721,2026-06-25 00:48:10.591179,2026-06-25 00:48:14.387160,0 days 00:00:03.795981,0.6368549441185642,0.6787103735508785,depthwise,0.059212001777886235,96.0,8.0,143.0,0.019606524151558023,2.270979338413874,1.921007478937069,0.9294490396517446,194,,COMPLETE
18,0.017888026607538743,2026-06-25 00:48:14.396535,2026-06-25 00:48:23.846064,0 days 00:00:09.449529,0.6811410501339145,0.7487203977006066,lossguide,0.02722284472310012,53.0,7.0,433.0,1.2795087024443892,3.52421358979678,4.096359971506527,0.602557237054085,540,,COMPLETE
19,0.01684589800443459,2026-06-25 00:48:23.855479,2026-06-25 00:48:38.739405,0 days 00:00:14.883926,0.6001227423483051,0.8733466121340134,depthwise,0.01568040674139593,12.0,9.0,277.0,0.16160334436765317,1.2492235256093995,3.108048024603515,0.7559295120824641,760,,COMPLETE
20,0.017200665188470077,2026-06-25 00:48:38.748235,2026-06-25 00:48:49.048562,0 days 00:00:10.300327,0.7267340845030492,0.9989879313923895,lossguide,0.05497136431707784,24.0,7.0,575.0,0.021257913870000342,0.6609281689574125,3.9775810572345307,0.6732488171687048,290,,COMPLETE
21,0.01742793791574282,2026-06-25 00:48:49.058066,2026-06-25 00:49:05.850478,0 days 00:00:16.792412,0.6091262417451251,0.908282842058098,depthwise,0.017096562339148396,11.0,9.0,274.0,0.16694824071031367,1.3512046533157422,3.057300867861473,0.7425271923354414,1000,,COMPLETE
22,0.017849223946784898,2026-06-25 00:49:05.859120,2026-06-25 00:49:24.317112,0 days 00:00:18.457992,0.6418442304012735,0.9563366679064258,depthwise,0.010505049754245894,13.0,9.0,363.0,0.19811746502079008,1.7564579732395493,2.424806933972197,0.8604188749995978,1000,,COMPLETE
23,0.017289356984478976,2026-06-25 00:49:24.326404,2026-06-25 00:49:35.985795,0 days 00:00:11.659391,0.6754457036821332,0.8660698517703787,depthwise,0.01851946847886862,8.0,10.0,117.0,1.112006807347285,0.9183534667441713,2.9606389247398566,0.7836129839835687,700,,COMPLETE
24,0.017860310421286107,2026-06-25 00:49:35.994737,2026-06-25 00:49:57.484528,0 days 00:00:21.489791,0.6330875034358756,0.9509207569467105,depthwise,0.007486623876276888,42.0,8.0,206.0,0.03168415850878712,0.3777831936041035,3.485255204114614,0.836882474381288,1000,,COMPLETE
25,0.017050997782705135,2026-06-25 00:49:57.493684,2026-06-25 00:50:12.574390,0 days 00:00:15.080706,0.6022291352943452,0.6576975771100616,depthwise,0.014151614631709204,13.0,9.0,679.0,0.10030877827596377,2.161243383023842,2.039624927622499,0.7675901689234734,865,,COMPLETE
