number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2395676248445744,2026-06-25 01:21:31.925524,2026-06-25 01:21:33.290401,0 days 00:00:01.364877,,,,,,,,,,,,,,35,{},COMPLETE
1,0.23255066328931007,2026-06-25 01:21:33.305829,2026-06-25 01:21:39.737239,0 days 00:00:06.431410,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,415,,COMPLETE
2,0.2439978328628558,2026-06-25 01:21:39.752115,2026-06-25 01:21:44.792713,0 days 00:00:05.040598,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,995,,COMPLETE
3,0.3114388837080351,2026-06-25 01:21:44.803152,2026-06-25 01:21:47.925930,0 days 00:00:03.122778,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,999,,COMPLETE
4,0.29858196852841346,2026-06-25 01:21:47.936377,2026-06-25 01:21:50.900953,0 days 00:00:02.964576,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,993,,COMPLETE
5,0.23645500764525984,2026-06-25 01:21:50.912136,2026-06-25 01:21:56.844748,0 days 00:00:05.932612,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,35,,COMPLETE
6,0.2971779392243843,2026-06-25 01:21:56.854768,2026-06-25 01:21:59.594061,0 days 00:00:02.739293,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,0.228968989229425,2026-06-25 01:21:59.603365,2026-06-25 01:22:08.580592,0 days 00:00:08.977227,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,860,,COMPLETE
8,0.23400696012702893,2026-06-25 01:22:08.594637,2026-06-25 01:22:12.641064,0 days 00:00:04.046427,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,72,,COMPLETE
9,0.23189918548576804,2026-06-25 01:22:12.651971,2026-06-25 01:22:16.361245,0 days 00:00:03.709274,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,219,,COMPLETE
10,0.23937780312195445,2026-06-25 01:22:16.373695,2026-06-25 01:22:22.576488,0 days 00:00:06.202793,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,1000,,COMPLETE
11,0.2317601224081728,2026-06-25 01:22:22.587431,2026-06-25 01:22:25.219847,0 days 00:00:02.632416,0.7494110184930092,1.0,0.6646745230859595,0.5200105656740905,True,0.6109555747170158,0.7561101271802751,0.9437374915354393,0.08435621740171995,30.0,2.0,5.0,42.0,160,,COMPLETE
12,0.23011292174950437,2026-06-25 01:22:25.232308,2026-06-25 01:22:28.880272,0 days 00:00:03.647964,0.7025152260406509,1.0,0.4106232633100717,0.22712937948801454,True,0.6477184395873087,0.6869218470911971,0.7264397755151069,0.040851082831757854,26.0,2.0,8.0,22.0,362,,COMPLETE
13,0.23326484818698123,2026-06-25 01:22:28.890764,2026-06-25 01:22:34.150458,0 days 00:00:05.259694,0.7105717553864853,1.0,0.3105952424415422,0.17742365213290148,True,0.42032382247510147,0.5896395419955747,0.47504747550793786,0.040881208467459594,97.0,3.0,13.0,16.0,678,,COMPLETE
14,0.23328464520953052,2026-06-25 01:22:34.160572,2026-06-25 01:22:38.389694,0 days 00:00:04.229122,0.7964455246133277,1.0,0.432348277381469,0.08186891460581072,True,0.7842567150859745,0.575962862830185,0.5112407010791327,0.036385187905131414,24.0,1.0,11.0,6.0,986,,COMPLETE
15,0.2279503818429277,2026-06-25 01:22:38.399901,2026-06-25 01:22:56.182837,0 days 00:00:17.782936,0.9700644510349015,1.0,0.1265290148817882,0.005095910263387219,True,0.6128004686774546,0.1784600491591984,0.8832489120992311,0.01264445189228099,67.0,4.0,10.0,142.0,607,,COMPLETE
16,0.22663969108109017,2026-06-25 01:22:56.197463,2026-06-25 01:23:19.439845,0 days 00:00:23.242382,0.9936272268527888,1.0,0.08256556344921548,0.0014242164696590042,True,0.5713818485735501,0.012354692201737738,1.1719273531100862,0.011718138639627793,69.0,5.0,32.0,168.0,603,,COMPLETE
17,0.22701201187955777,2026-06-25 01:23:19.453952,2026-06-25 01:23:37.207909,0 days 00:00:17.753957,0.9994100901687766,1.0,0.05714542510444231,0.0012673413127385921,True,0.5817133886507502,0.015119709504524625,1.213526061835005,0.009100085633697018,60.0,14.0,34.0,187.0,618,,COMPLETE
18,0.2273011043619988,2026-06-25 01:23:37.217956,2026-06-25 01:23:58.155737,0 days 00:00:20.937781,0.9981528355149126,1.0,0.02481348139696422,0.0011732288277647943,True,0.5667760749077873,0.017456667665418202,1.9357636953473358,0.005809151389755856,49.0,18.0,44.0,185.0,999,,COMPLETE
19,0.2265506574083409,2026-06-25 01:23:58.165969,2026-06-25 01:24:18.029828,0 days 00:00:19.863859,0.9185218811349452,1.0,0.055937217868797226,0.00557664707115843,True,0.7564458000671882,0.1644272181609165,1.2294445768059725,0.008366505790360948,50.0,13.0,32.0,92.0,901,,COMPLETE
20,0.22758820151560977,2026-06-25 01:24:18.046272,2026-06-25 01:24:34.563604,0 days 00:00:16.517332,0.9134453595637725,1.0,0.005400509528559575,0.005208563758299889,True,0.75502740690996,0.19366941448622413,1.238589096164864,0.007001732647069021,37.0,26.0,24.0,82.0,999,,COMPLETE
21,0.22694561909802735,2026-06-25 01:24:34.573639,2026-06-25 01:24:50.308871,0 days 00:00:15.735232,0.9495525620180664,1.0,0.06464908797153045,0.004496062164076465,True,0.8524760804075244,0.019215922216215004,1.2083680278668165,0.009870890928229811,55.0,10.0,35.0,120.0,496,,COMPLETE
22,0.2268725673791041,2026-06-25 01:24:50.319149,2026-06-25 01:25:06.017190,0 days 00:00:15.698041,0.9166357743338474,1.0,0.07542378025514727,0.006053508060100359,True,0.8573831410071211,0.14009546901450148,1.1212316577265407,0.010501800586804897,49.0,9.0,89.0,101.0,602,,COMPLETE
23,0.22810428176563502,2026-06-25 01:25:06.027116,2026-06-25 01:25:12.912956,0 days 00:00:06.885840,0.912304309045901,1.0,0.021640969030145195,0.01654746426456098,True,0.8611992905060671,0.1954450605635272,1.3730094248239788,0.022373410082934603,77.0,6.0,94.0,93.0,222,,COMPLETE
24,0.22729210311859394,2026-06-25 01:25:12.923488,2026-06-25 01:25:26.835456,0 days 00:00:13.911968,0.9307943620137785,1.0,0.10108527659294234,0.00939739205984254,True,0.8046300700986695,0.2785298247547502,1.117989978111856,0.012331599699698435,44.0,8.0,61.0,54.0,855,,COMPLETE
25,0.22636624197667776,2026-06-25 01:25:26.845705,2026-06-25 01:25:47.557051,0 days 00:00:20.711346,0.896060322861096,1.0,0.21165119670658938,0.002899430336294951,True,0.9151491697484742,0.14568735956448842,0.8123648736994291,0.007229547747185267,32.0,4.0,16.0,95.0,837,,COMPLETE
