number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2534694017374064,2026-06-25 01:32:50.561218,2026-06-25 01:32:52.395318,0 days 00:00:01.834100,,,,,,,,,,,,24,{},COMPLETE
1,0.23038144092146384,2026-06-25 01:32:52.412846,2026-06-25 01:33:28.011393,0 days 00:00:35.598547,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,292,,COMPLETE
2,0.23701147839163905,2026-06-25 01:33:28.027712,2026-06-25 01:33:31.533119,0 days 00:00:03.505407,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,264,,COMPLETE
3,0.23032920867358941,2026-06-25 01:33:31.544107,2026-06-25 01:33:48.411750,0 days 00:00:16.867643,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,218,,COMPLETE
4,0.23582039478105998,2026-06-25 01:33:48.426700,2026-06-25 01:33:59.910017,0 days 00:00:11.483317,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.2364306864771314,2026-06-25 01:33:59.921091,2026-06-25 01:34:09.220342,0 days 00:00:09.299251,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,671,,COMPLETE
6,0.23333403694928934,2026-06-25 01:34:09.230037,2026-06-25 01:34:22.364672,0 days 00:00:13.134635,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,813,,COMPLETE
7,0.2489921434452398,2026-06-25 01:34:22.374846,2026-06-25 01:34:31.512137,0 days 00:00:09.137291,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.23414840835769735,2026-06-25 01:34:31.523206,2026-06-25 01:34:40.800579,0 days 00:00:09.277373,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,689,,COMPLETE
9,0.2325149061565347,2026-06-25 01:34:40.810753,2026-06-25 01:34:46.195870,0 days 00:00:05.385117,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,274,,COMPLETE
10,0.23672209018046164,2026-06-25 01:34:46.206430,2026-06-25 01:34:53.339139,0 days 00:00:07.132709,0.8383148270515275,0.9630659181130071,lossguide,0.08675823913417954,99.0,8.0,968.0,0.038946887834449,4.7988577526525065,0.08173818767886609,0.9729161367647149,42,,COMPLETE
