number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.18822122862127036,2026-06-25 03:20:11.764962,2026-06-25 03:20:35.385034,0 days 00:00:23.620072,,,,,,,,,,,,,,100,{},COMPLETE
1,0.18252478428455832,2026-06-25 03:20:35.401661,2026-06-25 03:20:59.597200,0 days 00:00:24.195539,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,284,,COMPLETE
2,0.18635322273457455,2026-06-25 03:20:59.611286,2026-06-25 03:21:11.097202,0 days 00:00:11.485916,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,153,,COMPLETE
3,0.1750598034046006,2026-06-25 03:21:11.107752,2026-06-25 03:21:55.834701,0 days 00:00:44.726949,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,565,,COMPLETE
4,0.18351373628060036,2026-06-25 03:21:55.850090,2026-06-25 03:22:09.033435,0 days 00:00:13.183345,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,208,,COMPLETE
5,0.1744731869181423,2026-06-25 03:22:09.044578,2026-06-25 03:23:46.061851,0 days 00:01:37.017273,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,505,,COMPLETE
6,0.22904567044364402,2026-06-25 03:23:46.077215,2026-06-25 03:24:06.337019,0 days 00:00:20.259804,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,154,,COMPLETE
7,0.19030551313292793,2026-06-25 03:24:06.347045,2026-06-25 03:25:56.124481,0 days 00:01:49.777436,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,342,,COMPLETE
8,0.175311796269076,2026-06-25 03:25:56.135810,2026-06-25 03:29:17.750879,0 days 00:03:21.615069,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,703,,COMPLETE
9,0.2083294500165996,2026-06-25 03:29:17.760069,2026-06-25 03:30:06.911952,0 days 00:00:49.151883,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,150,,COMPLETE
10,0.18362342114182975,2026-06-25 03:30:06.921294,2026-06-25 03:31:38.906435,0 days 00:01:31.985141,Plain,Bernoulli,0.9942561717820161,8.0,Depthwise,1.841152012664479,5.0,0.03273941684536397,254.0,3.0,1.3327052390755632,92.0,0.701799154886745,190,,COMPLETE
11,0.17534056265620857,2026-06-25 03:31:38.917448,2026-06-25 03:33:17.148335,0 days 00:01:38.230887,Plain,Bernoulli,0.8551596726501958,6.0,Depthwise,0.3516104574478991,1.0,0.014611907623616187,254.0,3.0,0.10311112448815031,100.0,0.8654107265462174,518,,COMPLETE
12,0.17570530194510708,2026-06-25 03:33:17.158973,2026-06-25 03:34:22.227329,0 days 00:01:05.068356,Plain,Bernoulli,0.939629673182929,5.0,Depthwise,4.58523005051498,19.0,0.01240198802083726,254.0,3.0,1.4073837677860848,50.0,0.772242381250273,577,,COMPLETE
13,0.18028582923589495,2026-06-25 03:34:22.237823,2026-06-25 03:34:56.295536,0 days 00:00:34.057713,Plain,Bernoulli,0.9714368377529672,5.0,Depthwise,0.10687304712227631,6.0,0.023844773253737076,254.0,4.0,0.1936795500455347,10.0,0.8934935334460422,244,,COMPLETE
14,0.17543484495946796,2026-06-25 03:34:56.306377,2026-06-25 03:37:11.511490,0 days 00:02:15.205113,Plain,Bernoulli,0.9208482942500802,6.0,Depthwise,0.005820445741720079,1.0,0.008896844015565935,254.0,3.0,0.3346631910149239,61.0,0.7868156146911698,709,,COMPLETE
15,0.17924576232387593,2026-06-25 03:37:11.521273,2026-06-25 03:38:02.667602,0 days 00:00:51.146329,Plain,Bernoulli,0.8507110179479633,6.0,Depthwise,0.7346792062405888,4.0,0.02416819219844185,254.0,5.0,0.16721975347603293,66.0,0.9029936469437403,248,,COMPLETE
16,0.17453747305030787,2026-06-25 03:38:02.678189,2026-06-25 03:43:34.069214,0 days 00:05:31.391025,Plain,Bernoulli,0.8754910856867044,8.0,Depthwise,0.08679182655951413,2.0,0.005020034257411121,254.0,4.0,0.3666986899719447,73.0,0.8194237329952393,736,,COMPLETE
17,0.17644333948219293,2026-06-25 03:43:34.082144,2026-06-25 03:48:07.213342,0 days 00:04:33.131198,Plain,Bernoulli,0.8774958033721114,8.0,Depthwise,0.0009404215088251226,3.0,0.005574470934038641,254.0,4.0,1.0246257857749503,75.0,0.853289385256833,581,,COMPLETE
18,0.17478915998284034,2026-06-25 03:48:07.224318,2026-06-25 03:53:01.306352,0 days 00:04:54.082034,Plain,Bernoulli,0.8686124895345414,8.0,Depthwise,3.8191854736825834,20.0,0.005207659174550492,254.0,4.0,0.4530044965457473,80.0,0.9044460988423673,601,,COMPLETE
19,0.17895422785114645,2026-06-25 03:53:01.316248,2026-06-25 03:56:11.969499,0 days 00:03:10.653251,Plain,Bernoulli,0.8936413696645252,7.0,SymmetricTree,0.16551802564393897,7.0,0.009021673186842834,254.0,5.0,0.28630908183062564,52.0,0.7519787878838392,431,,COMPLETE
20,0.181404682325262,2026-06-25 03:56:11.981527,2026-06-25 03:56:51.929195,0 days 00:00:39.947668,Plain,Bernoulli,0.8640631675587798,6.0,Depthwise,0.8256625712111206,2.0,0.04479359316524599,254.0,4.0,1.000768470645362,65.0,0.8286281331630516,190,,COMPLETE
21,0.1752861853773703,2026-06-25 03:56:51.939541,2026-06-25 04:01:33.049917,0 days 00:04:41.110376,Plain,Bernoulli,0.8832608850952807,8.0,Depthwise,4.864977143985637,18.0,0.0059656164314314765,254.0,4.0,0.455364711156317,86.0,0.8980281648113001,581,,COMPLETE
22,0.17611042455471104,2026-06-25 04:01:33.059776,2026-06-25 04:06:05.491490,0 days 00:04:32.431714,Plain,Bernoulli,0.8615673254289361,8.0,Depthwise,1.5870316564964067,15.0,0.005281955321750829,254.0,4.0,0.4400377688546776,82.0,0.9350808473647019,579,,COMPLETE
23,0.17628019056194885,2026-06-25 04:06:05.502218,2026-06-25 04:09:45.435446,0 days 00:03:39.933228,Plain,Bernoulli,0.8702587740295091,8.0,Depthwise,2.1991480969889925,8.0,0.007741326317920226,254.0,3.0,0.5549737358428257,69.0,0.8674874501958559,465,,COMPLETE
