number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.07597610420979972,2026-06-25 04:16:03.520286,2026-06-25 04:16:05.740836,0 days 00:00:02.220550,,,,,,,,,,,,,,100,{},COMPLETE
1,0.07574404761904763,2026-06-25 04:16:05.757157,2026-06-25 04:16:08.796305,0 days 00:00:03.039148,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,443,,COMPLETE
2,0.08320245489500144,2026-06-25 04:16:08.809587,2026-06-25 04:16:10.750409,0 days 00:00:01.940822,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,325,,COMPLETE
3,0.07441141674060936,2026-06-25 04:16:10.759332,2026-06-25 04:16:18.131676,0 days 00:00:07.372344,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,706,,COMPLETE
4,0.07981674553879525,2026-06-25 04:16:18.146644,2026-06-25 04:16:20.544616,0 days 00:00:02.397972,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,510,,COMPLETE
5,0.07262292960662531,2026-06-25 04:16:20.553833,2026-06-25 04:16:36.038370,0 days 00:00:15.484537,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,704,,COMPLETE
6,0.08818538647343,2026-06-25 04:16:36.052499,2026-06-25 04:16:39.172471,0 days 00:00:03.119972,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,320,,COMPLETE
7,0.07546861135758642,2026-06-25 04:16:39.181504,2026-06-25 04:16:58.833172,0 days 00:00:19.651668,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,469,,COMPLETE
8,0.07595909740707885,2026-06-25 04:16:58.842758,2026-06-25 04:17:17.294479,0 days 00:00:18.451721,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,376,,COMPLETE
9,0.07646320122251793,2026-06-25 04:17:17.303530,2026-06-25 04:17:30.720282,0 days 00:00:13.416752,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,260,,COMPLETE
