number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.10622923444740218,2026-06-25 04:23:17.245857,2026-06-25 04:23:18.517473,0 days 00:00:01.271616,,,,,,,,,,,,,,100,{},COMPLETE
1,0.10536256531598143,2026-06-25 04:23:18.532363,2026-06-25 04:23:20.634645,0 days 00:00:02.102282,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,420,,COMPLETE
2,0.10012311446317668,2026-06-25 04:23:20.647822,2026-06-25 04:23:22.604916,0 days 00:00:01.957094,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,748,,COMPLETE
3,0.09741416494133881,2026-06-25 04:23:22.619151,2026-06-25 04:23:27.563595,0 days 00:00:04.944444,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,931,,COMPLETE
4,0.1095120403233758,2026-06-25 04:23:27.576647,2026-06-25 04:23:29.359179,0 days 00:00:01.782532,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,851,,COMPLETE
5,0.09109262545597951,2026-06-25 04:23:29.368071,2026-06-25 04:23:42.559751,0 days 00:00:13.191680,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,570,,COMPLETE
6,0.11520254116139217,2026-06-25 04:23:42.572882,2026-06-25 04:23:44.835241,0 days 00:00:02.262359,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,328,,COMPLETE
7,0.09666358572414468,2026-06-25 04:23:44.844196,2026-06-25 04:24:03.141902,0 days 00:00:18.297706,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,584,,COMPLETE
8,0.08724914965986386,2026-06-25 04:24:03.150390,2026-06-25 04:24:22.640711,0 days 00:00:19.490321,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,719,,COMPLETE
9,0.09473855121758845,2026-06-25 04:24:22.653768,2026-06-25 04:24:34.443855,0 days 00:00:11.790087,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,333,,COMPLETE
