number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.7742680514557667,2026-06-25 04:35:50.455663,2026-06-25 04:36:00.452236,0 days 00:00:09.996573,,,,,,,,,,,,,,762,{},COMPLETE
1,0.7937123778922051,2026-06-25 04:36:00.465744,2026-06-25 04:36:11.849272,0 days 00:00:11.383528,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,1000,,COMPLETE
2,1.0031058918310853,2026-06-25 04:36:11.857973,2026-06-25 04:36:23.170853,0 days 00:00:11.312880,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,1000,,COMPLETE
3,1.2689478909557976,2026-06-25 04:36:23.180633,2026-06-25 04:36:24.887471,0 days 00:00:01.706838,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,1.1920514311611297,2026-06-25 04:36:24.898286,2026-06-25 04:36:33.643642,0 days 00:00:08.745356,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.780243524023371,2026-06-25 04:36:33.652126,2026-06-25 04:36:46.324047,0 days 00:00:12.671921,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,208,,COMPLETE
6,1.1632661080787887,2026-06-25 04:36:46.332114,2026-06-25 04:36:55.200775,0 days 00:00:08.868661,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,0.7891789624220378,2026-06-25 04:36:55.210628,2026-06-25 04:37:14.942678,0 days 00:00:19.732050,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,1000,,COMPLETE
8,0.7617731689553768,2026-06-25 04:37:14.951315,2026-06-25 04:37:31.306600,0 days 00:00:16.355285,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,623,,COMPLETE
9,0.7577528800714614,2026-06-25 04:37:31.319722,2026-06-25 04:37:51.386247,0 days 00:00:20.066525,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,609,,COMPLETE
10,0.8077821615620309,2026-06-25 04:37:51.399610,2026-06-25 04:37:55.646468,0 days 00:00:04.246858,0.7022641957948879,1.0,0.03512175732792625,59.56241765548436,True,0.666846038484066,0.6782859743712771,0.9020635371946518,0.09141317099962805,31.0,19.0,24.0,8.0,999,,COMPLETE
11,0.768047743108055,2026-06-25 04:37:55.654881,2026-06-25 04:38:12.935242,0 days 00:00:17.280361,0.802754798121327,1.0,0.005542658783439302,0.003067614502323185,True,0.8068283847452966,0.12347544229806662,1.1018548775724635,0.04651795579676449,39.0,4.0,2.0,130.0,306,,COMPLETE
12,0.7617894149454738,2026-06-25 04:38:12.945023,2026-06-25 04:38:30.936225,0 days 00:00:17.991202,0.8158521390359074,1.0,1.600480026427446,0.0013419844206405704,True,0.6358918114663494,0.27314677035780305,1.995476414109385,0.045985353557020776,32.0,4.0,3.0,49.0,902,,COMPLETE
13,0.7609146222866212,2026-06-25 04:38:30.944719,2026-06-25 04:38:52.962912,0 days 00:00:22.018193,0.7810778744655107,1.0,0.025098261080536446,0.12878676251416724,True,0.8182638605017678,0.6618040375958354,0.9760605089815682,0.04620081479692135,92.0,2.0,4.0,64.0,909,,COMPLETE
14,0.7776032788180455,2026-06-25 04:38:52.974064,2026-06-25 04:39:07.089317,0 days 00:00:14.115253,0.759762940167067,1.0,0.030156153802888656,0.16238609358527611,True,0.5749943495501548,0.7214978443663115,0.6657119028991889,0.06138544911017739,95.0,2.0,4.0,16.0,1000,,COMPLETE
15,0.7581479498785306,2026-06-25 04:39:07.098436,2026-06-25 04:39:34.454453,0 days 00:00:27.356017,0.7774448004832161,1.0,0.12789763534297394,92.7169525441536,True,0.7508762737495333,0.8198830856342793,1.9939148746333433,0.02966640214393765,88.0,2.0,12.0,83.0,915,,COMPLETE
16,0.7595323279632349,2026-06-25 04:39:34.463823,2026-06-25 04:40:19.606598,0 days 00:00:45.142775,0.7286598856457955,1.0,0.5255275265685095,85.70520935183839,True,0.7076863927053556,0.8246497622994287,1.872673209857984,0.027556878263997272,59.0,1.0,14.0,160.0,896,,COMPLETE
17,0.7914715064362594,2026-06-25 04:40:19.615037,2026-06-25 04:40:57.561160,0 days 00:00:37.946123,0.8338966025350109,1.0,0.14959264120144883,19.79119465583604,True,0.5817133886507502,0.8545427567208629,1.807027452891429,0.005690829910093074,22.0,2.0,12.0,90.0,1000,,COMPLETE
18,0.7810328240385205,2026-06-25 04:40:57.569739,2026-06-25 04:41:14.433137,0 days 00:00:16.863398,0.9981528355149126,1.0,0.29357007629076587,17.909590801852687,True,0.40697257697653194,0.6233507538170371,1.3516511669357107,0.02600607542649906,50.0,1.0,35.0,27.0,1000,,COMPLETE
19,0.7755940075892223,2026-06-25 04:41:14.441415,2026-06-25 04:41:21.939800,0 days 00:00:07.498385,0.7864461186391414,1.0,0.7661625295874199,30.211455308280772,True,0.7552623437487288,0.8895674638241589,1.3362009445980374,0.06623438754745689,27.0,3.0,11.0,16.0,994,,COMPLETE
20,0.756519345234181,2026-06-25 04:41:21.948282,2026-06-25 04:41:45.388690,0 days 00:00:23.440408,0.7410836043639267,1.0,0.06373401378297343,6.98347124685209,True,0.896769941996681,0.5601926446309473,1.7489248247538356,0.030365888449724557,75.0,20.0,9.0,191.0,991,,COMPLETE
21,0.757819026843285,2026-06-25 04:41:45.400625,2026-06-25 04:42:06.295558,0 days 00:00:20.894933,0.7423391404851024,1.0,0.08050438091588137,5.2323631220617255,True,0.8995720447742694,0.6295961176169118,1.988762915365907,0.03300002271981527,75.0,21.0,8.0,199.0,999,,COMPLETE
22,0.7522831465314384,2026-06-25 04:42:06.307489,2026-06-25 04:42:29.715585,0 days 00:00:23.408096,0.7230003393710628,1.0,0.06690789966352499,5.74486045280795,True,0.8941009160324591,0.5484733643393414,1.729114283500481,0.03717880196597815,68.0,18.0,8.0,191.0,955,,COMPLETE
23,0.762560458843313,2026-06-25 04:42:29.729023,2026-06-25 04:42:48.886991,0 days 00:00:19.157968,0.7180087918518285,1.0,0.016813284166917315,0.9600516795689547,True,0.8976774325563213,0.5356658424727738,1.7130814833093224,0.06293317333782372,46.0,20.0,4.0,106.0,828,,COMPLETE
