number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.13056387316242085,2026-06-25 05:53:15.575155,2026-06-25 05:53:23.860979,0 days 00:00:08.285824,,,,,,,,,,,,,,100,{},COMPLETE
1,0.07871473039837243,2026-06-25 05:53:23.875881,2026-06-25 05:58:47.358204,0 days 00:05:23.482323,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.07628808504450271,2026-06-25 05:58:47.372385,2026-06-25 06:00:27.447688,0 days 00:01:40.075303,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,998,,COMPLETE
3,0.0826903803432029,2026-06-25 06:00:27.460917,2026-06-25 06:01:45.929022,0 days 00:01:18.468105,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.07648703898630907,2026-06-25 06:01:45.938795,2026-06-25 06:03:01.620987,0 days 00:01:15.682192,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,849,,COMPLETE
5,0.07803459116090518,2026-06-25 06:03:01.631243,2026-06-25 06:08:46.875273,0 days 00:05:45.244030,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.07802921624240527,2026-06-25 06:08:46.885511,2026-06-25 06:11:27.597789,0 days 00:02:40.712278,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,664,,COMPLETE
7,0.07795463003519523,2026-06-25 06:11:27.606912,2026-06-25 06:18:02.815638,0 days 00:06:35.208726,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,0.08024566390595966,2026-06-25 06:18:02.824944,2026-06-25 06:21:40.224820,0 days 00:03:37.399876,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.07754772025947032,2026-06-25 06:21:40.234236,2026-06-25 06:23:08.167741,0 days 00:01:27.933505,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,412,,COMPLETE
10,0.07552951402162444,2026-06-25 06:23:08.176886,2026-06-25 06:26:53.274772,0 days 00:03:45.097886,Plain,Bernoulli,0.994218715820859,8.0,SymmetricTree,0.16834311272906852,4.0,0.034362454376490444,254.0,3.0,0.37215132795144673,8.0,0.701799154886745,1000,,COMPLETE
