number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.5075573857165194,2026-06-25 08:37:16.219386,2026-06-25 08:37:21.832316,0 days 00:00:05.612930,,,,,,,,,,,,,,10,{},COMPLETE
1,0.4925345600307635,2026-06-25 08:37:21.848542,2026-06-25 08:37:33.239050,0 days 00:00:11.390508,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,136,,COMPLETE
2,0.48727964521702516,2026-06-25 08:37:33.264136,2026-06-25 08:37:39.931474,0 days 00:00:06.667338,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,288,,COMPLETE
3,0.4684495088307271,2026-06-25 08:37:39.947036,2026-06-25 08:37:43.623893,0 days 00:00:03.676857,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,548,,COMPLETE
4,0.4682484411512057,2026-06-25 08:37:43.638586,2026-06-25 08:37:47.459085,0 days 00:00:03.820499,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,645,,COMPLETE
5,0.5090132988644617,2026-06-25 08:37:47.473611,2026-06-25 08:37:51.754318,0 days 00:00:04.280707,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,19,,COMPLETE
6,0.47504319554148655,2026-06-25 08:37:51.764256,2026-06-25 08:37:53.821378,0 days 00:00:02.057122,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,244,,COMPLETE
7,0.47889423110769447,2026-06-25 08:37:53.832225,2026-06-25 08:38:01.012336,0 days 00:00:07.180111,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,241,,COMPLETE
8,0.4964157433027776,2026-06-25 08:38:01.025197,2026-06-25 08:38:05.979232,0 days 00:00:04.954035,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,34,,COMPLETE
9,0.4774249461757872,2026-06-25 08:38:05.989409,2026-06-25 08:38:08.508851,0 days 00:00:02.519442,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,69,,COMPLETE
