number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.06714562938738033,2026-06-25 09:44:34.492735,2026-06-25 09:44:35.899505,0 days 00:00:01.406770,,,,,,,,,,,,,,42,{},COMPLETE
1,0.06623484335321561,2026-06-25 09:44:35.915106,2026-06-25 09:44:41.465928,0 days 00:00:05.550822,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,342,,COMPLETE
2,0.06658410549142557,2026-06-25 09:44:41.480280,2026-06-25 09:44:46.617933,0 days 00:00:05.137653,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,993,,COMPLETE
3,0.09326357144510533,2026-06-25 09:44:46.626839,2026-06-25 09:44:50.104993,0 days 00:00:03.478154,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.08496837097112808,2026-06-25 09:44:50.114931,2026-06-25 09:44:53.518040,0 days 00:00:03.403109,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.06814176923886173,2026-06-25 09:44:53.527461,2026-06-25 09:45:00.458723,0 days 00:00:06.931262,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,74,,COMPLETE
6,0.07945582759384562,2026-06-25 09:45:00.469591,2026-06-25 09:45:03.856423,0 days 00:00:03.386832,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,0.06487655033781281,2026-06-25 09:45:03.866559,2026-06-25 09:45:10.504668,0 days 00:00:06.638109,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,572,,COMPLETE
8,0.06707290214471462,2026-06-25 09:45:10.523365,2026-06-25 09:45:14.314447,0 days 00:00:03.791082,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,71,,COMPLETE
9,0.06559775116588973,2026-06-25 09:45:14.325757,2026-06-25 09:45:16.474520,0 days 00:00:02.148763,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,142,,COMPLETE
10,0.06621635276012239,2026-06-25 09:45:16.486811,2026-06-25 09:45:22.568033,0 days 00:00:06.081222,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,1000,,COMPLETE
11,0.06586131157390318,2026-06-25 09:45:22.577316,2026-06-25 09:45:24.558617,0 days 00:00:01.981301,0.7494110184930092,1.0,0.6646745230859595,0.5200105656740905,True,0.6109555747170158,0.7561101271802751,0.9437374915354393,0.08435621740171995,30.0,2.0,5.0,42.0,125,,COMPLETE
12,0.06599313903300708,2026-06-25 09:45:24.568590,2026-06-25 09:45:28.921401,0 days 00:00:04.352811,0.8009689084570539,1.0,1.8004250998971125,39.53243359730517,True,0.4201515309606833,0.11026153196286886,1.9941853776707827,0.040851082831757854,89.0,2.0,3.0,197.0,237,,COMPLETE
13,0.0644944291791838,2026-06-25 09:45:28.931045,2026-06-25 09:45:31.362761,0 days 00:00:02.431716,0.9915550598587023,1.0,0.3922763492495516,0.5317559349134247,True,0.5820677805331348,0.6997192837278869,0.47586776062633185,0.04451506475158212,61.0,3.0,12.0,17.0,234,,COMPLETE
14,0.06523236541102917,2026-06-25 09:45:31.377373,2026-06-25 09:45:34.142720,0 days 00:00:02.765347,0.9948058470333414,1.0,0.31927724677758623,0.2652032650731302,True,0.6109129948799271,0.581183082102642,0.42091996911205903,0.036385187905131414,66.0,4.0,15.0,15.0,284,,COMPLETE
15,0.06641541084786873,2026-06-25 09:45:34.152869,2026-06-25 09:45:39.158303,0 days 00:00:05.005434,0.947606000237412,1.0,0.33911948169676637,0.07960010340859636,True,0.7545774302615017,0.5737320985588413,0.5352710041830941,0.01264445189228099,64.0,1.0,11.0,6.0,998,,COMPLETE
16,0.06496271761470485,2026-06-25 09:45:39.168915,2026-06-25 09:45:43.552268,0 days 00:00:04.383353,0.9629174332729856,1.0,0.10117183733058448,1.7063799565081224,True,0.5826503769526693,0.7054449076327614,0.29816202769156386,0.025273362256374964,26.0,3.0,32.0,26.0,391,,COMPLETE
17,0.0661985469444144,2026-06-25 09:45:43.563563,2026-06-25 09:45:45.558020,0 days 00:00:01.994457,0.9141872616972126,1.0,0.554915634386445,0.005448874413511189,True,0.42467288570284667,0.2903844388865899,0.7953614979979642,0.05774608344628032,49.0,12.0,10.0,13.0,224,,COMPLETE
18,0.0718520121145847,2026-06-25 09:45:45.569382,2026-06-25 09:45:49.846767,0 days 00:00:04.277385,0.971808847727282,1.0,0.2557030917289143,0.13937249015562447,True,0.7943449398325466,0.4574715933010235,0.7115774674660509,0.005957658390692882,79.0,1.0,9.0,5.0,1000,,COMPLETE
19,0.06493800411164052,2026-06-25 09:45:49.857061,2026-06-25 09:45:52.948751,0 days 00:00:03.091690,0.9144781876029502,1.0,0.04133916935783577,1.0388873520098532,True,0.677175996396318,0.18842244935644076,0.21761947832063902,0.027773643806311282,47.0,4.0,38.0,23.0,282,,COMPLETE
20,0.06514634555355969,2026-06-25 09:45:52.957676,2026-06-25 09:45:55.930706,0 days 00:00:02.973030,0.9995513078466546,1.0,0.14150968892074814,10.237959450000076,True,0.531671500321944,0.4657292388567401,1.0878995529895574,0.052855323576134726,75.0,2.0,4.0,82.0,166,,COMPLETE
21,0.0650237620408568,2026-06-25 09:45:55.940357,2026-06-25 09:45:58.682180,0 days 00:00:02.741823,0.9139897892902782,1.0,0.023669664831557857,1.0525211281678137,True,0.6591833114191724,0.02109071739603202,0.2899548128505385,0.02746155326877015,50.0,4.0,43.0,23.0,224,,COMPLETE
22,0.06504865376314495,2026-06-25 09:45:58.693081,2026-06-25 09:46:02.000733,0 days 00:00:03.307652,0.7066013010889338,1.0,0.005819377475650137,1.6321086229153614,True,0.641140991744176,0.20780668282313786,0.010513569461952643,0.020161768811611108,40.0,6.0,30.0,35.0,246,,COMPLETE
23,0.0652689339597482,2026-06-25 09:46:02.011652,2026-06-25 09:46:05.580222,0 days 00:00:03.568570,0.9352742975161356,1.0,0.04650670026976058,0.07629261882449531,True,0.5558539927800983,0.6717214744330356,0.2581105126574424,0.030937132628702357,55.0,3.0,94.0,15.0,416,,COMPLETE
24,0.06550378670921675,2026-06-25 09:46:05.592157,2026-06-25 09:46:10.683071,0 days 00:00:05.090914,0.9726830729224314,1.0,0.08870065774775425,0.3686341787879776,True,0.4582254664698512,0.22951984872776665,0.4661211073584566,0.011507545808231788,32.0,10.0,15.0,9.0,1000,,COMPLETE
25,0.06497380577763934,2026-06-25 09:46:10.692221,2026-06-25 09:46:12.457278,0 days 00:00:01.765057,0.9025558822017603,1.0,0.8883118313561792,4.387051312525508,True,0.7331991252836302,0.8465663966982351,0.7044339273665542,0.05558741450309852,76.0,3.0,8.0,21.0,141,,COMPLETE
