number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.07036760701889566,2026-06-25 09:52:06.875807,2026-06-25 09:52:08.603074,0 days 00:00:01.727267,,,,,,,,,,,,15,{},COMPLETE
1,0.06569427752707357,2026-06-25 09:52:08.622971,2026-06-25 09:52:33.005011,0 days 00:00:24.382040,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,256,,COMPLETE
2,0.06660824821883826,2026-06-25 09:52:33.020135,2026-06-25 09:52:35.401771,0 days 00:00:02.381636,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,135,,COMPLETE
3,0.0660559796599498,2026-06-25 09:52:35.411613,2026-06-25 09:52:47.408680,0 days 00:00:11.997067,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,183,,COMPLETE
4,0.06553496884875787,2026-06-25 09:52:47.417997,2026-06-25 09:52:57.218703,0 days 00:00:09.800706,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,752,,COMPLETE
5,0.06637319725151003,2026-06-25 09:52:57.232734,2026-06-25 09:53:03.167607,0 days 00:00:05.934873,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,380,,COMPLETE
6,0.06554214175415884,2026-06-25 09:53:03.177747,2026-06-25 09:53:10.147855,0 days 00:00:06.970108,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,360,,COMPLETE
7,0.0681737004556815,2026-06-25 09:53:10.158118,2026-06-25 09:53:19.401163,0 days 00:00:09.243045,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.06503171204064295,2026-06-25 09:53:19.410587,2026-06-25 09:53:25.519773,0 days 00:00:06.109186,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,411,,COMPLETE
9,0.06580390815457571,2026-06-25 09:53:25.535723,2026-06-25 09:53:30.626981,0 days 00:00:05.091258,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,249,,COMPLETE
10,0.06658134646565217,2026-06-25 09:53:30.637557,2026-06-25 09:53:33.673723,0 days 00:00:03.036166,0.8197534695371591,0.7202259292197385,depthwise,0.08641869155550744,40.0,7.0,137.0,0.05520191203895588,4.7988577526525065,2.938272016159444,0.9729161367647149,69,,COMPLETE
11,0.06514423561188476,2026-06-25 09:53:33.683686,2026-06-25 09:53:45.784475,0 days 00:00:12.100789,0.7972151346836809,0.7708449222533328,depthwise,0.007631609688708743,34.0,5.0,100.0,0.09577630678348173,0.03136188345709323,3.3642039785002864,0.7583456077143143,899,,COMPLETE
12,0.06525712591564226,2026-06-25 09:53:45.794816,2026-06-25 09:53:57.664952,0 days 00:00:11.870136,0.9967124309024933,0.7371197153065265,depthwise,0.006378389274999106,39.0,5.0,98.0,0.09909199881818531,1.0009649806653886,3.188373664159602,0.7333776858192432,870,,COMPLETE
13,0.06526388618357593,2026-06-25 09:53:57.674317,2026-06-25 09:54:07.376128,0 days 00:00:09.701811,0.8342832971304504,0.9183122502175327,depthwise,0.009362009780275894,69.0,5.0,206.0,0.05090057180402597,0.00845764286613188,3.4980270483757017,0.8448535057149196,701,,COMPLETE
14,0.06493601407937843,2026-06-25 09:54:07.386713,2026-06-25 09:54:17.005456,0 days 00:00:09.618743,0.9045312787384893,0.7277689938441474,depthwise,0.00825063105792446,30.0,6.0,48.0,0.13925071458840985,1.0721981104006408,2.000506887560449,0.7043587561751035,540,,COMPLETE
15,0.06579526637312771,2026-06-25 09:54:17.019705,2026-06-25 09:54:20.417405,0 days 00:00:03.397700,0.91239882733399,0.7004021211414129,depthwise,0.033957652539039894,32.0,6.0,42.0,4.204196605005472,1.0980798580446254,1.8167288613410986,0.6031484908254947,149,,COMPLETE
