number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.6105156608217006,2026-06-25 10:05:34.771535,2026-06-25 10:05:36.847212,0 days 00:00:02.075677,,,,,,,,,,,,,,100,{},COMPLETE
1,0.5651387982120821,2026-06-25 10:05:36.861446,2026-06-25 10:05:57.410542,0 days 00:00:20.549096,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.5705478320132392,2026-06-25 10:05:57.423441,2026-06-25 10:06:01.644287,0 days 00:00:04.220846,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,363,,COMPLETE
3,0.5593642730675593,2026-06-25 10:06:01.653561,2026-06-25 10:06:16.372870,0 days 00:00:14.719309,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.5700004405368078,2026-06-25 10:06:16.385127,2026-06-25 10:06:19.645984,0 days 00:00:03.260857,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,385,,COMPLETE
5,0.5558480915340666,2026-06-25 10:06:19.654890,2026-06-25 10:07:00.729882,0 days 00:00:41.074992,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,974,,COMPLETE
6,0.6065102047071055,2026-06-25 10:07:00.742583,2026-06-25 10:07:07.098211,0 days 00:00:06.355628,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,253,,COMPLETE
7,0.5691665478944854,2026-06-25 10:07:07.111427,2026-06-25 10:07:42.750390,0 days 00:00:35.638963,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,460,,COMPLETE
8,0.5552464794261273,2026-06-25 10:07:42.759649,2026-06-25 10:08:47.272900,0 days 00:01:04.513251,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.5911043141995517,2026-06-25 10:08:47.285270,2026-06-25 10:08:59.983432,0 days 00:00:12.698162,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,204,,COMPLETE
