number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.07055487179370257,2026-06-25 10:07:16.028117,2026-06-25 10:07:19.136329,0 days 00:00:03.108212,,,,,,,,,,,,,,100,{},COMPLETE
1,0.06703380008257531,2026-06-25 10:07:19.151846,2026-06-25 10:07:28.922162,0 days 00:00:09.770316,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.06669013881118302,2026-06-25 10:07:28.937716,2026-06-25 10:07:35.203430,0 days 00:00:06.265714,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,670,,COMPLETE
3,0.06825840639959357,2026-06-25 10:07:35.218265,2026-06-25 10:07:45.961972,0 days 00:00:10.743707,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.06632728105506303,2026-06-25 10:07:45.972603,2026-06-25 10:07:49.519093,0 days 00:00:03.546490,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,605,,COMPLETE
5,0.06594023698971685,2026-06-25 10:07:49.533096,2026-06-25 10:08:13.071583,0 days 00:00:23.538487,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,924,,COMPLETE
6,0.0705318048471183,2026-06-25 10:08:13.084907,2026-06-25 10:08:19.919878,0 days 00:00:06.834971,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,365,,COMPLETE
7,0.06944628551627241,2026-06-25 10:08:19.930433,2026-06-25 10:08:41.893863,0 days 00:00:21.963430,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,632,,COMPLETE
8,0.06601744869039772,2026-06-25 10:08:41.904415,2026-06-25 10:09:31.956134,0 days 00:00:50.051719,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.06908208633341628,2026-06-25 10:09:31.967930,2026-06-25 10:09:41.995082,0 days 00:00:10.027152,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,281,,COMPLETE
10,0.06724890766207547,2026-06-25 10:09:42.005441,2026-06-25 10:10:02.137918,0 days 00:00:20.132477,Plain,Bernoulli,0.9942561717820161,8.0,Depthwise,1.841152012664479,5.0,0.03273941684536397,254.0,3.0,1.3327052390755632,92.0,0.701799154886745,473,,COMPLETE
11,0.06805402939727334,2026-06-25 10:10:02.148336,2026-06-25 10:10:39.998590,0 days 00:00:37.850254,Plain,Bernoulli,0.8590619822699883,6.0,Depthwise,2.4898729835966105,5.0,0.005160968868344048,254.0,4.0,1.2655561354454108,8.0,0.8633100588308208,1000,,COMPLETE
12,0.0683774955579104,2026-06-25 10:10:40.009481,2026-06-25 10:10:58.163739,0 days 00:00:18.154258,Plain,Bernoulli,0.898227943447388,6.0,Depthwise,0.0013785419874151365,20.0,0.012940395513776229,254.0,4.0,0.9638906978134099,99.0,0.772242381250273,997,,COMPLETE
13,0.06564238724045235,2026-06-25 10:10:58.174652,2026-06-25 10:11:42.221905,0 days 00:00:44.047253,Plain,Bernoulli,0.857206299528177,7.0,Depthwise,0.24942303118287568,2.0,0.007332155651385135,254.0,3.0,0.4259534965648961,8.0,0.8884653446882487,1000,,COMPLETE
14,0.06519331726597322,2026-06-25 10:11:42.236755,2026-06-25 10:12:03.512825,0 days 00:00:21.276070,Plain,Bernoulli,0.8570790711010036,6.0,Depthwise,0.3654853999924955,1.0,0.0257512483605069,254.0,3.0,0.37565222199792525,8.0,0.8953683793126899,923,,COMPLETE
15,0.06580629380169412,2026-06-25 10:12:03.528048,2026-06-25 10:12:37.536500,0 days 00:00:34.008452,Plain,Bernoulli,0.8507110179479633,8.0,Depthwise,0.22749050812300206,1.0,0.025330311622190568,254.0,3.0,0.3685291511391102,8.0,0.9034004322807758,610,,COMPLETE
16,0.06617582278586154,2026-06-25 10:12:37.547610,2026-06-25 10:12:48.753142,0 days 00:00:11.205532,Plain,Bernoulli,0.8504570932533858,5.0,Depthwise,0.45981211863496113,2.0,0.043475314240865814,254.0,3.0,0.3281352389570672,11.0,0.8819309582197595,543,,COMPLETE
17,0.06576639632946146,2026-06-25 10:12:48.765907,2026-06-25 10:13:12.758256,0 days 00:00:23.992349,Plain,Bernoulli,0.8698514969999738,7.0,Depthwise,0.13008077425768733,1.0,0.027884137123098597,254.0,3.0,0.460559467004393,11.0,0.9291735545038158,632,,COMPLETE
18,0.06570720153310305,2026-06-25 10:13:12.768613,2026-06-25 10:13:35.066974,0 days 00:00:22.298361,Plain,Bernoulli,0.8650086314041868,5.0,Depthwise,0.7046950859197747,1.0,0.01900317595024745,254.0,3.0,0.19601895142595868,12.0,0.8470322834672688,1000,,COMPLETE
19,0.06711402673769185,2026-06-25 10:13:35.076466,2026-06-25 10:13:49.828765,0 days 00:00:14.752299,Plain,Bernoulli,0.8858941862414793,6.0,SymmetricTree,0.009685759393866638,3.0,0.046242931383726815,254.0,3.0,0.255936202150178,8.0,0.8159887397166963,612,,COMPLETE
20,0.06686244160802046,2026-06-25 10:13:49.838772,2026-06-25 10:14:48.890972,0 days 00:00:59.052200,Plain,Bernoulli,0.9924443382121897,8.0,Depthwise,0.9696426168407821,2.0,0.008156082273673738,254.0,3.0,0.5133609957268597,14.0,0.9128303906559257,941,,COMPLETE
21,0.06551625629615943,2026-06-25 10:14:48.903280,2026-06-25 10:15:08.977272,0 days 00:00:20.073992,Plain,Bernoulli,0.864025852078117,5.0,Depthwise,0.11039206670430203,1.0,0.018431374036174425,254.0,3.0,0.1664106861710748,11.0,0.8543675779333448,1000,,COMPLETE
22,0.06521754380383471,2026-06-25 10:15:08.987674,2026-06-25 10:15:28.481441,0 days 00:00:19.493767,Plain,Bernoulli,0.8615673254289361,5.0,Depthwise,0.09532526789655706,1.0,0.019535250324832085,254.0,3.0,0.10970642035696031,10.0,0.8739960323074327,1000,,COMPLETE
23,0.06514094133893988,2026-06-25 10:15:28.491445,2026-06-25 10:15:48.458432,0 days 00:00:19.966987,Plain,Bernoulli,0.8672925374207419,5.0,Depthwise,0.053746861077252975,1.0,0.020373462223791314,254.0,2.0,0.11101757621419929,10.0,0.8657037005408155,871,,COMPLETE
24,0.06582248376247302,2026-06-25 10:15:48.472101,2026-06-25 10:16:04.575254,0 days 00:00:16.103153,Plain,Bernoulli,0.8889933733489752,5.0,Depthwise,0.031684876610338704,1.0,0.02189184276635567,254.0,2.0,0.1083938142943863,13.0,0.771956288694341,827,,COMPLETE
25,0.06649660436572724,2026-06-25 10:16:04.588860,2026-06-25 10:16:18.848473,0 days 00:00:14.259613,Plain,Bernoulli,0.9192542685198787,6.0,Depthwise,0.008695953848322098,1.0,0.03747763192020793,254.0,2.0,0.13280800087784336,10.0,0.8717284128807827,505,,COMPLETE
