number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.6065581153704526,2026-06-25 10:25:15.639890,2026-06-25 10:25:17.237211,0 days 00:00:01.597321,,,,,,,,,,,,7,{},COMPLETE
1,0.5961152173473,2026-06-25 10:25:17.259364,2026-06-25 10:25:48.722853,0 days 00:00:31.463489,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,209,,COMPLETE
2,0.5914985285526018,2026-06-25 10:25:48.736694,2026-06-25 10:25:50.067432,0 days 00:00:01.330738,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,55,,COMPLETE
3,0.5940729653580181,2026-06-25 10:25:50.081643,2026-06-25 10:26:03.213286,0 days 00:00:13.131643,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,163,,COMPLETE
4,0.5887546927574048,2026-06-25 10:26:03.221705,2026-06-25 10:26:07.311379,0 days 00:00:04.089674,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,296,,COMPLETE
5,0.5909976569575055,2026-06-25 10:26:07.324067,2026-06-25 10:26:10.181250,0 days 00:00:02.857183,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,155,,COMPLETE
6,0.5899247121124865,2026-06-25 10:26:10.190522,2026-06-25 10:26:14.088811,0 days 00:00:03.898289,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,204,,COMPLETE
7,0.5880671026037688,2026-06-25 10:26:14.096634,2026-06-25 10:26:21.729265,0 days 00:00:07.632631,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,846,,COMPLETE
8,0.5910690669841732,2026-06-25 10:26:21.740576,2026-06-25 10:26:25.512051,0 days 00:00:03.771475,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,247,,COMPLETE
9,0.5923084515224097,2026-06-25 10:26:25.520823,2026-06-25 10:26:28.626401,0 days 00:00:03.105578,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,125,,COMPLETE
10,0.5888876144968533,2026-06-25 10:26:28.635114,2026-06-25 10:26:36.781126,0 days 00:00:08.146012,0.8560354009870226,0.9630659181130071,depthwise,0.005461221300406469,31.0,8.0,9.0,0.05431856977726699,4.7988577526525065,0.08014213586217389,0.9729161367647149,842,,COMPLETE
11,0.5924518693662288,2026-06-25 10:26:36.790637,2026-06-25 10:26:49.353529,0 days 00:00:12.562892,0.8167265665612355,0.7235303726679885,depthwise,0.005166571376786263,14.0,7.0,127.0,0.09577630678348173,1.8141903773623267,2.581529512362347,0.7411359388715663,622,,COMPLETE
12,0.5887440655196634,2026-06-25 10:26:49.362374,2026-06-25 10:26:54.532101,0 days 00:00:05.169727,0.9087718335040773,0.7139841381087227,lossguide,0.008753758211815874,27.0,5.0,9.0,0.0933205035155776,1.2194504168217553,2.819880703393326,0.9942255032714351,435,,COMPLETE
