number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.6437233137197229,2026-06-25 10:28:20.680613,2026-06-25 10:28:22.651939,0 days 00:00:01.971326,,,,,,,,,,,,202,{},COMPLETE
1,0.6027111948710145,2026-06-25 10:28:22.666148,2026-06-25 10:29:24.661664,0 days 00:01:01.995516,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,0.6469895095163138,2026-06-25 10:29:24.678050,2026-06-25 10:29:30.044396,0 days 00:00:05.366346,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,1000,,COMPLETE
3,0.6212658776753572,2026-06-25 10:29:30.052520,2026-06-25 10:29:57.726298,0 days 00:00:27.673778,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,1000,,COMPLETE
4,0.6656742289544364,2026-06-25 10:29:57.734836,2026-06-25 10:30:04.502135,0 days 00:00:06.767299,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.6556984964119378,2026-06-25 10:30:04.510913,2026-06-25 10:30:11.162919,0 days 00:00:06.652006,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,0.6516493787607832,2026-06-25 10:30:11.171854,2026-06-25 10:30:18.842734,0 days 00:00:07.670880,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,0.690675133471684,2026-06-25 10:30:18.854009,2026-06-25 10:30:24.407477,0 days 00:00:05.553468,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.6502426422678562,2026-06-25 10:30:24.417420,2026-06-25 10:30:30.993656,0 days 00:00:06.576236,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,0.6300100699706651,2026-06-25 10:30:31.001632,2026-06-25 10:30:38.479615,0 days 00:00:07.477983,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,1000,,COMPLETE
10,0.6278274984678426,2026-06-25 10:30:38.488444,2026-06-25 10:30:49.474365,0 days 00:00:10.985921,0.8262452362725613,0.7202259292197385,lossguide,0.0864853073450281,8.0,7.0,971.0,0.05528731777524736,4.7988577526525065,2.58248067449815,0.9729161367647149,698,,COMPLETE
11,0.6172333727610461,2026-06-25 10:30:49.482658,2026-06-25 10:31:19.204167,0 days 00:00:29.721509,0.8167265665612355,0.6039952029525323,lossguide,0.031790458723690476,84.0,10.0,1021.0,0.028789455442955813,3.838153225904187,0.11339104360127994,0.7969511524558275,1000,,COMPLETE
12,0.6229753451483018,2026-06-25 10:31:19.213272,2026-06-25 10:31:46.522618,0 days 00:00:27.309346,0.7770686130040154,0.6908556046603515,lossguide,0.03789339775622382,33.0,10.0,828.0,0.06504931391232921,4.8695987677759724,0.036286437200296895,0.7275749457799163,1000,,COMPLETE
13,0.6294846535993713,2026-06-25 10:31:46.531557,2026-06-25 10:32:32.507613,0 days 00:00:45.976056,0.6896214352214821,0.6944839312333239,lossguide,0.00721580146971962,89.0,10.0,365.0,0.05090057180402597,3.7717334436365895,2.2386332504708712,0.8280519459602143,1000,,COMPLETE
14,0.6214227148986085,2026-06-25 10:32:32.516432,2026-06-25 10:32:54.996146,0 days 00:00:22.479714,0.7958474857133548,0.6032918634338744,lossguide,0.041314384168676443,33.0,8.0,578.0,0.01032738514476199,3.696657160648065,3.433406600621676,0.9877079408194872,1000,,COMPLETE
15,0.6108805667757091,2026-06-25 10:32:55.004814,2026-06-25 10:33:31.373151,0 days 00:00:36.368337,0.9003988944050104,0.6597388015567154,lossguide,0.033957652539039894,13.0,9.0,178.0,4.204196605005472,1.0906801479048633,1.7002317730572796,0.9054989579659412,1000,,COMPLETE
16,0.6239670453046643,2026-06-25 10:33:31.382688,2026-06-25 10:33:58.517176,0 days 00:00:27.134488,0.889726935244112,0.7316731222874012,lossguide,0.009151843338230383,11.0,8.0,177.0,4.960000837920709,1.14647122560354,1.7762095024655,0.9255974822311327,1000,,COMPLETE
17,0.611650274370142,2026-06-25 10:33:58.525775,2026-06-25 10:34:17.801633,0 days 00:00:19.275858,0.88839497398522,0.6601495846386295,lossguide,0.05070493769861414,11.0,7.0,187.0,1.4816808398087575,0.06577597391735732,4.956386852998385,0.8658357373830174,759,,COMPLETE
18,0.616031910867016,2026-06-25 10:34:17.810635,2026-06-25 10:34:28.163057,0 days 00:00:10.352422,0.9984901537620983,0.7465665641850475,lossguide,0.098990742421814,12.0,9.0,117.0,0.166199686109193,1.1033746643783513,3.1559780667391784,0.9571397832638177,221,,COMPLETE
19,0.6258783312889027,2026-06-25 10:34:28.172642,2026-06-25 10:34:37.197313,0 days 00:00:09.024671,0.7421967749630005,0.6618634954066062,depthwise,0.01568040674139593,12.0,7.0,203.0,1.5970563264558033,2.198886254739538,1.2922513669851268,0.8534534695611659,1000,,COMPLETE
20,0.610249866475605,2026-06-25 10:34:37.206027,2026-06-25 10:34:58.539182,0 days 00:00:21.333155,0.6576783790812122,0.9989879313923895,lossguide,0.0684211986444391,24.0,9.0,490.0,0.16677584260410364,0.6609281689574125,2.993915205142292,0.9404052868155786,408,,COMPLETE
21,0.6082096288907544,2026-06-25 10:34:58.548232,2026-06-25 10:35:20.370733,0 days 00:00:21.822501,0.6511226679412003,0.859830519452753,lossguide,0.06705368648731322,26.0,9.0,506.0,0.1609913025744344,0.6012024509469651,2.986464478736203,0.9292248274564379,394,,COMPLETE
22,0.612424778819269,2026-06-25 10:35:20.380870,2026-06-25 10:35:39.341411,0 days 00:00:18.960541,0.6638856128587439,0.9771194579682706,lossguide,0.06931722321744745,27.0,9.0,582.0,0.17103578321892243,0.5405436562967566,3.0422477249727327,0.9457169760091242,315,,COMPLETE
23,0.6119131108083938,2026-06-25 10:35:39.350624,2026-06-25 10:35:59.615202,0 days 00:00:20.264578,0.6016541591322503,0.9154044092468223,lossguide,0.06634323213254263,39.0,8.0,573.0,0.13636301204367787,0.4368194323122244,3.983351226391222,0.8888476991117966,469,,COMPLETE
24,0.6036225069989782,2026-06-25 10:35:59.624398,2026-06-25 10:36:47.208622,0 days 00:00:47.584224,0.6441122406543203,0.8958414224591262,lossguide,0.04378550007775421,22.0,10.0,309.0,0.7079667823943046,0.012486334411334732,4.102853806278918,0.9370646915142591,624,,COMPLETE
25,0.6049381923016355,2026-06-25 10:36:47.217500,2026-06-25 10:37:27.820711,0 days 00:00:40.603211,0.6278057230092148,0.8825860221291537,lossguide,0.04757654447229686,56.0,10.0,267.0,0.6144471059547445,0.013605222730484229,4.030472656093091,0.9975147556443388,600,,COMPLETE
